"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2"
"0003348625","花木等生産状況調査結果 確報 平成26年花木等生産状況調査","年次","201401-201412","2019-10-16","0","該当なし","96","2019-10-17","","00500510","花木等生産状況調査","00500","農林水産省","2","B　平成26年花木等生産状況の概要 平成26年花木等生産状況","04","農林水産業","01","農業","花木等生産状況調査結果","確報","平成26年花木等生産状況調査","B　平成26年花木等生産状況の概要","平成26年花木等生産状況","注：対前年比は、2014年の調査に「・・・」や「－」以外の報告があった都道府県を対象として、当該都道府県に係る2014年と2013年を比較したものである。<br>出荷数量の単位は、芝はha、それ以外は千本・千鉢単位である。","",""
"0003348626","花木等生産状況調査結果 確報 平成26年花木等生産状況調査","年次","201401-201412","2019-10-16","0","全国","198","2019-10-17","","00500510","花木等生産状況調査","00500","農林水産省","2","B　平成26年花木等生産状況の概要 花木類、芝及び地被植物類の概要","04","農林水産業","01","農業","花木等生産状況調査結果","確報","平成26年花木等生産状況調査","B　平成26年花木等生産状況の概要","花木類、芝及び地被植物類の概要","花木類の出荷数量は「千本」芝の出荷数量は「a」地被植物類の出荷数量は「千鉢、千本」である。","",""
"0003348626","花木等生産状況調査結果 確報 平成26年花木等生産状況調査","年次","201401-201412","2019-10-16","0","都道府県","198","2019-10-17","","00500510","花木等生産状況調査","00500","農林水産省","2","B　平成26年花木等生産状況の概要 花木類、芝及び地被植物類の概要","04","農林水産業","01","農業","花木等生産状況調査結果","確報","平成26年花木等生産状況調査","B　平成26年花木等生産状況の概要","花木類、芝及び地被植物類の概要","花木類の出荷数量は「千本」芝の出荷数量は「a」地被植物類の出荷数量は「千鉢、千本」である。","",""
"0003348627","花木等生産状況調査結果 確報 平成26年花木等生産状況調査","年次","201401-201412","2019-10-16","0","全国","440","2019-10-17","","00500510","花木等生産状況調査","00500","農林水産省","3","C　生産状況 1.花木類の平成26年産の苗木・成木別生産状況 ツツジ、サツキ、カイヅカイブキ、タマイブキ","04","農林水産業","01","農業","花木等生産状況調査結果","確報","平成26年花木等生産状況調査","C　生産状況","1.花木類の平成26年産の苗木・成木別生産状況","","ツツジ、サツキ、カイヅカイブキ、タマイブキ",""
"0003348627","花木等生産状況調査結果 確報 平成26年花木等生産状況調査","年次","201401-201412","2019-10-16","0","都道府県","440","2019-10-17","","00500510","花木等生産状況調査","00500","農林水産省","3","C　生産状況 1.花木類の平成26年産の苗木・成木別生産状況 ツツジ、サツキ、カイヅカイブキ、タマイブキ","04","農林水産業","01","農業","花木等生産状況調査結果","確報","平成26年花木等生産状況調査","C　生産状況","1.花木類の平成26年産の苗木・成木別生産状況","","ツツジ、サツキ、カイヅカイブキ、タマイブキ",""
"0003348628","花木等生産状況調査結果 確報 平成26年花木等生産状況調査","年次","201401-201412","2019-10-16","0","全国","440","2019-10-17","","00500510","花木等生産状況調査","00500","農林水産省","3","C　生産状況 1.花木類の平成26年産の苗木・成木別生産状況 ツバキ、モミジ、ヒバ類、ツゲ類","04","農林水産業","01","農業","花木等生産状況調査結果","確報","平成26年花木等生産状況調査","C　生産状況","1.花木類の平成26年産の苗木・成木別生産状況","","ツバキ、モミジ、ヒバ類、ツゲ類",""
"0003348628","花木等生産状況調査結果 確報 平成26年花木等生産状況調査","年次","201401-201412","2019-10-16","0","都道府県","440","2019-10-17","","00500510","花木等生産状況調査","00500","農林水産省","3","C　生産状況 1.花木類の平成26年産の苗木・成木別生産状況 ツバキ、モミジ、ヒバ類、ツゲ類","04","農林水産業","01","農業","花木等生産状況調査結果","確報","平成26年花木等生産状況調査","C　生産状況","1.花木類の平成26年産の苗木・成木別生産状況","","ツバキ、モミジ、ヒバ類、ツゲ類",""
"0003348629","花木等生産状況調査結果 確報 平成26年花木等生産状況調査","年次","201401-201412","2019-10-16","0","全国","220","2019-10-17","","00500510","花木等生産状況調査","00500","農林水産省","3","C　生産状況 1.花木類の平成26年産の苗木・成木別生産状況 その他花木類、花木類計","04","農林水産業","01","農業","花木等生産状況調査結果","確報","平成26年花木等生産状況調査","C　生産状況","1.花木類の平成26年産の苗木・成木別生産状況","","その他花木類、花木類計",""
"0003348629","花木等生産状況調査結果 確報 平成26年花木等生産状況調査","年次","201401-201412","2019-10-16","0","都道府県","220","2019-10-17","","00500510","花木等生産状況調査","00500","農林水産省","3","C　生産状況 1.花木類の平成26年産の苗木・成木別生産状況 その他花木類、花木類計","04","農林水産業","01","農業","花木等生産状況調査結果","確報","平成26年花木等生産状況調査","C　生産状況","1.花木類の平成26年産の苗木・成木別生産状況","","その他花木類、花木類計",""
"0003348650","花木等生産状況調査結果 確報 平成26年花木等生産状況調査","年次","201401-201412","2019-10-16","0","該当なし","140","2019-10-17","","00500510","花木等生産状況調査","00500","農林水産省","3","C　生産状況 2.芝の平成26年産の種類別生産状況","04","農林水産業","01","農業","花木等生産状況調査結果","確報","平成26年花木等生産状況調査","C　生産状況","2.芝の平成26年産の種類別生産状況","","",""
"0003348651","花木等生産状況調査結果 確報 平成26年花木等生産状況調査","年次","201401-201412","2019-10-16","0","全国","220","2019-10-17","","00500510","花木等生産状況調査","00500","農林水産省","3","C　生産状況 3.地被植物類の平成26年産の種類別生産状況 蔓もの類、タケ・ササ類、ジャノヒゲ類、草本類","04","農林水産業","01","農業","花木等生産状況調査結果","確報","平成26年花木等生産状況調査","C　生産状況","3.地被植物類の平成26年産の種類別生産状況","","蔓もの類、タケ・ササ類、ジャノヒゲ類、草本類",""
"0003348651","花木等生産状況調査結果 確報 平成26年花木等生産状況調査","年次","201401-201412","2019-10-16","0","都道府県","220","2019-10-17","","00500510","花木等生産状況調査","00500","農林水産省","3","C　生産状況 3.地被植物類の平成26年産の種類別生産状況 蔓もの類、タケ・ササ類、ジャノヒゲ類、草本類","04","農林水産業","01","農業","花木等生産状況調査結果","確報","平成26年花木等生産状況調査","C　生産状況","3.地被植物類の平成26年産の種類別生産状況","","蔓もの類、タケ・ササ類、ジャノヒゲ類、草本類",""
"0003348652","花木等生産状況調査結果 確報 平成26年花木等生産状況調査","年次","201401-201412","2019-10-16","0","全国","110","2019-10-17","","00500510","花木等生産状況調査","00500","農林水産省","3","C　生産状況 3.地被植物類の平成26年産の種類別生産状況 木本類、地被植物類計","04","農林水産業","01","農業","花木等生産状況調査結果","確報","平成26年花木等生産状況調査","C　生産状況","3.地被植物類の平成26年産の種類別生産状況","","木本類、地被植物類計",""
"0003348652","花木等生産状況調査結果 確報 平成26年花木等生産状況調査","年次","201401-201412","2019-10-16","0","都道府県","110","2019-10-17","","00500510","花木等生産状況調査","00500","農林水産省","3","C　生産状況 3.地被植物類の平成26年産の種類別生産状況 木本類、地被植物類計","04","農林水産業","01","農業","花木等生産状況調査結果","確報","平成26年花木等生産状況調査","C　生産状況","3.地被植物類の平成26年産の種類別生産状況","","木本類、地被植物類計",""
