"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE.@no","TITLE.$","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2"
"0003333280","油糧生産実績調査","確報 （１～１２月）月別油糧生産実績表","年次","0","2019-06-25","0","該当なし","6600","2019-06-26","","00500304","油糧生産実績調査","00500","農林水産省","05","鉱工業","02","製造業","油糧生産実績調査","確報","（１～１２月）月別油糧生産実績表","１．農林水産省食料産業局食品製造売課の「油糧生産実績調査（月別）」の結果を、年次でとりまとめたものである。２．月別の公表値を、調査票の提出期限に未到着であったもの、あるいは数値の記入誤り等の訂正報告をもとに修正してあるので、毎月の公表数値とは必ずしも一致しない。３．数値単位はメートルトンである。４．「油脂」は原油である。５．「可食油」とは大豆、なたね、からし、米ぬか、綿実、サフラワー、ごま、とうもろこし、落花生、ひまわりの１０品目である。６．「可食油以外」とはパーム、コプラ、パーム核、あまに、ひまし、その他の６品目である。","","","",""
"0002072743","油糧生産実績調査 確報 油糧生産実績調査（令和４年確報版）","","年次","202201-202212","2024-03-29","0","該当なし","725","2024-03-29","","00500304","油糧生産実績調査","00500","農林水産省","05","鉱工業","02","製造業","油糧生産実績調査","統計表（令和４年）（2023年３月23日公表）","植物油脂の原料処理量及び在庫量","","1-1","統計表（令和４年）（2023年３月23日公表） 植物油脂の原料処理量及び在庫量","確報","油糧生産実績調査（令和４年確報版）"
"0002072744","油糧生産実績調査 確報 油糧生産実績調査（令和４年確報版）","","年次","202201-202212","2024-03-29","0","該当なし","725","2024-03-29","","00500304","油糧生産実績調査","00500","農林水産省","05","鉱工業","02","製造業","油糧生産実績調査","統計表（令和４年）（2023年３月23日公表）","植物油脂の油脂（原油）生産量及び在庫量","","1-2","統計表（令和４年）（2023年３月23日公表） 植物油脂の油脂（原油）生産量及び在庫量","確報","油糧生産実績調査（令和４年確報版）"
"0002072745","油糧生産実績調査 確報 油糧生産実績調査（令和４年確報版）","","年次","202201-202212","2024-03-29","0","該当なし","600","2024-03-29","","00500304","油糧生産実績調査","00500","農林水産省","05","鉱工業","02","製造業","油糧生産実績調査","統計表（令和４年）（2023年３月23日公表）","植物油脂の油かす生産量及び在庫量","","1-3","統計表（令和４年）（2023年３月23日公表） 植物油脂の油かす生産量及び在庫量","確報","油糧生産実績調査（令和４年確報版）"
"0002115911","油糧生産実績調査 確報 油糧生産実績調査（令和５年確報版）","","年次","202301-202312","2025-02-28","0","該当なし","625","2025-04-09","","00500304","油糧生産実績調査","00500","農林水産省","05","鉱工業","02","製造業","油糧生産実績調査","統計表（令和５年）（2024年３月22日公表）","植物油脂の原料処理量及び月末在庫量","","1-1","統計表（令和５年）（2024年３月22日公表） 植物油脂の原料処理量及び月末在庫量","確報","油糧生産実績調査（令和５年確報版）"
"0002115912","油糧生産実績調査 確報 油糧生産実績調査（令和５年確報版）","","年次","202301-202312","2025-02-28","0","該当なし","625","2025-04-09","","00500304","油糧生産実績調査","00500","農林水産省","05","鉱工業","02","製造業","油糧生産実績調査","統計表（令和５年）（2024年３月22日公表）","植物油脂の油脂（原油）生産量及び月末在庫量","","1-2","統計表（令和５年）（2024年３月22日公表） 植物油脂の油脂（原油）生産量及び月末在庫量","確報","油糧生産実績調査（令和５年確報版）"
"0002115913","油糧生産実績調査 確報 油糧生産実績調査（令和５年確報版）","","年次","202301-202312","2025-02-28","0","該当なし","600","2025-04-09","","00500304","油糧生産実績調査","00500","農林水産省","05","鉱工業","02","製造業","油糧生産実績調査","統計表（令和５年）（2024年３月22日公表）","植物油脂の油かす生産量及び月末在庫量","","1-3","統計表（令和５年）（2024年３月22日公表） 植物油脂の油かす生産量及び月末在庫量","確報","油糧生産実績調査（令和５年確報版）"
