"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME"
"0003200183","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","8100","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","11-1","BSI項目 資金繰り判断ＢＳＩ：総括表(構成比・BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","資金繰り判断ＢＳＩ：総括表(構成比・BSI)"
"0003200203","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","20880","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","11-2","BSI項目 資金繰り判断ＢＳＩ：業種別(BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","資金繰り判断ＢＳＩ：業種別(BSI)"
"0003200115","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","8100","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","12-1","BSI項目 金融機関の融資態度判断ＢＳＩ：総括表(構成比・BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","金融機関の融資態度判断ＢＳＩ：総括表(構成比・BSI)"
"0003200223","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","20880","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","12-2","BSI項目 金融機関の融資態度判断ＢＳＩ：業種別(BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","金融機関の融資態度判断ＢＳＩ：業種別(BSI)"
"0003200184","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","8100","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","13-1","BSI項目 設備判断ＢＳＩ：総括表(構成比・BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","設備判断ＢＳＩ：総括表(構成比・BSI)"
"0003200204","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","21240","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","13-2","BSI項目 設備判断ＢＳＩ：業種別(BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","設備判断ＢＳＩ：業種別(BSI)"
"0003200116","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","8100","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","14-1","BSI項目 従業員数判断ＢＳＩ：総括表(構成比・BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","従業員数判断ＢＳＩ：総括表(構成比・BSI)"
"0003200224","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","21240","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","14-2","BSI項目 従業員数判断ＢＳＩ：業種別(BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","従業員数判断ＢＳＩ：業種別(BSI)"
"0003200185","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","8100","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","15-1","BSI項目 臨時パート判断ＢＳＩ：総括表(構成比・BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","臨時パート判断ＢＳＩ：総括表(構成比・BSI)"
"0003200205","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","21240","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","15-2","BSI項目 臨時パート判断ＢＳＩ：業種別(BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","臨時パート判断ＢＳＩ：業種別(BSI)"
"0003200117","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","1800","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","16","BSI項目 収益改善のための方策(構成比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","収益改善のための方策(構成比)"
"0003200118","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","1512","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","16","BSI項目 来年度の企業収益・設備投資見通し(構成比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","来年度の企業収益・設備投資見通し(構成比)"
"0003200186","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","7560","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","16","BSI項目 今年度における設備投資のスタンス(構成比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","今年度における設備投資のスタンス(構成比)"
"0003200206","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","4680","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","16","BSI項目 今年度における利益配分のスタンス(構成比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","今年度における利益配分のスタンス(構成比)"
"0003200225","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","5040","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","16","BSI項目 今年度における資金調達方法(構成比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","今年度における資金調達方法(構成比)"
"0003200112","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","8100","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","3-1","BSI項目 売上高判断ＢＳＩ：総括表(構成比・BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","売上高判断ＢＳＩ：総括表(構成比・BSI)"
"0003326001","法人企業景気予測調査 結果の概要及び統計資料編","四半期","202407-202409","2024-09-12","0","該当なし","11070","2024-12-09","","00350610","法人企業景気予測調査","00350","財務省","3-1","BSI項目 設備判断ＢＳＩ：総括表(構成比・BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","設備判断ＢＳＩ：総括表(構成比・BSI)"
"0003326043","法人企業景気予測調査 結果の概要及び統計資料編","四半期","202407-202409","2024-09-12","0","該当なし","28764","2024-12-09","","00350610","法人企業景気予測調査","00350","財務省","3-1","計数項目 当年度設備投資：総括表(金額・前年同期比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","計数項目","当年度設備投資：総括表(金額・前年同期比)"
"0003200110","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","25596","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","3-1-1","計数項目 当年度設備投資：半期・総括表(金額・前年同期比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","計数項目","当年度設備投資：半期・総括表(金額・前年同期比)"
"0003200169","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","6480","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","3-1-2","計数項目 翌年度設備投資：半期・総括表(金額・前年同期比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","計数項目","翌年度設備投資：半期・総括表(金額・前年同期比)"
"0003326162","法人企業景気予測調査 結果の概要及び統計資料編","四半期","202407-202409","2024-09-12","0","該当なし","7200","2024-12-09","","00350610","法人企業景気予測調査","00350","財務省","3-1-2","計数項目 翌年度設備投資：総括表(金額・前年同期比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","計数項目","翌年度設備投資：総括表(金額・前年同期比)"
"0003200220","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","20880","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","3-2","BSI項目 売上高判断ＢＳＩ：業種別(BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","売上高判断ＢＳＩ：業種別(BSI)"
"0003326002","法人企業景気予測調査 結果の概要及び統計資料編","四半期","202407-202409","2024-09-12","0","該当なし","29226","2024-12-09","","00350610","法人企業景気予測調査","00350","財務省","3-2","BSI項目 設備判断ＢＳＩ：業種別(BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","設備判断ＢＳＩ：業種別(BSI)"
"0003326044","法人企業景気予測調査 結果の概要及び統計資料編","四半期","202407-202409","2024-09-12","0","該当なし","96198","2024-12-09","","00350610","法人企業景気予測調査","00350","財務省","3-2","計数項目 当年度設備投資：業種別(金額・前年同期比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","計数項目","当年度設備投資：業種別(金額・前年同期比)"
"0003200130","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","85374","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","3-2-1","計数項目 当年度設備投資：半期・業種別(金額・前年同期比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","計数項目","当年度設備投資：半期・業種別(金額・前年同期比)"
"0003200151","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","21600","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","3-2-2","計数項目 翌年度設備投資：半期・業種別(金額・前年同期比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","計数項目","翌年度設備投資：半期・業種別(金額・前年同期比)"
"0003326163","法人企業景気予測調査 結果の概要及び統計資料編","四半期","202407-202409","2024-09-12","0","該当なし","24060","2024-12-09","","00350610","法人企業景気予測調査","00350","財務省","3-2-2","計数項目 翌年度設備投資：業種別(金額・前年同期比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","計数項目","翌年度設備投資：業種別(金額・前年同期比)"
"0003200111","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","27708","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","3-3","計数項目 設備投資：四半期・総括表(金額・前年同期比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","計数項目","設備投資：四半期・総括表(金額・前年同期比)"
"0003326045","法人企業景気予測調査 結果の概要及び統計資料編","四半期","202407-202409","2024-09-12","0","該当なし","198","2024-12-09","","00350610","法人企業景気予測調査","00350","財務省","3-3","計数項目 設備投資：四半期・総括表(金額・前年同期比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","計数項目","設備投資：四半期・総括表(金額・前年同期比)"
"0003200170","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","91744","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","3-4","計数項目 設備投資：四半期・業種別(金額・前年同期比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","計数項目","設備投資：四半期・業種別(金額・前年同期比)"
"0003200181","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","8100","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","4-1","BSI項目 経常利益判断ＢＳＩ：総括表(構成比・BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","経常利益判断ＢＳＩ：総括表(構成比・BSI)"
