"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003362871","建設機械動向調査 動向調査","建設機械購入の地域比率","年度次","0","2019-12-04","0","該当なし","4406","2019-12-05","","00600080","建設機械動向調査","00600","国土交通省","05","鉱工業","02","製造業","建設機械動向調査","動向調査","建設機械購入の地域比率",""
"0003362872","建設機械動向調査 動向調査","建設機械購入の業種比率","年度次","0","2019-12-04","0","該当なし","35365","2019-12-05","","00600080","建設機械動向調査","00600","国土交通省","05","鉱工業","02","製造業","建設機械動向調査","動向調査","建設機械購入の業種比率",""
"0003362873","建設機械動向調査 動向調査","主要建設機械の管理台数地域比率","年度次","0","2019-12-04","0","該当なし","1177","2019-12-05","","00600080","建設機械動向調査","00600","国土交通省","05","鉱工業","02","製造業","建設機械動向調査","動向調査","主要建設機械の管理台数地域比率",""
"0003362874","建設機械動向調査 動向調査","主要建設機械の補正係数を用いた推定保有台数","年度次","0","2019-12-04","0","該当なし","6897","2019-12-05","","00600080","建設機械動向調査","00600","国土交通省","05","鉱工業","02","製造業","建設機械動向調査","動向調査","主要建設機械の補正係数を用いた推定保有台数",""
"0003362875","建設機械動向調査 動向調査","環境対策型建設機械及び超小旋回型機種、情報化施工機器の補正係数を用いた推定普及台数","年度次","0","2019-12-04","0","該当なし","627","2019-12-05","","00600080","建設機械動向調査","00600","国土交通省","05","鉱工業","02","製造業","建設機械動向調査","動向調査","環境対策型建設機械及び超小旋回型機種、情報化施工機器の補正係数を用いた推定普及台数","注：環境対策型建設機械、超小旋回型機種の台数は、推定保有台数の内数である。<br>　　また、環境対策型建設機械においては、１台の機械が複数の指定を受けている場合、各々の項目欄に台数が計上（例．低騒音型建設機械と排出ガス対策型建設機械（第１次基準値）に指定されている場合、<br>　　各々の欄に１台を計上）されるので、各項目の総和が環境対策型建設機械の合計台数にはならない。"
"0003362876","建設機械動向調査 動向調査","環境対策型建設機械及び超小旋回型機種の補正係数を用いた推定保有台数の地域比率","年度次","0","2019-12-04","0","該当なし","8910","2019-12-05","","00600080","建設機械動向調査","00600","国土交通省","05","鉱工業","02","製造業","建設機械動向調査","動向調査","環境対策型建設機械及び超小旋回型機種の補正係数を用いた推定保有台数の地域比率",""
