"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY3"
"0001784457","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","6","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","3","概要 平成30年主要品目別生産動向 しいたけ しいたけ菌床調達内訳","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","概要","平成30年主要品目別生産動向","","しいたけ","しいたけ菌床調達内訳",""
"0001784460","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","96","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","3","概要 平成30年主要品目別生産動向 ひらたけ","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","概要","平成30年主要品目別生産動向","","ひらたけ","",""
"0001784465","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","96","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","3","概要 平成30年主要品目別生産動向 生きくらげ類","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","概要","平成30年主要品目別生産動向","","生きくらげ類","",""
"0001784467","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","48","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","3","概要 平成30年主要品目別生産動向 くり","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","概要","平成30年主要品目別生産動向","","くり","",""
"0001784468","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","48","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","3","概要 平成30年主要品目別生産動向 たけのこ","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","概要","平成30年主要品目別生産動向","","たけのこ","",""
"0001784469","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","48","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","3","概要 平成30年主要品目別生産動向 ねまがりたけ","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","概要","平成30年主要品目別生産動向","","ねまがりたけ","",""
"0001784470","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","288","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","3","概要 平成30年主要品目別生産動向 わさび(生産量）","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","概要","平成30年主要品目別生産動向","","わさび(生産量）","",""
"0001784471","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","48","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","3","概要 平成30年主要品目別生産動向 わらび","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","概要","平成30年主要品目別生産動向","","わらび","",""
"0001784472","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","48","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","3","概要 平成30年主要品目別生産動向 乾ぜんまい","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","概要","平成30年主要品目別生産動向","","乾ぜんまい","",""
"0001784473","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","48","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","3","概要 平成30年主要品目別生産動向 おうれん","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","概要","平成30年主要品目別生産動向","","おうれん","",""
"0001784474","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","48","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","3","概要 平成30年主要品目別生産動向 きはだ皮","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","概要","平成30年主要品目別生産動向","","きはだ皮","",""
"0001784475","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","48","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","3","概要 平成30年主要品目別生産動向 木ろう","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","概要","平成30年主要品目別生産動向","","木ろう","",""
"0001784476","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","48","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","3","概要 平成30年主要品目別生産動向 生うるし","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","概要","平成30年主要品目別生産動向","","生うるし","",""
"0001784477","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","48","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","3","概要 平成30年主要品目別生産動向 つばき油","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","概要","平成30年主要品目別生産動向","","つばき油","",""
"0001784478","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","48","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","3","概要 平成30年主要品目別生産動向 竹皮","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","概要","平成30年主要品目別生産動向","","竹皮","",""
"0001784480","特用林産物生産統計調査 確報 平成30年特用林産基礎資料","年次","201801-201812","2019-12-27","0","該当なし","288","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","3","概要 平成30年主要品目別生産動向 桐材","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成30年特用林産基礎資料","概要","平成30年主要品目別生産動向","","桐材","",""
