"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE"
"0003114363","建築物着工統計","月次","0","2025-05-30","0","該当なし","596736","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","25","構造別、用途別、規模別（鉄骨造）／建築物の数、床面積","08","住宅・土地・建設","02","建設","建築物着工統計","構造別、用途別、規模別（鉄骨造）／建築物の数、床面積","","",""
"0003114512","建築物着工統計","年次","0","2025-05-30","0","該当なし","49728","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","25","構造別、用途別、規模別（鉄骨造）／建築物の数、床面積","08","住宅・土地・建設","02","建設","建築物着工統計","構造別、用途別、規模別（鉄骨造）／建築物の数、床面積","","",""
"0003117529","建築物着工統計","年度次","0","2025-05-30","0","該当なし","46176","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","25","構造別、用途別、規模別（鉄骨造）／建築物の数、床面積","08","住宅・土地・建設","02","建設","建築物着工統計","構造別、用途別、規模別（鉄骨造）／建築物の数、床面積","","",""
"0003114407","建築物着工統計","月次","0","2025-05-30","0","該当なし","13053600","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","3","用途別、構造別／建築物の数、床面積、工事費予定額","08","住宅・土地・建設","02","建設","建築物着工統計","用途別、構造別／建築物の数、床面積、工事費予定額","","",""
"0003114547","建築物着工統計","年次","0","2025-05-30","0","該当なし","1087800","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","3","用途別、構造別／建築物の数、床面積、工事費予定額","08","住宅・土地・建設","02","建設","建築物着工統計","用途別、構造別／建築物の数、床面積、工事費予定額","","",""
"0003117545","建築物着工統計","年度次","0","2025-05-30","0","該当なし","1010100","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","3","用途別、構造別／建築物の数、床面積、工事費予定額","08","住宅・土地・建設","02","建設","建築物着工統計","用途別、構造別／建築物の数、床面積、工事費予定額","","",""
"0003114409","建築物着工統計","月次","0","2025-05-30","0","該当なし","11117316","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","30","多用途建築物用途別、構造別／建築物の数、床面積、工事費予定額","08","住宅・土地・建設","02","建設","建築物着工統計","多用途建築物用途別、構造別／建築物の数、床面積、工事費予定額","","",""
"0003114494","建築物着工統計","年次","0","2025-05-30","0","該当なし","1066044","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","30","多用途建築物用途別、構造別／建築物の数、床面積、工事費予定額","08","住宅・土地・建設","02","建設","建築物着工統計","多用途建築物用途別、構造別／建築物の数、床面積、工事費予定額","","",""
"0003117504","建築物着工統計","年度次","0","2025-05-30","0","該当なし","989898","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","30","多用途建築物用途別、構造別／建築物の数、床面積、工事費予定額","08","住宅・土地・建設","02","建設","建築物着工統計","多用途建築物用途別、構造別／建築物の数、床面積、工事費予定額","","",""
"0003114396","建築物着工統計","月次","0","2025-05-30","0","該当なし","43701651","2026-01-22","","00600120","建築着工統計調査","00600","国土交通省","31","多用途建築物用途別（大分類）、階数別、構造別（新築工事）／建築物の数、床面積、敷地面積","08","住宅・土地・建設","02","建設","建築物着工統計","多用途建築物用途別（大分類）、階数別、構造別（新築工事）／建築物の数、床面積、敷地面積","","",""
"0003114533","建築物着工統計","年次","0","2025-05-30","0","該当なし","9911160","2026-01-23","","00600120","建築着工統計調査","00600","国土交通省","31","多用途建築物用途別（大分類）、階数別、構造別（新築工事）／建築物の数、床面積、敷地面積","08","住宅・土地・建設","02","建設","建築物着工統計","多用途建築物用途別（大分類）、階数別、構造別（新築工事）／建築物の数、床面積、敷地面積","","",""
"0003117512","建築物着工統計","年度次","0","2025-05-30","0","該当なし","7916160","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","31","多用途建築物用途別（大分類）、階数別、構造別（新築工事）／建築物の数、床面積、敷地面積","08","住宅・土地・建設","02","建設","建築物着工統計","多用途建築物用途別（大分類）、階数別、構造別（新築工事）／建築物の数、床面積、敷地面積","","",""
"0003114343","建築物着工統計","月次","0","2025-05-30","0","該当なし","223776","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","37","用途別、会社資本規模別／建築物の数、床面積、工事費予定額","08","住宅・土地・建設","02","建設","建築物着工統計","用途別、会社資本規模別／建築物の数、床面積、工事費予定額","","",""
"0003114551","建築物着工統計","年次","0","2025-05-30","0","該当なし","18648","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","37","用途別、会社資本規模別／建築物の数、床面積、工事費予定額","08","住宅・土地・建設","02","建設","建築物着工統計","用途別、会社資本規模別／建築物の数、床面積、工事費予定額","","",""
"0003117549","建築物着工統計","年度次","0","2025-05-30","0","該当なし","17316","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","37","用途別、会社資本規模別／建築物の数、床面積、工事費予定額","08","住宅・土地・建設","02","建設","建築物着工統計","用途別、会社資本規模別／建築物の数、床面積、工事費予定額","","",""
"0003114364","建築物着工統計","月次","0","2025-05-30","0","該当なし","16257024","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","38","都市計画別、用途別（大分類）、建築主別／建築物の数、床面積、工事費予定額","08","住宅・土地・建設","02","建設","建築物着工統計","都市計画別、用途別（大分類）、建築主別／建築物の数、床面積、工事費予定額","","",""
"0003114513","建築物着工統計","年次","0","2025-05-30","0","該当なし","1354752","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","38","都市計画別、用途別（大分類）、建築主別／建築物の数、床面積、工事費予定額","08","住宅・土地・建設","02","建設","建築物着工統計","都市計画別、用途別（大分類）、建築主別／建築物の数、床面積、工事費予定額","","",""
"0003117530","建築物着工統計","年度次","0","2025-05-30","0","該当なし","1257984","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","38","都市計画別、用途別（大分類）、建築主別／建築物の数、床面積、工事費予定額","08","住宅・土地・建設","02","建設","建築物着工統計","都市計画別、用途別（大分類）、建築主別／建築物の数、床面積、工事費予定額","","",""
"0003114393","建築物着工統計","月次","0","2025-05-30","0","該当なし","64350720","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","4","用途別（大分類）、地上の階数別、構造別（新築工事）／建築物の数、床面積、敷地面積","08","住宅・土地・建設","02","建設","建築物着工統計","用途別（大分類）、地上の階数別、構造別（新築工事）／建築物の数、床面積、敷地面積","","",""
"0003114509","建築物着工統計","年次","0","2025-05-30","0","該当なし","17556000","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","4","用途別（大分類）、地上の階数別、構造別（新築工事）／建築物の数、床面積、敷地面積","08","住宅・土地・建設","02","建設","建築物着工統計","用途別（大分類）、地上の階数別、構造別（新築工事）／建築物の数、床面積、敷地面積","","",""
"0003117526","建築物着工統計","年度次","0","2025-05-30","0","該当なし","16315110","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","4","用途別（大分類）、地上の階数別、構造別（新築工事）／建築物の数、床面積、敷地面積","08","住宅・土地・建設","02","建設","建築物着工統計","用途別（大分類）、地上の階数別、構造別（新築工事）／建築物の数、床面積、敷地面積","","",""
"0003114410","建築物着工統計","月次","0","2025-05-30","0","該当なし","20885760","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","40","用途別、地下の階数別（地下を有する新築工事）／建築物の数、床面積、工事費予定額、敷地面積","08","住宅・土地・建設","02","建設","建築物着工統計","用途別、地下の階数別（地下を有する新築工事）／建築物の数、床面積、工事費予定額、敷地面積","","",""
"0003114495","建築物着工統計","年次","0","2025-05-30","0","該当なし","1740480","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","40","用途別、地下の階数別（地下を有する新築工事）／建築物の数、床面積、工事費予定額、敷地面積","08","住宅・土地・建設","02","建設","建築物着工統計","用途別、地下の階数別（地下を有する新築工事）／建築物の数、床面積、工事費予定額、敷地面積","","",""
"0003117565","建築物着工統計","年度次","0","2025-05-30","0","該当なし","1616160","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","40","用途別、地下の階数別（地下を有する新築工事）／建築物の数、床面積、工事費予定額、敷地面積","08","住宅・土地・建設","02","建設","建築物着工統計","用途別、地下の階数別（地下を有する新築工事）／建築物の数、床面積、工事費予定額、敷地面積","","",""
"0003114340","建築物着工統計","月次","0","2025-05-30","0","該当なし","169344","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","5","都道府県別、建築主別／建築物の数、床面積、工事費予定額","08","住宅・土地・建設","02","建設","建築物着工統計","都道府県別、建築主別／建築物の数、床面積、工事費予定額","","",""
"0003114491","建築物着工統計","年次","0","2025-05-30","0","該当なし","14112","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","5","都道府県別、建築主別／建築物の数、床面積、工事費予定額","08","住宅・土地・建設","02","建設","建築物着工統計","都道府県別、建築主別／建築物の数、床面積、工事費予定額","","",""
"0003117501","建築物着工統計","年度次","0","2025-05-30","0","該当なし","13104","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","5","都道府県別、建築主別／建築物の数、床面積、工事費予定額","08","住宅・土地・建設","02","建設","建築物着工統計","都道府県別、建築主別／建築物の数、床面積、工事費予定額","","",""
"0003114530","建築物着工統計","年次","0","2025-05-30","0","該当なし","42336","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","6-1","都道府県別、構造別／建築物の数、床面積、工事費予定額","08","住宅・土地・建設","02","建設","建築物着工統計","都道府県別、構造別／建築物の数、床面積、工事費予定額","","",""
"0003117509","建築物着工統計","年度次","0","2025-05-30","0","該当なし","39311","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","6-1","都道府県別、構造別／建築物の数、床面積、工事費予定額","08","住宅・土地・建設","02","建設","建築物着工統計","都道府県別、構造別／建築物の数、床面積、工事費予定額","","",""
"0004000420","建築物着工統計","月次","0","2025-05-30","0","該当なし","508032","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","6-1","都道府県別、構造別／建築物の数、床面積、工事費予定額","08","住宅・土地・建設","02","建設","建築物着工統計","都道府県別、構造別／建築物の数、床面積、工事費予定額","","",""
"0003114432","建築物着工統計","月次","0","2020-12-25","0","該当なし","1550339","2026-01-22","","00600120","建築着工統計調査","00600","国土交通省","6-2","市区町村別、構造別／床面積","08","住宅・土地・建設","02","建設","建築物着工統計","市区町村別、構造別／床面積","","",""
"0003114548","建築物着工統計","年次","0","2020-01-31","0","該当なし","359352","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","6-2","市区町村別、構造別／建築物の数、床面積、工事費予定額","08","住宅・土地・建設","02","建設","建築物着工統計","市区町村別、構造別／建築物の数、床面積、工事費予定額","","",""
"0003117546","建築物着工統計","年度次","0","2021-04-30","0","該当なし","359184","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","6-2","市区町村別、構造別／建築物の数、床面積、工事費予定額","08","住宅・土地・建設","02","建設","建築物着工統計","市区町村別、構造別／建築物の数、床面積、工事費予定額","","",""
"0004018780","建築物着工統計","月次","0","2025-05-30","0","該当なし","871066","2026-01-23","","00600120","建築着工統計調査","00600","国土交通省","6-2","市区町村別、構造別／床面積（2020年4月以降）","08","住宅・土地・建設","02","建設","建築物着工統計","市区町村別、構造別／床面積（2020年4月以降）","","",""
"0004019180","建築物着工統計","年次","0","2025-05-30","0","該当なし","155562","2026-01-23","","00600120","建築着工統計調査","00600","国土交通省","6-2","市区町村別、構造別／建築物の数、床面積（2020年以降）","08","住宅・土地・建設","02","建設","建築物着工統計","市区町村別、構造別／建築物の数、床面積（2020年以降）","","",""
"0004019380","建築物着工統計","年度次","0","2025-05-30","0","該当なし","125174","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","6-2","市区町村別、構造別／建築物の数、床面積（2020年度以降）","08","住宅・土地・建設","02","建設","建築物着工統計","市区町村別、構造別／建築物の数、床面積（2020年度以降）","","",""
"0003114394","建築物着工統計","月次","0","2025-05-30","0","該当なし","1378944","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","7-1","都道府県別、用途別（大分類）／建築物の数、床面積、工事費予定額","08","住宅・土地・建設","02","建設","建築物着工統計","都道府県別、用途別（大分類）／建築物の数、床面積、工事費予定額","","",""
"0003114510","建築物着工統計","年次","0","2025-05-30","0","該当なし","114912","2026-01-20","","00600120","建築着工統計調査","00600","国土交通省","7-1","都道府県別、用途別（大分類）／建築物の数、床面積、工事費予定額","08","住宅・土地・建設","02","建設","建築物着工統計","都道府県別、用途別（大分類）／建築物の数、床面積、工事費予定額","","",""
