"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2"
"0003170569","外資系企業動向調査","解散・撤退・外資比率低下企業数 参入時期別 2006年以前","年度次","0","2017-03-31","0","該当なし","400","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","解散・撤退・外資比率低下企業数","参入時期別","2006年以前"
"0003170570","外資系企業動向調査","解散・撤退・外資比率低下企業数 資本金規模別 2006年以前","年度次","0","2017-03-31","0","該当なし","600","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","解散・撤退・外資比率低下企業数","資本金規模別","2006年以前"
"0003170571","外資系企業動向調査","仕入高、輸入高 母国籍別","年度次","0","2017-06-29","0","該当なし","7872","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","仕入高、輸入高","母国籍別",""
"0003170572","外資系企業動向調査","仕入高、輸入高 参入時期別","年度次","0","2017-06-29","0","該当なし","15738","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","仕入高、輸入高","参入時期別",""
"0003170573","外資系企業動向調査","経常利益等収益 参入時期別","年度次","0","2017-06-29","0","該当なし","8928","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","経常利益等収益","参入時期別",""
"0003170574","外資系企業動向調査","資産・資本 母国籍別","年度次","0","2017-06-29","0","該当なし","3444","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","資産・資本","母国籍別",""
"0003170581","外資系企業動向調査","集計企業数 母国籍別 2006年以前","年度次","0","2017-03-31","0","該当なし","4025","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","集計企業数","母国籍別","2006年以前"
"0003170582","外資系企業動向調査","資産・資本 合計","年度次","0","2017-06-29","0","該当なし","1148","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","資産・資本","合計",""
"0003170583","外資系企業動向調査","資産・資本 参入時期別","年度次","0","2017-06-29","0","該当なし","3288","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","資産・資本","参入時期別",""
"0003170584","外資系企業動向調査","外国側筆頭出資者への支払額 合計","年度次","0","2017-06-29","0","該当なし","1736","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","外国側筆頭出資者への支払額","合計",""
"0003170585","外資系企業動向調査","集計企業数 参入時期別 2006年以前","年度次","0","2017-03-31","0","該当なし","350","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","集計企業数","参入時期別","2006年以前"
"0003170586","外資系企業動向調査","売上高研究開発費比率 参入時期別","年度次","0","2017-06-29","0","該当なし","4656","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","売上高研究開発費比率","参入時期別",""
"0003170587","外資系企業動向調査","機能別国内事業所数 参入時期別 2006年以前","年度次","0","2017-03-31","0","該当なし","1500","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","機能別国内事業所数","参入時期別","2006年以前"
"0003170588","外資系企業動向調査","保有する事業所数別企業数 機能別 2006年以前","年度次","0","2017-03-31","0","該当なし","2475","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","保有する事業所数別企業数","機能別","2006年以前"
"0003170589","外資系企業動向調査","売上高の推移 2006年以前","年度次","0","2017-03-31","0","該当なし","285","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","売上高の推移","2006年以前",""
"0003170590","外資系企業動向調査","売上高、輸出高 外資比率別 2006年以前","年度次","0","2017-03-31","0","該当なし","2700","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","売上高、輸出高","外資比率別","2006年以前"
"0003170591","外資系企業動向調査","経常利益の推移 2006年以前","年度次","0","2017-03-31","0","該当なし","285","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","経常利益の推移","2006年以前",""
"0003170592","外資系企業動向調査","売上高、輸出高 参入時期別 2006年以前","年度次","0","2017-03-31","0","該当なし","2700","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","売上高、輸出高","参入時期別","2006年以前"
"0003170593","外資系企業動向調査","仕入高、輸入高 母国籍別 2006年以前","年度次","0","2017-03-31","0","該当なし","3861","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","仕入高、輸入高","母国籍別","2006年以前"
"0003170594","外資系企業動向調査","総資産の推移 2006年以前","年度次","0","2017-03-31","0","該当なし","285","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","総資産の推移","2006年以前",""
"0003170595","外資系企業動向調査","仕入高、輸入高 参入時期別 2006年以前","年度次","0","2017-03-31","0","該当なし","2700","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","仕入高、輸入高","参入時期別","2006年以前"
"0003170596","外資系企業動向調査","研究開発費の推移 2006年以前","年度次","0","2017-03-31","0","該当なし","285","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","研究開発費の推移","2006年以前",""
"0003170597","外資系企業動向調査","営業費用 合計 2006年以前","年度次","0","2017-03-31","0","該当なし","975","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","営業費用","合計","2006年以前"
"0003170598","外資系企業動向調査","営業費用 外資比率別 2006年以前","年度次","0","2017-03-31","0","該当なし","3900","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","営業費用","外資比率別","2006年以前"
"0003170599","外資系企業動向調査","常用雇用者数が最も多い地域別企業数","年度次","0","2017-03-31","0","該当なし","2080","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","常用雇用者数が最も多い地域別企業数","",""
"0003170600","外資系企業動向調査","売上高、輸出高 参入時期別","年度次","0","2017-06-29","0","該当なし","20442","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","売上高、輸出高","参入時期別",""
"0003170601","外資系企業動向調査","仕入高、輸入高 合計","年度次","0","2017-06-29","0","該当なし","2624","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","仕入高、輸入高","合計",""
"0003170602","外資系企業動向調査","仕入高、輸入高 外資比率別","年度次","0","2017-06-29","0","該当なし","10496","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","仕入高、輸入高","外資比率別",""
"0003170603","外資系企業動向調査","経常利益等収益 外資比率別","年度次","0","2017-06-29","0","該当なし","5952","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","経常利益等収益","外資比率別",""
"0003170604","外資系企業動向調査","資産・資本 外資比率別","年度次","0","2017-06-29","0","該当なし","4592","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","資産・資本","外資比率別",""
"0003170605","外資系企業動向調査","財務諸表比率 外資比率別","年度次","0","2017-06-29","0","該当なし","6280","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","財務諸表比率","外資比率別",""
"0003170606","外資系企業動向調査","設備投資額 参入時期別","年度次","0","2017-06-29","0","該当なし","2976","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","設備投資額","参入時期別",""
"0003170607","外資系企業動向調査","売上高研究開発費比率 合計","年度次","0","2017-06-29","0","該当なし","776","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","売上高研究開発費比率","合計",""
"0003170608","外資系企業動向調査","売上高研究開発費比率 外資比率別","年度次","0","2017-06-29","0","該当なし","3104","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","売上高研究開発費比率","外資比率別",""
"0003170609","外資系企業動向調査","集計企業数 都道府県別／製造業・非製造業 2006年以前","年度次","0","2017-03-31","0","該当なし","720","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","集計企業数","都道府県別／製造業・非製造業","2006年以前"
"0003170610","外資系企業動向調査","機能別国内事業所数 合計 2006年以前","年度次","0","2017-03-31","0","該当なし","375","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","機能別国内事業所数","合計","2006年以前"
"0003170611","外資系企業動向調査","機能別国内事業所数 母国籍別 2006年以前","年度次","0","2017-03-31","0","該当なし","1125","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","機能別国内事業所数","母国籍別","2006年以前"
"0003170612","外資系企業動向調査","機能別国内事業所数 外資比率別 2006年以前","年度次","0","2017-03-31","0","該当なし","1500","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","機能別国内事業所数","外資比率別","2006年以前"
"0003170613","外資系企業動向調査","外資比率が三分の一を超えた理由 外資比率別","年度次","0","2017-06-29","0","該当なし","360","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","外資比率が三分の一を超えた理由","外資比率別",""
"0003170614","外資系企業動向調査","売上高、輸出高 母国籍別 2006年以前","年度次","0","2017-03-31","0","該当なし","3861","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","売上高、輸出高","母国籍別","2006年以前"
"0003170616","外資系企業動向調査","設備投資の推移","年度次","0","2017-06-29","0","該当なし","248","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","設備投資の推移","",""
"0003170617","外資系企業動向調査","経常利益等収益 合計 2006年以前","年度次","0","2017-03-31","0","該当なし","603","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","経常利益等収益","合計","2006年以前"
"0003170618","外資系企業動向調査","研究開発費の推移","年度次","0","2017-06-29","0","該当なし","248","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","研究開発費の推移","",""
"0003170619","外資系企業動向調査","従業者数の推移 2006年以前","年度次","0","2017-03-31","0","該当なし","285","2017-03-31","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","従業者数の推移","2006年以前",""
"0003170620","外資系企業動向調査","財務諸表比率 参入時期別","年度次","0","2017-06-29","0","該当なし","9420","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","財務諸表比率","参入時期別",""
"0003170621","外資系企業動向調査","外国側筆頭出資者への支払額 母国籍別","年度次","0","2017-06-29","0","該当なし","5208","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","外国側筆頭出資者への支払額","母国籍別",""
"0003170622","外資系企業動向調査","外国側筆頭出資者への支払額 外資比率別","年度次","0","2017-06-29","0","該当なし","6944","2019-02-14","","00550110","外資系企業動向調査","00550","経済産業省","07","企業・家計・経済","01","企業活動","外資系企業動向調査","外国側筆頭出資者への支払額","外資比率別",""
