"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1"
"0001882941","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。） 確報 平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-09-30","0","該当なし","480","2021-10-01","","00500002","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","00500","農林水産省","1","産業連関表からみた農林漁業及び関連産業 取引基本表（９部門分類） (1)生産者価格評価表","07","企業・家計・経済","05","国民経済計算","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","産業連関表からみた農林漁業及び関連産業","取引基本表（９部門分類）","(1)生産者価格評価表"
"0001882942","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。） 確報 平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-09-30","0","該当なし","480","2021-10-01","","00500002","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","00500","農林水産省","1","産業連関表からみた農林漁業及び関連産業 取引基本表（９部門分類） (2)購入者価格評価表","07","企業・家計・経済","05","国民経済計算","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","産業連関表からみた農林漁業及び関連産業","取引基本表（９部門分類）","(2)購入者価格評価表"
"0001883004","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。） 確報 平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-09-30","0","該当なし","2812","2021-10-01","","00500002","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","00500","農林水産省","10","食用農林水産物の生産から飲食料の最終消費に至る流れ（飲食費のフロー） 購入者価格評価表","07","企業・家計・経済","05","国民経済計算","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","食用農林水産物の生産から飲食料の最終消費に至る流れ（飲食費のフロー）","購入者価格評価表",""
"0001883005","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。） 確報 平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-09-30","0","該当なし","30","2021-10-01","","00500002","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","00500","農林水産省","11","統計結果の概要 表１ 農林漁業及び関連産業の国内生産額","07","企業・家計・経済","05","国民経済計算","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","統計結果の概要","表１ 農林漁業及び関連産業の国内生産額",""
"0001883006","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。） 確報 平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-09-30","0","該当なし","480","2021-10-01","","00500002","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","00500","農林水産省","11","統計結果の概要 表２ 生産者価格評価表（９部門分類）（平成27年）","07","企業・家計・経済","05","国民経済計算","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","統計結果の概要","表２ 生産者価格評価表（９部門分類）（平成27年）",""
"0001883007","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。） 確報 平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-09-30","0","該当なし","480","2021-10-01","","00500002","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","00500","農林水産省","11","統計結果の概要 表３ 購入者価格評価表（９部門分類）（平成27年）","07","企業・家計・経済","05","国民経済計算","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","統計結果の概要","表３ 購入者価格評価表（９部門分類）（平成27年）",""
"0001883008","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。） 確報 平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-09-30","0","該当なし","264","2021-10-01","","00500002","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","00500","農林水産省","11","統計結果の概要 表４ 飲食費のフローの推移","07","企業・家計・経済","05","国民経済計算","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","統計結果の概要","表４ 飲食費のフローの推移",""
"0001883009","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。） 確報 平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-09-30","0","該当なし","72","2021-10-01","","00500002","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","00500","農林水産省","11","統計結果の概要 表５ 飲食料の最終消費額の推移","07","企業・家計・経済","05","国民経済計算","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","統計結果の概要","表５ 飲食料の最終消費額の推移",""
"0001883010","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。） 確報 平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-09-30","0","該当なし","162","2021-10-01","","00500002","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","00500","農林水産省","11","統計結果の概要 表６ 最終消費からみた飲食費の部門別の帰属額の推移","07","企業・家計・経済","05","国民経済計算","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","統計結果の概要","表６ 最終消費からみた飲食費の部門別の帰属額の推移",""
"0001883011","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。） 確報 平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-09-30","0","該当なし","72","2021-10-01","","00500002","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","00500","農林水産省","11","統計結果の概要 表７ 食品製造業に投入される食材の金額の推移","07","企業・家計・経済","05","国民経済計算","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","統計結果の概要","表７ 食品製造業に投入される食材の金額の推移",""
