"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1"
"0003169780","石油設備調査","結果表 貯油タンク 液化石油ガス以外","年次","0","2018-08-10","0","該当なし","9450","2018-08-10","","00551040","石油設備調査","00551","資源エネルギー庁","09","エネルギー・水","03","エネルギー需給","石油設備調査","結果表","貯油タンク","液化石油ガス以外"
"0003169781","石油設備調査","結果表 タンクローリー 白油・黒油","年次","0","2018-08-10","0","該当なし","3924","2018-08-10","","00551040","石油設備調査","00551","資源エネルギー庁","09","エネルギー・水","03","エネルギー需給","石油設備調査","結果表","タンクローリー","白油・黒油"
"0003169782","石油設備調査","結果表 タンクローリー 液化石油ガス","年次","0","2018-08-10","0","該当なし","1674","2018-08-10","","00551040","石油設備調査","00551","資源エネルギー庁","09","エネルギー・水","03","エネルギー需給","石油設備調査","結果表","タンクローリー","液化石油ガス"
"0003169800","石油設備調査","結果表 貯油タンク 液化石油ガス","年次","0","2018-08-10","0","該当なし","1890","2018-08-10","","00551040","石油設備調査","00551","資源エネルギー庁","09","エネルギー・水","03","エネルギー需給","石油設備調査","結果表","貯油タンク","液化石油ガス"
