"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003296680","土壌改良資材の農業用払出量調査 確報 平成29年政令指定土壌改良資材供給量（生産量及び輸入量）","年次","201701-201712","2019-06-26","0","該当なし","97","2024-02-06","","00500500","土壌改良資材の農業用払出量調査","00500","農林水産省","1","統計表 政令指定土壌改良資材供給量（生産量及び輸入量）									","05","鉱工業","02","製造業","土壌改良資材の農業用払出量調査","確報","平成29年政令指定土壌改良資材供給量（生産量及び輸入量）","統計表","政令指定土壌改良資材供給量（生産量及び輸入量）									","１.　本調査は統計法第１９条第１項に基づき実施されるものであり、政令指定土壌改良資材の取扱業者のうち農林水産省が把握 している業者に対して調査を行い、結果をとりまとめたものである。２.　供給量は、当該年の１月から１２月の間に生産または輸入され、農業用に払い出された数量である。農業用とその他用途の払出量の区別が困難な場合があるため、一部、他の用途の供給量も含まれている。2015年調査は、一部の業者が集計方法を見直したことにより、前年まで計上していた他の用途の供給量が一部除外された。３.　容量で報告された数値は、重量に換算した数値を記載した。４.　バークたい肥については、５年ごとに全数調査を行い、その他の年については標本調査（全数調査の結果を基に調査対象を抽出）を行っている。標本調査の年は下段にカッコ書きで標本調査の結果を記載し、上段に母集団の推計値を記載した。なお、2013年調査は全数調査で行っている。"
"0003296882","土壌改良資材の農業用払出量調査 確報 平成29年政令指定土壌改良資材供給量（生産量及び輸入量）","年次","201701-201712","2019-06-26","0","該当なし","97","2024-02-06","","00500500","土壌改良資材の農業用払出量調査","00500","農林水産省","2","統計表 政令指定土壌改良資材供給量（生産量）									","05","鉱工業","02","製造業","土壌改良資材の農業用払出量調査","確報","平成29年政令指定土壌改良資材供給量（生産量及び輸入量）","統計表","政令指定土壌改良資材供給量（生産量）									","１.　本調査は統計法第１９条第１項に基づき実施されるものであり、政令指定土壌改良資材の取扱業者のうち農林水産省が把握している業者に対して調査を行い、結果をとりまとめたものである。２.　供給量は、当該年の１月から１２月の間に生産され、農業用に払い出された数量である。農業用とその他用途の払出量の区別が困難な場合があるため、一部、他の用途の供給量も含まれている。2015年調査は、一部の業者が集計方法を見直したことにより、前年まで計上していた他の用途の供給量が一部除外された。３.　容量で報告された数値は、重量に換算した数値を記載した。４.　バークたい肥については、５年ごとに全数調査を行い、その他の年については標本調査（全数調査の結果を基に調査対象を抽出）を行っている。標本調査の年は下段にカッコ書きで標本調査の結果を記載し、上段に母集団の推計値を記載した。 なお、2013年調査は全数調査で行っている。"
"0003296883","土壌改良資材の農業用払出量調査 確報 平成29年政令指定土壌改良資材供給量（生産量及び輸入量）","年次","201701-201712","2019-06-26","0","該当なし","98","2024-02-06","","00500500","土壌改良資材の農業用払出量調査","00500","農林水産省","3","統計表 政令指定土壌改良資材供給量（輸入量）									","05","鉱工業","02","製造業","土壌改良資材の農業用払出量調査","確報","平成29年政令指定土壌改良資材供給量（生産量及び輸入量）","統計表","政令指定土壌改良資材供給量（輸入量）									","１.　本調査は統計法第１９条第１項に基づき実施されるものであり、政令指定土壌改良資材の取扱業者のうち農林水産省が把握している業者に対して調査を行い、結果をとりまとめたものである。２.　供給量は、当該年の１月から１２月の間に輸入され、農業用に払い出された数量である。農業用とその他用途の払出量の区別が困難な場合があるため、一部、他の用途の供給量も含まれている。 2015年以降の調査では一部の業者が集計方法を見直したことにより、前年まで計上していた他の用途の供給量が一部除外された。３.　容量で報告された数値は、重量に換算した数値を記載した。４.　バークたい肥については、５年ごとに全数調査を行い、その他の年については標本調査（全数調査の結果を基に調査対象を抽出）を行っている。標本調査の年は下段にカッコ書きで標本調査の結果を記載し、上段に母集団の推計値を記載した。なお、2013年調査は全数調査で行っている。"
"0001756015","土壌改良資材の農業用払出量調査 確報 平成30年土壌改良資材の生産量及び輸入量","年次","201801-201812","2020-01-31","0","該当なし","24","2024-02-06","","00500500","土壌改良資材の農業用払出量調査","00500","農林水産省","1-1","平成30年土壌改良資材の生産量調査 政令指定土壌改良資材の種類別生産量及び払出量","05","鉱工業","02","製造業","土壌改良資材の農業用払出量調査","確報","平成30年土壌改良資材の生産量及び輸入量","平成30年土壌改良資材の生産量調査","政令指定土壌改良資材の種類別生産量及び払出量",""
"0001756016","土壌改良資材の農業用払出量調査 確報 平成30年土壌改良資材の生産量及び輸入量","年次","201801-201812","2020-01-31","0","該当なし","24","2024-02-06","","00500500","土壌改良資材の農業用払出量調査","00500","農林水産省","2-1","平成30年土壌改良資材の輸入量調査 政令指定土壌改良資材の種類別輸入量及び払出量","05","鉱工業","02","製造業","土壌改良資材の農業用払出量調査","確報","平成30年土壌改良資材の生産量及び輸入量","平成30年土壌改良資材の輸入量調査","政令指定土壌改良資材の種類別輸入量及び払出量",""
"0001756017","土壌改良資材の農業用払出量調査 確報 平成30年土壌改良資材の生産量及び輸入量","年次","201801-201812","2020-01-31","0","該当なし","40","2024-02-06","","00500500","土壌改良資材の農業用払出量調査","00500","農林水産省","2-2","平成30年土壌改良資材の輸入量調査 政令指定土壌改良資材の輸入国別輸入量及び払出量","05","鉱工業","02","製造業","土壌改良資材の農業用払出量調査","確報","平成30年土壌改良資材の生産量及び輸入量","平成30年土壌改良資材の輸入量調査","政令指定土壌改良資材の輸入国別輸入量及び払出量",""
"0001874165","土壌改良資材の農業用払出量調査 確報 令和元年土壌改良資材の生産量及び輸入量","年次","201901-201912","2021-08-31","0","該当なし","78","2024-02-06","","00500500","土壌改良資材の農業用払出量調査","00500","農林水産省","1","統計表 政令指定土壌改良資材の種類別生産量及び輸入量","05","鉱工業","02","製造業","土壌改良資材の農業用払出量調査","確報","令和元年土壌改良資材の生産量及び輸入量","統計表","政令指定土壌改良資材の種類別生産量及び輸入量",""
"0001874166","土壌改良資材の農業用払出量調査 確報 令和元年土壌改良資材の生産量及び輸入量","年次","201901-201912","2021-08-31","0","該当なし","78","2024-02-06","","00500500","土壌改良資材の農業用払出量調査","00500","農林水産省","2","統計表 政令指定土壌改良資材の種類別生産量及び輸入量農業用払出量（生産及び輸入）","05","鉱工業","02","製造業","土壌改良資材の農業用払出量調査","確報","令和元年土壌改良資材の生産量及び輸入量","統計表","政令指定土壌改良資材の種類別生産量及び輸入量農業用払出量（生産及び輸入）",""
"0001874167","土壌改良資材の農業用払出量調査 確報 令和元年土壌改良資材の生産量及び輸入量","年次","201901-201912","2021-08-31","0","該当なし","84","2024-02-06","","00500500","土壌改良資材の農業用払出量調査","00500","農林水産省","3","統計表 政令指定土壌改良資材の輸入量及び農業用払出量","05","鉱工業","02","製造業","土壌改良資材の農業用払出量調査","確報","令和元年土壌改良資材の生産量及び輸入量","統計表","政令指定土壌改良資材の輸入量及び農業用払出量",""
"0001920061","土壌改良資材の農業用払出量調査 確報 令和２年土壌改良資材の農業用払出量","年次","202001-202012","2022-02-28","0","該当なし","78","2024-02-06","","00500500","土壌改良資材の農業用払出量調査","00500","農林水産省","1","統計表 政令指定土壌改良資材の種類別農業用払出量（国内生産及び輸入）","05","鉱工業","02","製造業","土壌改良資材の農業用払出量調査","確報","令和２年土壌改良資材の農業用払出量","統計表","政令指定土壌改良資材の種類別農業用払出量（国内生産及び輸入）",""
