"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME"
"0003149402","設備工事業に係る受注高調査 受注高","設備工事業に係る受注高調査　受注高　月次","月次","0","2022-06-06","0","該当なし","13608","2022-06-07","","00600880","設備工事業に係る受注高調査","00600","国土交通省","08","住宅・土地・建設","02","建設","設備工事業に係る受注高調査","受注高","設備工事業に係る受注高調査　受注高　月次"
"0003149422","設備工事業に係る受注高調査 受注高","設備工事業に係る受注高調査　受注高　年度次","年度次","0","2022-06-06","0","該当なし","1440","2022-06-07","","00600880","設備工事業に係る受注高調査","00600","国土交通省","08","住宅・土地・建設","02","建設","設備工事業に係る受注高調査","受注高","設備工事業に係る受注高調査　受注高　年度次"
"0003150921","設備工事業に係る受注高調査 受注高","設備工事業に係る受注高調査　施行高・手持ち工事高　 四半期","四半期","0","2022-06-06","0","該当なし","3816","2022-06-07","","00600880","設備工事業に係る受注高調査","00600","国土交通省","08","住宅・土地・建設","02","建設","設備工事業に係る受注高調査","受注高","設備工事業に係る受注高調査　施行高・手持ち工事高　 四半期"
