"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003313482","宿泊旅行統計調査（年確定値）","第１表　月（12区分）、施設所在地(47区分及び運輸局等)、従業者数(4区分)、宿泊目的割合(2区分)別施設数","年次","201601-201612","2019-03-15","0","該当なし","29232","2019-03-16","","00601020","宿泊旅行統計調査","00601","観光庁","10","運輸・観光","03","観光","宿泊旅行統計調査（年確定値）","第１表　月（12区分）、施設所在地(47区分及び運輸局等)、従業者数(4区分)、宿泊目的割合(2区分)別施設数","2016年総数は、宿泊目的割合不詳を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2015年総数は、宿泊目的割合不詳及び宿泊施設タイプ不詳を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2014年総数は、宿泊目的割合不詳及び宿泊施設タイプ不詳及び簡易宿所を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。総数は、従業者数10人未満を含む。"
"0003313483","宿泊旅行統計調査（年確定値）","第１表　月（12区分）、施設所在地（47区分及び運輸局等）、宿泊施設タイプ（6区分）別施設数","年次","201601-201612","2019-03-15","0","該当なし","11832","2019-03-16","","00601020","宿泊旅行統計調査","00601","観光庁","10","運輸・観光","03","観光","宿泊旅行統計調査（年確定値）","第１表　月（12区分）、施設所在地（47区分及び運輸局等）、宿泊施設タイプ（6区分）別施設数","2016年運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2015年運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2014年運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。"
"0003313520","宿泊旅行統計調査（年確定値）","第２表　年、月（12区分）、施設所在地(47区分及び運輸局等)、従業者数(4区分)、宿泊目的割合(2区分)別延べ宿泊者数","年次","201601-201612","2019-03-15","0","該当なし","38454","2019-03-16","","00601020","宿泊旅行統計調査","00601","観光庁","10","運輸・観光","03","観光","宿泊旅行統計調査（年確定値）","第２表　年、月（12区分）、施設所在地(47区分及び運輸局等)、従業者数(4区分)、宿泊目的割合(2区分)別延べ宿泊者数","2016年延べ宿泊者数は、宿泊目的割合不詳を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2015年延べ宿泊者数は、宿泊目的割合不詳を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2014年延べ宿泊者数は、宿泊目的割合不詳を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。延べ宿泊者数は、従業者数10人未満を含む。"
"0003313620","宿泊旅行統計調査（年確定値）","第３表　年、月（12区分）、施設所在地(47区分及び運輸局等)、従業者数(4区分)、宿泊目的割合(2区分)別実宿泊者数","年次","201601-201612","2019-03-15","0","該当なし","38454","2019-03-16","","00601020","宿泊旅行統計調査","00601","観光庁","10","運輸・観光","03","観光","宿泊旅行統計調査（年確定値）","第３表　年、月（12区分）、施設所在地(47区分及び運輸局等)、従業者数(4区分)、宿泊目的割合(2区分)別実宿泊者数","2016年実宿泊者数は、宿泊目的割合不詳を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2015年実宿泊者数は、宿泊目的割合不詳を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2014年実宿泊者数は、宿泊目的割合不詳を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。実宿泊者数は、従業者数10人未満を含む。"
"0003313661","宿泊旅行統計調査（年確定値）","第４表　年、月（12区分）、施設所在地(47区分及び運輸局等)、宿泊施設タイプ（6区分）別延べ宿泊者数","年次","201601-201612","2019-03-15","0","該当なし","30160","2019-03-16","","00601020","宿泊旅行統計調査","00601","観光庁","10","運輸・観光","03","観光","宿泊旅行統計調査（年確定値）","第４表　年、月（12区分）、施設所在地(47区分及び運輸局等)、宿泊施設タイプ（6区分）別延べ宿泊者数","2016年延べ宿泊者数は、宿泊施設タイプ不詳及び簡易宿所を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2015年延べ宿泊者数は、宿泊施設タイプ不詳を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2014年延べ宿泊者数は、宿泊施設タイプ不詳及び簡易宿所を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。"
"0003313680","宿泊旅行統計調査（年確定値）","第６表　年、月（12区分）、施設所在地(47区分及び運輸局等)、従業者数(4区分)、宿泊目的割合(2区分)別定員稼働率","年次","201601-201612","2019-03-15","0","該当なし","31668","2019-03-16","","00601020","宿泊旅行統計調査","00601","観光庁","10","運輸・観光","03","観光","宿泊旅行統計調査（年確定値）","第６表　年、月（12区分）、施設所在地(47区分及び運輸局等)、従業者数(4区分)、宿泊目的割合(2区分)別定員稼働率","2016年定員稼働率は、宿泊施設タイプ不詳及び簡易宿所を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2015年定員稼働率は、宿泊施設タイプ不詳を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2014年定員稼働率は、宿泊施設タイプ不詳及び簡易宿所を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。定員稼働率は、従業者数10人未満を含む。"
"0003313681","宿泊旅行統計調査（年確定値）","第６表　年、月（12区分）、施設所在地（47区分及び運輸局等）、宿泊施設タイプ（6区分）別定員稼働率","年次","201601-201612","2019-03-15","0","該当なし","12818","2019-03-16","","00601020","宿泊旅行統計調査","00601","観光庁","10","運輸・観光","03","観光","宿泊旅行統計調査（年確定値）","第６表　年、月（12区分）、施設所在地（47区分及び運輸局等）、宿泊施設タイプ（6区分）別定員稼働率","2016年運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2015年運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2014年運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。"
"0003313700","宿泊旅行統計調査（年確定値）","第５表　年、月（12区分）、施設所在地(47区分及び運輸局等)、宿泊施設タイプ（6区分）別実宿泊者数","年次","201601-201612","2019-03-15","0","該当なし","30160","2019-03-16","","00601020","宿泊旅行統計調査","00601","観光庁","10","運輸・観光","03","観光","宿泊旅行統計調査（年確定値）","第５表　年、月（12区分）、施設所在地(47区分及び運輸局等)、宿泊施設タイプ（6区分）別実宿泊者数","2016年実宿泊者数は、宿泊施設タイプ不詳及び簡易宿所を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2015年実宿泊者数は、宿泊施設タイプ不詳を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2014年実宿泊者数は、宿泊施設タイプ不詳及び簡易宿所を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。"
"0003313780","宿泊旅行統計調査（年確定値）","第７表　年、月（12区分）、施設所在地(47区分及び運輸局等)、従業者数(4区分)、宿泊目的割合(2区分)別利用客室数","年次","201601-201612","2019-03-15","0","該当なし","31668","2019-03-16","","00601020","宿泊旅行統計調査","00601","観光庁","10","運輸・観光","03","観光","宿泊旅行統計調査（年確定値）","第７表　年、月（12区分）、施設所在地(47区分及び運輸局等)、従業者数(4区分)、宿泊目的割合(2区分)別利用客室数","2016年利用客室数は、宿泊目的割合不詳及び宿泊施設タイプ不詳及び簡易宿所を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2015年利用客室数は、宿泊目的割合不詳及び宿泊施設タイプ不詳及び簡易宿所を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2014年利用客室数は、宿泊目的割合不詳及び宿泊施設タイプ不詳及び簡易宿所を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。利用客室数は、従業者数10人未満を含む。"
"0003313781","宿泊旅行統計調査（年確定値）","第７表　年、月（12区分）、施設所在地（47区分及び運輸局等）、宿泊施設タイプ（6区分）別利用客室数","年次","201601-201612","2019-03-15","0","該当なし","12818","2019-03-16","","00601020","宿泊旅行統計調査","00601","観光庁","10","運輸・観光","03","観光","宿泊旅行統計調査（年確定値）","第７表　年、月（12区分）、施設所在地（47区分及び運輸局等）、宿泊施設タイプ（6区分）別利用客室数","2016年運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2015年運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2014年運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。"
"0003313903","宿泊旅行統計調査（年確定値）","第８表　年、月（12区分）、施設所在地(47区分及び運輸局等)、従業者数(4区分)、宿泊目的割合(2区分)別客室稼働率","年次","201601-201612","2019-03-15","0","該当なし","31668","2019-03-16","","00601020","宿泊旅行統計調査","00601","観光庁","10","運輸・観光","03","観光","宿泊旅行統計調査（年確定値）","第８表　年、月（12区分）、施設所在地(47区分及び運輸局等)、従業者数(4区分)、宿泊目的割合(2区分)別客室稼働率","2016年客室稼働率は、宿泊目的割合不詳及び宿泊施設タイプ不詳及び簡易宿所を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2015年客室稼働率は、宿泊目的割合不詳及び宿泊施設タイプ不詳及び簡易宿所を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2014年客室稼働率は、宿泊目的割合不詳及び宿泊施設タイプ不詳及び簡易宿所を含む。運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。客室稼働率は、従業者数10人未満を含む。"
"0003313904","宿泊旅行統計調査（年確定値）","第８表　年、月（12区分）、施設所在地（47区分及び運輸局等）、宿泊施設タイプ（6区分）別客室稼働率","年次","201601-201612","2019-03-15","0","該当なし","12818","2019-03-16","","00601020","宿泊旅行統計調査","00601","観光庁","10","運輸・観光","03","観光","宿泊旅行統計調査（年確定値）","第８表　年、月（12区分）、施設所在地（47区分及び運輸局等）、宿泊施設タイプ（6区分）別客室稼働率","2016年運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2015年運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。2014年運輸局等：長野県は北陸信越運輸局、福井県は中部運輸局に含まれる。"
