"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_EXPLANATION","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY2"
"0001883927","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","297","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 中国四国農政局(昭和63年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","中国四国農政局(昭和63年～令和２年)","","",""
"0001883928","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 青森(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","青森(昭和35年～令和２年)","","",""
"0001883929","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 岩手(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","岩手(昭和35年～令和２年)","","",""
"0001883930","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 宮城(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","宮城(昭和35年～令和２年)","","",""
"0001883931","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 秋田(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","秋田(昭和35年～令和２年)","","",""
"0001883932","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 山形(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","山形(昭和35年～令和２年)","","",""
"0001883933","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 福島(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","福島(昭和35年～令和２年)","","",""
"0001883934","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 茨城(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","茨城(昭和35年～令和２年)","","",""
"0001883935","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 栃木(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","栃木(昭和35年～令和２年)","","",""
"0001883936","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 群馬(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","群馬(昭和35年～令和２年)","","",""
"0001883937","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 埼玉(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","埼玉(昭和35年～令和２年)","","",""
"0001883938","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 千葉(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","千葉(昭和35年～令和２年)","","",""
"0001883939","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 東京(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","東京(昭和35年～令和２年)","","",""
