"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003279866","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 １３　水産物の国・地域別輸入実績（２０１５年金額上位２０か国）","年次","201501-201512","2019-02-06","0","該当なし","89","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","１３　水産物の国・地域別輸入実績（２０１５年金額上位２０か国）",""
"0003279902","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 参考：農林水産物の国・地域別輸出実績（２０１５年金額上位２０か国：アルコール飲料、たばこ、真珠を除く）","年次","201501-201512","2019-02-06","0","該当なし","218","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","参考：農林水産物の国・地域別輸出実績（２０１５年金額上位２０か国：アルコール飲料、たばこ、真珠を除く）","1　農産物からアルコール飲料及びたばこ、水産物から真珠を除いた金額である。2　順位は、２０１５年の農林水産物（アルコール飲料、たばこ、真珠を除いた金額）輸出額合計による。"
"0003280050","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　ホタテ貝","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　ホタテ貝",""
"0003280051","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　アルコール飲料","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　アルコール飲料",""
"0003280052","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　真珠","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　真珠",""
"0003280053","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　ソース混合調味料","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　ソース混合調味料",""
"0003280054","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　たばこ","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　たばこ",""
"0003280055","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　清涼飲料水","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　清涼飲料水",""
"0003280056","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　さば","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　さば",""
"0003280057","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　菓子（米菓を除く）","年次","201501-201512","2019-02-06","0","該当なし","27","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　菓子（米菓を除く）",""
