"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME"
"0004010940","平成29年度　家庭部門のCO2排出実態統計調査 全国","年度次","201704-201803","2024-03-26","0","全国","68886","2024-03-26","","00650408","家庭部門のCO2排出実態統計調査","00650","環境省","1","基本項目（世帯、住宅、機器使用状況等）別-世帯人数、住宅の建て方等","14","司法・安全・環境","05","環境","平成29年度　家庭部門のCO2排出実態統計調査","全国","基本項目（世帯、住宅、機器使用状況等）別-世帯人数、住宅の建て方等"
"0004010941","平成29年度　家庭部門のCO2排出実態統計調査 全国","年度次","201704-201803","2024-03-26","0","全国","35972","2024-03-26","","00650408","家庭部門のCO2排出実態統計調査","00650","環境省","2-1","基本項目（世帯、住宅、機器使用状況等）別-機器の使用数量（テレビ、冷蔵庫、エアコン、洗濯機、衣類乾燥機、浴室乾燥機、食器洗い乾燥機、食器乾燥機、電子レンジ、ガスオーブン）","14","司法・安全・環境","05","環境","平成29年度　家庭部門のCO2排出実態統計調査","全国","基本項目（世帯、住宅、機器使用状況等）別-機器の使用数量（テレビ、冷蔵庫、エアコン、洗濯機、衣類乾燥機、浴室乾燥機、食器洗い乾燥機、食器乾燥機、電子レンジ、ガスオーブン）"
"0004010942","平成29年度　家庭部門のCO2排出実態統計調査 全国","年度次","201704-201803","2024-03-26","0","全国","46138","2024-03-26","","00650408","家庭部門のCO2排出実態統計調査","00650","環境省","2-2","基本項目（世帯、住宅、機器使用状況等）別-機器の使用数量（炊飯器、電気ポット、ウォーターサーバー、温水洗浄便座、暖房便座、加湿器、除湿機、空気清浄機、パソコン、ビデオレコーダー、インターネットモデム・ルーター）・ペットのための設備","14","司法・安全・環境","05","環境","平成29年度　家庭部門のCO2排出実態統計調査","全国","基本項目（世帯、住宅、機器使用状況等）別-機器の使用数量（炊飯器、電気ポット、ウォーターサーバー、温水洗浄便座、暖房便座、加湿器、除湿機、空気清浄機、パソコン、ビデオレコーダー、インターネットモデム・ルーター）・ペットのための設備"
"0004010943","平成29年度　家庭部門のCO2排出実態統計調査 全国","年度次","201704-201803","2024-03-26","0","全国","35190","2024-03-26","","00650408","家庭部門のCO2排出実態統計調査","00650","環境省","2-3","基本項目（世帯、住宅、機器使用状況等）別-機器の製造時期（テレビ、冷蔵庫、エアコン）","14","司法・安全・環境","05","環境","平成29年度　家庭部門のCO2排出実態統計調査","全国","基本項目（世帯、住宅、機器使用状況等）別-機器の製造時期（テレビ、冷蔵庫、エアコン）"
"0004010944","平成29年度　家庭部門のCO2排出実態統計調査 全国","年度次","201704-201803","2024-03-26","0","全国","53567","2024-03-26","","00650408","家庭部門のCO2排出実態統計調査","00650","環境省","2-4","基本項目（世帯、住宅、機器使用状況等）別-機器の種類・大きさ（テレビ、冷蔵庫、エアコン）","14","司法・安全・環境","05","環境","平成29年度　家庭部門のCO2排出実態統計調査","全国","基本項目（世帯、住宅、機器使用状況等）別-機器の種類・大きさ（テレビ、冷蔵庫、エアコン）"
"0004010945","平成29年度　家庭部門のCO2排出実態統計調査 全国","年度次","201704-201803","2024-03-26","0","全国","8211","2024-03-26","","00650408","家庭部門のCO2排出実態統計調査","00650","環境省","2-5","基本項目（世帯、住宅、機器使用状況等）別-機器の種類（給湯器・給湯システム、コンロ)","14","司法・安全・環境","05","環境","平成29年度　家庭部門のCO2排出実態統計調査","全国","基本項目（世帯、住宅、機器使用状況等）別-機器の種類（給湯器・給湯システム、コンロ)"
"0004010946","平成29年度　家庭部門のCO2排出実態統計調査 全国","年度次","201704-201803","2024-03-26","0","全国","5474","2024-03-26","","00650408","家庭部門のCO2排出実態統計調査","00650","環境省","2-6","基本項目（世帯、住宅、機器使用状況等）別-太陽光発電の使用有無、総容量","14","司法・安全・環境","05","環境","平成29年度　家庭部門のCO2排出実態統計調査","全国","基本項目（世帯、住宅、機器使用状況等）別-太陽光発電の使用有無、総容量"
"0004010947","平成29年度　家庭部門のCO2排出実態統計調査 全国","年度次","201704-201803","2024-03-26","0","全国","41385","2024-03-26","","00650408","家庭部門のCO2排出実態統計調査","00650","環境省","3-1","基本項目（世帯、住宅、機器使用状況等）別-暖房使用状況（暖房の仕方、個別暖房機器の使用台数、太陽熱利用暖房システムの使用状況、セントラル暖房システムの使用状況、床暖房の使用状況）","14","司法・安全・環境","05","環境","平成29年度　家庭部門のCO2排出実態統計調査","全国","基本項目（世帯、住宅、機器使用状況等）別-暖房使用状況（暖房の仕方、個別暖房機器の使用台数、太陽熱利用暖房システムの使用状況、セントラル暖房システムの使用状況、床暖房の使用状況）"
"0004010948","平成29年度　家庭部門のCO2排出実態統計調査 全国","年度次","201704-201803","2024-03-26","0","全国","45390","2024-03-26","","00650408","家庭部門のCO2排出実態統計調査","00650","環境省","3-2","基本項目（世帯、住宅、機器使用状況等）別-暖房使用状況（最もよく使う暖房機器、最もよく使う暖房機器の温度設定状況、最もよく使う暖房機器の寒い時期の平日の使用時間、ペットのための暖房使用の有無、暖房室数）","14","司法・安全・環境","05","環境","平成29年度　家庭部門のCO2排出実態統計調査","全国","基本項目（世帯、住宅、機器使用状況等）別-暖房使用状況（最もよく使う暖房機器、最もよく使う暖房機器の温度設定状況、最もよく使う暖房機器の寒い時期の平日の使用時間、ペットのための暖房使用の有無、暖房室数）"
"0004010949","平成29年度　家庭部門のCO2排出実態統計調査 全国","年度次","201704-201803","2024-03-26","0","全国","11200","2024-03-26","","00650408","家庭部門のCO2排出実態統計調査","00650","環境省","3-3","基本項目（世帯、住宅、機器使用状況等）別-冷房使用状況","14","司法・安全・環境","05","環境","平成29年度　家庭部門のCO2排出実態統計調査","全国","基本項目（世帯、住宅、機器使用状況等）別-冷房使用状況"
"0004010950","平成29年度　家庭部門のCO2排出実態統計調査 全国","年度次","201704-201803","2024-03-26","0","全国","36464","2024-03-26","","00650408","家庭部門のCO2排出実態統計調査","00650","環境省","3-4","基本項目（世帯、住宅、機器使用状況等）別-入浴状況、冬のお湯の使用状況","14","司法・安全・環境","05","環境","平成29年度　家庭部門のCO2排出実態統計調査","全国","基本項目（世帯、住宅、機器使用状況等）別-入浴状況、冬のお湯の使用状況"
