"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","DESCRIPTION.TABULATION_SUB_CATEGORY_EXPLANATION1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME"
"0003356270","航空機統計 国籍別航空機入港表","確定 国籍別航空機入港表 (1-12月：確定)","月次","0","2019-11-28","0","該当なし","44096","2019-11-29","00350320","船舶・航空機統計","00350","財務省","10","運輸・観光","01","運輸","航空機統計","国籍別航空機入港表","1月～表示月分までのデータ掲載です","確定","国籍別航空機入港表 (1-12月：確定)"
"0003356271","船舶統計 国籍別船舶入港表","確定 国籍別船舶入港表 (1-12月：確定)","月次","0","2019-11-28","0","該当なし","447148","2019-11-29","00350320","船舶・航空機統計","00350","財務省","10","運輸・観光","01","運輸","船舶統計","国籍別船舶入港表","1月～表示月分までのデータ掲載です","確定","国籍別船舶入港表 (1-12月：確定)"
