"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_NAME"
"0003421721","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","都道府県","5376","2024-03-01","","00200541","個人企業経済調査","00200","総務省","2302","産業大分類，法人化の予定別企業分布　－全国，都道府県","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，法人化の予定別企業分布　－全国，都道府県"
"0003421706","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","672","2024-03-01","","00200541","個人企業経済調査","00200","総務省","2401","産業大分類，後継者の有無，事業主の年齢階級別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，後継者の有無，事業主の年齢階級別企業分布　－全国"
"0003421722","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","896","2024-03-01","","00200541","個人企業経済調査","00200","総務省","2402","産業大分類，チェーン組織への加盟の有無，事業主の年齢階級別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，チェーン組織への加盟の有無，事業主の年齢階級別企業分布　－全国"
"0003421723","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","1568","2024-03-01","","00200541","個人企業経済調査","00200","総務省","2403","産業大分類，パーソナルコンピュータの使用の有無，事業主の年齢階級別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，パーソナルコンピュータの使用の有無，事業主の年齢階級別企業分布　－全国"
"0003421707","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","1120","2024-03-01","","00200541","個人企業経済調査","00200","総務省","2404","産業大分類，営業用土地・建物の所有形態，事業主の年齢階級別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，営業用土地・建物の所有形態，事業主の年齢階級別企業分布　－全国"
"0003421724","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","5600","2024-03-01","","00200541","個人企業経済調査","00200","総務省","2405","産業大分類，事業経営上の問題点，事業主の年齢階級別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，事業経営上の問題点，事業主の年齢階級別企業分布　－全国"
"0003421725","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","2688","2024-03-01","","00200541","個人企業経済調査","00200","総務省","2406","産業大分類，今後の事業展開，事業主の年齢階級別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，今後の事業展開，事業主の年齢階級別企業分布　－全国"
"0003421708","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","896","2024-03-01","","00200541","個人企業経済調査","00200","総務省","2407","産業大分類，法人化の予定，事業主の年齢階級別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，法人化の予定，事業主の年齢階級別企業分布　－全国"
"0003421726","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","2912","2024-03-01","","00200541","個人企業経済調査","00200","総務省","2501","産業大分類，従業者規模，事業主の年齢階級別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，従業者規模，事業主の年齢階級別企業分布　－全国"
"0003421727","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","1568","2024-03-01","","00200541","個人企業経済調査","00200","総務省","2502","産業大分類，事業所の開設時期，事業主の年齢階級別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，事業所の開設時期，事業主の年齢階級別企業分布　－全国"
"0003421709","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","336","2024-03-01","","00200541","個人企業経済調査","00200","総務省","2601","産業大分類，チェーン組織への加盟の有無，後継者の有無別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，チェーン組織への加盟の有無，後継者の有無別企業分布　－全国"
"0003421728","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","588","2024-03-01","","00200541","個人企業経済調査","00200","総務省","2602","産業大分類，パーソナルコンピュータの使用の有無，後継者の有無別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，パーソナルコンピュータの使用の有無，後継者の有無別企業分布　－全国"
"0003421729","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","420","2024-03-01","","00200541","個人企業経済調査","00200","総務省","2603","産業大分類，営業用土地・建物の所有形態, 後継者の有無別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，営業用土地・建物の所有形態, 後継者の有無別企業分布　－全国"
"0003421710","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","1008","2024-03-01","","00200541","個人企業経済調査","00200","総務省","2604","産業大分類，今後の事業展開，後継者の有無別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，今後の事業展開，後継者の有無別企業分布　－全国"
"0003421730","個人企業経済調査 個人企業経済調査（2019年（令和元年）以降）","年次","202306","2024-03-01","0","全国","1092","2024-03-01","","00200541","個人企業経済調査","00200","総務省","2701","産業大分類，従業者規模，後継者の有無別企業分布　－全国","07","企業・家計・経済","01","企業活動","個人企業経済調査","個人企業経済調査（2019年（令和元年）以降）","","産業大分類，従業者規模，後継者の有無別企業分布　－全国"
