"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY3","TITLE.@no","TITLE.$","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3"
"0003033409","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (10)特殊鋼熱間圧延鋼材 1、形状別（生産・販売・在庫） 鉄鋼編２","-","201001","2011-03-31","0","該当なし","546","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(10)特殊鋼熱間圧延鋼材","鉄鋼編２","1、形状別（生産・販売・在庫）","","","",""
"0003033429","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (7)普通鋼熱間圧延鋼材（生産・販売・在庫） 鉄鋼編１","-","201001","2011-03-31","0","該当なし","1716","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(7)普通鋼熱間圧延鋼材（生産・販売・在庫）","鉄鋼編１","","","","",""
"0003033482","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (8)普通鋼冷間仕上鋼材（生産・販売・在庫） 鉄鋼編１","-","201001","2011-03-31","0","該当なし","702","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(8)普通鋼冷間仕上鋼材（生産・販売・在庫）","鉄鋼編１","","","","",""
"0003033694","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (10)特殊鋼熱間圧延鋼材 2、鋼種別（生産・在庫） 鉄鋼編２","-","201001","2011-03-31","0","該当なし","1066","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(10)特殊鋼熱間圧延鋼材","鉄鋼編２","2、鋼種別（生産・在庫）","","","",""
"0003033695","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (11)鋼管 1、総表（生産・販売・在庫） 鉄鋼編２","-","201001","2011-03-31","0","該当なし","624","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(11)鋼管","鉄鋼編２","1、総表（生産・販売・在庫）","","","",""
"0003033696","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (11)鋼管 2、製法別・鋼種別生産内訳 鉄鋼編２","-","201001","2011-03-31","0","該当なし","364","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(11)鋼管","鉄鋼編２","2、製法別・鋼種別生産内訳","","","",""
"0003033697","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (12)特殊鋼冷間仕上鋼材及び鋳鉄管（生産・販売・在庫） 鉄鋼編２","-","201001","2011-03-31","0","該当なし","858","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(12)特殊鋼冷間仕上鋼材及び鋳鉄管（生産・販売・在庫）","鉄鋼編２","","","","",""
"0003033698","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (13)鉄鋼加工製品（生産・販売・在庫） 鉄鋼編２","-","201001","2011-03-31","0","該当なし","780","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(13)鉄鋼加工製品（生産・販売・在庫）","鉄鋼編２","","","","",""
"0003033709","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (14-1)最終鋼材 総表（生産） 鉄鋼編３","-","201001","2011-03-31","0","該当なし","1400","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(14-1)最終鋼材","鉄鋼編３","総表（生産）","","","",""
"0003033712","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (15)原材料 1、鉄くず需給 鉄鋼編４","-","201001","2011-03-31","0","該当なし","364","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(15)原材料","鉄鋼編４","1、鉄くず需給","","","",""
