"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003248281","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-17","0","該当なし","2550","2019-01-18","","00500302","食品産業企業設備投資動向調査","00500","農林水産省","1-1","企業の状況 主たる営業業種別","05","鉱工業","02","製造業","食品産業企業設備投資動向調査","企業の状況","主たる営業業種別",""
"0003249864","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-17","0","該当なし","450","2019-01-18","","00500302","食品産業企業設備投資動向調査","00500","農林水産省","1-1","企業の状況 業種別計（食料品製造業、外食産業別）","05","鉱工業","02","製造業","食品産業企業設備投資動向調査","企業の状況","業種別計（食料品製造業、外食産業別）",""
"0003248789","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-17","0","該当なし","3060","2019-01-18","","00500302","食品産業企業設備投資動向調査","00500","農林水産省","1-2","企業の状況 資本金、売上高規模別企業分布（主たる営業業種別）","05","鉱工業","02","製造業","食品産業企業設備投資動向調査","企業の状況","資本金、売上高規模別企業分布（主たる営業業種別）",""
"0003250023","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-17","0","該当なし","1870","2019-01-18","","00500302","食品産業企業設備投資動向調査","00500","農林水産省","1-2","企業の状況 資本金、工場数別企業分布（主たる営業業種別）","05","鉱工業","02","製造業","食品産業企業設備投資動向調査","企業の状況","資本金、工場数別企業分布（主たる営業業種別）",""
"0003251575","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-17","0","該当なし","714","2019-01-18","","00500302","食品産業企業設備投資動向調査","00500","農林水産省","1-3","企業の状況 第１位部門業種の売上高構成比別企業数（主たる営業業種別）","05","鉱工業","02","製造業","食品産業企業設備投資動向調査","企業の状況","第１位部門業種の売上高構成比別企業数（主たる営業業種別）",""
"0003252102","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-17","0","該当なし","2958","2019-01-18","","00500302","食品産業企業設備投資動向調査","00500","農林水産省","2-1","調査結果 工事部門別設備投資額「企業ベース」（前年度実績／当年度実績見込／次年度計画）","05","鉱工業","02","製造業","食品産業企業設備投資動向調査","調査結果","工事部門別設備投資額「企業ベース」（前年度実績／当年度実績見込／次年度計画）","区分不明な設備投資額は、「その他」に計上"
"0003254423","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-17","0","該当なし","168","2019-01-18","","00500302","食品産業企業設備投資動向調査","00500","農林水産省","2-1","調査結果 資本金、年度別設備投資額「企業ベース／業種ベース」平成24年度～平成26年度","05","鉱工業","02","製造業","食品産業企業設備投資動向調査","調査結果","資本金、年度別設備投資額「企業ベース／業種ベース」平成24年度～平成26年度",""
"0003254640","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-17","0","該当なし","540","2019-01-18","","00500302","食品産業企業設備投資動向調査","00500","農林水産省","2-1","調査結果 資本金、年度別設備投資額「企業ベース／業種ベース」平成27年度～","05","鉱工業","02","製造業","食品産業企業設備投資動向調査","調査結果","資本金、年度別設備投資額「企業ベース／業種ベース」平成27年度～",""
"0003255083","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-17","0","該当なし","168","2019-01-18","","00500302","食品産業企業設備投資動向調査","00500","農林水産省","2-1","調査結果 工事部門、資本金別設備投資額「企業ベース」平成24年度～平成26年度","05","鉱工業","02","製造業","食品産業企業設備投資動向調査","調査結果","工事部門、資本金別設備投資額「企業ベース」平成24年度～平成26年度",""
"0003255084","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-17","0","該当なし","510","2019-01-18","","00500302","食品産業企業設備投資動向調査","00500","農林水産省","2-1","調査結果 工事部門、資本金別設備投資額「企業ベース」平成27年度～","05","鉱工業","02","製造業","食品産業企業設備投資動向調査","調査結果","工事部門、資本金別設備投資額「企業ベース」平成27年度～",""
"0003254655","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-17","0","該当なし","408","2019-01-18","","00500302","食品産業企業設備投資動向調査","00500","農林水産省","2-2","調査結果 業種、年度別の設備投資状況「企業ベース／業種ベース」平成24年度～平成26年度","05","鉱工業","02","製造業","食品産業企業設備投資動向調査","調査結果","業種、年度別の設備投資状況「企業ベース／業種ベース」平成24年度～平成26年度",""
"0003254656","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-17","0","該当なし","612","2019-01-18","","00500302","食品産業企業設備投資動向調査","00500","農林水産省","2-2","調査結果 業種、年度別の設備投資状況「企業ベース／業種ベース」平成27年度～","05","鉱工業","02","製造業","食品産業企業設備投資動向調査","調査結果","業種、年度別の設備投資状況「企業ベース／業種ベース」平成27年度～",""
"0003255686","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-17","0","該当なし","1734","2019-01-18","","00500302","食品産業企業設備投資動向調査","00500","農林水産省","2-2","調査結果 取得設備投資額（前年度実績／当年度実績見込／次年度計画）「業種ベース」","05","鉱工業","02","製造業","食品産業企業設備投資動向調査","調査結果","取得設備投資額（前年度実績／当年度実績見込／次年度計画）「業種ベース」","区分不明な設備投資額は、「その他」に計上"
"0003263852","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-17","0","該当なし","306","2019-01-18","","00500302","食品産業企業設備投資動向調査","00500","農林水産省","2-3","調査結果 １企業当たり設備投資額","05","鉱工業","02","製造業","食品産業企業設備投資動向調査","調査結果","１企業当たり設備投資額",""
"0003268668","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-17","0","該当なし","1428","2019-01-18","","00500302","食品産業企業設備投資動向調査","00500","農林水産省","2-5","調査結果 長期資金運用（前年度実績／当年度実績見込／次年度計画）","05","鉱工業","02","製造業","食品産業企業設備投資動向調査","調査結果","長期資金運用（前年度実績／当年度実績見込／次年度計画）",""
"0003268669","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-17","0","該当なし","2652","2019-01-18","","00500302","食品産業企業設備投資動向調査","00500","農林水産省","2-5","調査結果 長期資金調達（前年度実績／当年度実績見込／次年度計画）","05","鉱工業","02","製造業","食品産業企業設備投資動向調査","調査結果","長期資金調達（前年度実績／当年度実績見込／次年度計画）",""
"0003269020","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-17","0","該当なし","84","2019-01-18","","00500302","食品産業企業設備投資動向調査","00500","農林水産省","2-5","調査結果 長期資金運用の実績及び計画（資金、資本金区分別）平成24年度～平成26年度","05","鉱工業","02","製造業","食品産業企業設備投資動向調査","調査結果","長期資金運用の実績及び計画（資金、資本金区分別）平成24年度～平成26年度",""
"0003269021","食品産業企業設備投資動向調査","年度次","201704-201803","2019-01-17","0","該当なし","189","2019-01-18","","00500302","食品産業企業設備投資動向調査","00500","農林水産省","2-5","調査結果 長期資金調達の実績及び計画（資金、資本金区分別）平成24年度～平成26年度","05","鉱工業","02","製造業","食品産業企業設備投資動向調査","調査結果","長期資金調達の実績及び計画（資金、資本金区分別）平成24年度～平成26年度",""
