"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE.@no","TITLE.$","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY"
"0002067698","木材需給表 確報 平成22（2010）年木材需給表","","年次","201001-201012","2024-03-29","0","該当なし","550","2024-03-29","","00501000","木材需給表","00501","林野庁","04","農林水産業","03","林業","木材需給表","確報","平成22（2010）年木材需給表","１）大中角・盤等の輸入半製品については，「輸入」の「製材品」に含めた。２）「パルプ・チップ用材」の表側が""_外数""のものは工場残材及び解体材・廃材から生産された木材チップであり，製材用材，合板用材，その他用材に含まれるので，「総需要量」及び「国内消費」の「用材小計」には含めていない。３）「林地残材」とは，立木を伐採した後の林地に残されている根株，枝条等のうち，利用を目的に工場に搬入されたものである。４）数値の合計値は，四捨五入のため計に一致しない場合がある。５）20年から貿易統計の44.21その他の木製品の項目に木製パネルの一部(4421.90.991)が追加されたことから、輸入のその他に計上している。","1","木材需給表 平成22（2010）年木材需給表","平成22（2010）年木材需給表","木材需給表"
"0002067484","木材需給表 確報 平成28（2016）年木材需給表","","年次","201601-201612","2024-03-29","0","該当なし","667","2024-03-29","","00501000","木材需給表","00501","林野庁","04","農林水産業","03","林業","木材需給表","確報","平成28（2016）年木材需給表","１）大中角・盤等の輸入半製品については、「輸入」の「製材品」に含めた。２）木材チップのうち、パルプ、紙、繊維板及び削片板等の原料になったものをパルプ・チップ用材に、発電等エネルギー源として利用されたものを燃料用チップ等用材に計上している。３）「パルプ・チップ用材」及び「燃料材」の表側が""_外数""のものは外数であり、工場残材及び解体材・廃材から生産された木材チップ等である。４）「林地残材」とは、立木を伐採した後の林地に残されている根株、枝条等のうち、利用を目的に木材チップ工場に搬入されたものである。５）輸出の丸太には、加工材、再生木材等を含む。６）数値の合計値は、四捨五入のため計に一致しない場合がある。※　平成26年から、木質バイオマス発電施設等においてエネルギー利用された燃料用チップ等を計上する「燃料用チップ等用材」の項目を新たに設けることとし、これを踏まえ「薪炭材」を「燃料材」に名称変更した。","1","木材需給表 平成28（2016）年木材需給表","平成28（2016）年木材需給表","木材需給表"
"0002067483","木材需給表 確報 平成29（2017）年木材需給表","","年次","201701-201712","2024-03-29","0","該当なし","690","2024-03-29","","00501000","木材需給表","00501","林野庁","04","農林水産業","03","林業","木材需給表","確報","平成29（2017）年木材需給表","１）大中角・盤等の輸入半製品については、「輸入」の「製材品」に含めた。２）木材チップのうち、パルプ、紙、繊維板及び削片板等の原料になったものをパルプ・チップ用材に、発電等エネルギー源として利用されたものを燃料用チップ等用材に計上している。３）「パルプ・チップ用材」及び「燃料材」の表側が""_外数""のものは外数であり、工場残材及び解体材・廃材から生産された木材チップ等である。４）「林地残材」とは、立木を伐採した後の林地に残されている根株、枝条等のうち、利用を目的に木材チップ工場に搬入されたものである。５）輸出のその他には、加工材、再生木材等を含む。６）数値の合計値は、四捨五入のため計に一致しない場合がある。※　平成26年から、木質バイオマス発電施設等においてエネルギー利用された燃料用チップ等を計上する「燃料用チップ等用材」の項目を新たに設けることとし、これを踏まえ「薪炭材」を「燃料材」に名称変更した。※　平成29年から、輸出の「その他」について、「丸太」と丸太以外の「その他」に分割した。","1","木材需給表 平成29（2017）年木材需給表","平成29（2017）年木材需給表","木材需給表"
"0002067405","木材需給表 確報 平成30（2018）年木材需給表","","年次","201801-201812","2024-03-29","0","該当なし","690","2024-03-29","","00501000","木材需給表","00501","林野庁","04","農林水産業","03","林業","木材需給表","確報","平成30（2018）年木材需給表","１）大中角・盤等の輸入半製品については、「輸入」の「製材品」に含めた。２）木材チップのうち、パルプ、紙、繊維板及び削片板等の原料になったものをパルプ・チップ用材に、発電等エネルギー源として利用されたものを燃料用チップ等用材に計上している。３）「パルプ・チップ用材」及び「燃料材」の表側が""_外数""のものは外数であり、工場残材及び解体材・廃材から生産された木材チップ等である。４）「林地残材」とは、立木を伐採した後の林地に残されている根株、枝条等のうち、利用を目的に木材チップ工場に搬入されたものである。５）輸出の用材のその他は、改良木材、再生木材、加工材、枕木、のこくずである。６）数値の合計値は、四捨五入のため計に一致しない場合がある。※　平成26年から、木質バイオマス発電施設等においてエネルギー利用された燃料用チップ等を計上する「燃料用チップ等用材」の項目を新たに設けることとし、これを踏まえ「薪炭材」を「燃料材」に名称変更した。※　平成29年から、輸出の「その他」について、「丸太」と丸太以外の「その他」に分割した。","1","木材需給表 平成30（2018）年木材需給表","平成30（2018）年木材需給表","木材需給表"
"0002067404","木材需給表 確報 令和元（2019）年木材需給表","","年次","201901-201912","2024-03-29","0","該当なし","690","2024-03-29","","00501000","木材需給表","00501","林野庁","04","農林水産業","03","林業","木材需給表","確報","令和元（2019）年木材需給表","１）大中角・盤等の輸入半製品については、「輸入」の「製材品」に含めた。２）木材チップのうち、パルプ、紙、繊維板及び削片板等の原料になったものをパルプ・チップ用材に、発電等エネルギー源として利用されたものを燃料用チップ等用材に計上している。３）「パルプ・チップ用材」及び「燃料材」の表側が""_外数""のものは外数であり、工場残材及び解体材・廃材から生産された木材チップ等である。４）「林地残材」とは、立木を伐採した後の林地に残されている根株、枝条等のうち、利用を目的に木材チップ工場に搬入されたものである。５）輸出の用材のその他は、改良木材、再生木材、加工材、枕木、のこくずである。６）数値の合計値は、四捨五入のため計に一致しない場合がある。※　平成26年から、木質バイオマス発電施設等においてエネルギー利用された燃料用チップ等を計上する「燃料用チップ等用材」の項目を新たに設けることとし、これを踏まえ「薪炭材」を「燃料材」に名称変更した。※　平成29年から、輸出の「その他」について、「丸太」と丸太以外の「その他」に分割した。","1","木材需給表 令和元（2019）年木材需給表","令和元（2019）年木材需給表","木材需給表"
"0002067900","木材需給表 確報 平成16（2004）年木材需給表","","年次","200401-200412","2024-03-29","0","該当なし","550","2024-03-29","","00501000","木材需給表","00501","林野庁","04","農林水産業","03","林業","木材需給表","確報","平成16（2004）年木材需給表","１）大中角・盤等の輸入半製品については，「輸入」の「製材品」に含めた。２）「パルプ・チップ用材」の表側が""_外数""のものは工場残材及び解体材・廃材から生産された木材チップであり，製材用材，合板用材，その他用材に含まれるので，「総需要量」及び「国内消費」の「用材小計」には含めていない。３）「林地残材」とは，立木を伐採した後の林地に残されている根株，枝条等のうち，利用を目的に工場に搬入されたものである。４）数値の合計値は，四捨五入のため計に一致しない場合がある。","1","木材需給表 平成16（2004）年木材需給表","平成16（2004）年木材需給表","木材需給表"
"0002067699","木材需給表 確報 平成21（2009）年木材需給表","","年次","200901-200912","2024-03-29","0","該当なし","550","2024-03-29","","00501000","木材需給表","00501","林野庁","04","農林水産業","03","林業","木材需給表","確報","平成21（2009）年木材需給表","１）大中角・盤等の輸入半製品については，「輸入」の「製材品」に含めた。２）「パルプ・チップ用材」の表側が""_外数""のものは工場残材及び解体材・廃材から生産された木材チップであり，製材用材，合板用材，その他用材に含まれるので，「総需要量」及び「国内消費」の「用材小計」には含めていない。３）「林地残材」とは，立木を伐採した後の林地に残されている根株，枝条等のうち，利用を目的に工場に搬入されたものである。４）数値の合計値は，四捨五入のため計に一致しない場合がある。５）20年から貿易統計の44.21その他の木製品の項目に木製パネルの一部(4421.90.991)が追加されたことから、輸入のその他に計上している。","1","木材需給表 平成21（2009）年木材需給表","平成21（2009）年木材需給表","木材需給表"
"0002067687","木材需給表 確報 平成26（2014）年木材需給表","","年次","201401-201412","2024-03-29","0","該当なし","667","2024-03-29","","00501000","木材需給表","00501","林野庁","04","農林水産業","03","林業","木材需給表","確報","平成26（2014）年木材需給表","１）大中角・盤等の輸入半製品については、「輸入」の「製材品」に含めた。２）木材チップのうち、パルプ、紙、繊維板及び削片板等の原料になったものをパルプ・チップ用材に、発電等エネルギー源として利用されたものを燃料用チップ等用材に計上している。３）「パルプ・チップ用材」及び「燃料用チップ等用材」の表側が""_外数""のものは外数であり、工場残材及び解体材・廃材から生産された木材チップ等である。４）「林地残材」とは、立木を伐採した後の林地に残されている根株、枝条等のうち、利用を目的に木材チップ工場に搬入されたものである。５）数値の合計値は、四捨五入のため計に一致しない場合がある。※　平成26年から、木質バイオマス発電施設等においてエネルギー利用された燃料用チップ等を計上する「燃料用チップ等用材」の項目を新たに設けることとし、これを踏まえ「薪炭材」を「燃料材」に名称変更した。","1","木材需給表 平成26（2014）年木材需給表","平成26（2014）年木材需給表","木材需給表"
"0002067633","木材需給表 確報 平成27（2015）年木材需給表","","年次","201501-201512","2024-03-29","0","該当なし","667","2024-03-29","","00501000","木材需給表","00501","林野庁","04","農林水産業","03","林業","木材需給表","確報","平成27（2015）年木材需給表","１）大中角・盤等の輸入半製品については、「輸入」の「製材品」に含めた。２）木材チップのうち、パルプ、紙、繊維板及び削片板等の原料になったものをパルプ・チップ用材に、発電等エネルギー源として利用されたものを燃料用チップ等用材に計上している。３）「パルプ・チップ用材」及び「燃料用チップ等用材」の表側が""_外数""のものは外数であり、工場残材及び解体材・廃材から生産された木材チップ等である。４）「林地残材」とは、立木を伐採した後の林地に残されている根株、枝条等のうち、利用を目的に木材チップ工場に搬入されたものである。５）輸出の丸太には、加工材、再生木材等を含む。６）数値の合計値は、四捨五入のため計に一致しない場合がある。※　平成26年から、木質バイオマス発電施設等においてエネルギー利用された燃料用チップ等を計上する「燃料用チップ等用材」の項目を新たに設けることとし、これを踏まえ「薪炭材」を「燃料材」に名称変更した。","1","木材需給表 平成27（2015）年木材需給表","平成27（2015）年木材需給表","木材需給表"
"0002067347","木材需給表 確報 令和２（2020）年木材需給表","","年次","202001-202012","2024-03-29","0","該当なし","690","2024-03-29","","00501000","木材需給表","00501","林野庁","04","農林水産業","03","林業","木材需給表","確報","令和２（2020）年木材需給表","１）大中角・盤等の輸入半製品は、輸入の「製材品等」に計上している。２）木材チップのうち、パルプ、紙、繊維板及び削片板等の原料になったものを「パルプ・チップ用材」に、発電等エネルギー源として利用されたものを「燃料用チップ等用材」に計上している。３）「パルプ・チップ用材」及び「燃料材」の表側が”_外数”のものは外数であり、工場残材及び解体材・廃材から生産された木材チップ等である。４）「林地残材」とは、立木を伐採した後の林地に残されている根株、枝条等のうち、利用を目的に木材チップ工場に搬入されたものである。５）「その他用材」は、枕木、電柱、くい丸太、足場丸太等である。６）輸出及び輸入の用材の「その他」は、改良木材、枕木、のこくず・木くずである。７）数値の合計値は、四捨五入のため計に一致しない場合がある。 ※　令和２年から、「用材」の内訳について、貿易統計により把握する集成材、構造用集成材、セルラーウッドパネル及び加工材の数量は「製材用材」（輸出と輸入は「製材品等」）に、再生木材の数量は「パルプ・チップ用材」（輸出は「木材パルプ・チップ等」、輸入は「木材チップ等」）に計上することとした（いずれも令和元年までは「その他用材」（輸出と輸入は「その他」）に計上）。","1","木材需給表 令和２（2020）年木材需給表","令和２（2020）年木材需給表","木材需給表"
"0002067805","木材需給表 確報 平成18（2006）年木材需給表","","年次","200601-200612","2024-03-29","0","該当なし","550","2024-03-29","","00501000","木材需給表","00501","林野庁","04","農林水産業","03","林業","木材需給表","確報","平成18（2006）年木材需給表","１）大中角・盤等の輸入半製品については，「輸入」の「製材品」に含めた。２）「パルプ・チップ用材」の表側が""_外数""のものは工場残材及び解体材・廃材から生産された木材チップであり，製材用材，合板用材，その他用材に含まれるので，「総需要量」及び「国内消費」の「用材小計」には含めていない。３）「林地残材」とは，立木を伐採した後の林地に残されている根株，枝条等のうち，利用を目的に工場に搬入されたものである。４）数値の合計値は，四捨五入のため計に一致しない場合がある。","1","木材需給表 平成18（2006）年木材需給表","平成18（2006）年木材需給表","木材需給表"
"0002067690","木材需給表 確報 平成23（2011）年木材需給表","","年次","201101-201112","2024-03-29","0","該当なし","550","2024-03-29","","00501000","木材需給表","00501","林野庁","04","農林水産業","03","林業","木材需給表","確報","平成23（2011）年木材需給表","１）大中角・盤等の輸入半製品については，「輸入」の「製材品」に含めた。２）「パルプ・チップ用材」の表側が""_外数""のものは工場残材及び解体材・廃材から生産された木材チップであり，製材用材，合板用材，その他用材に含まれるので，「総需要量」及び「国内消費」の「用材小計」には含めていない。３）「林地残材」とは，立木を伐採した後の林地に残されている根株，枝条等のうち，利用を目的に工場に搬入されたものである。４）20年から貿易統計の4421その他の木製品の項目に木製パネルの一部(4421.90.991)が追加されたことから、輸入のその他に計上している。５）23年から国内の丸太等から生産されたペレットについては、国内生産の薪炭材等に計上している。６）数値の合計値は，四捨五入のため計に一致しない場合がある。","1","木材需給表 平成23（2011）年木材需給表","平成23（2011）年木材需給表","木材需給表"
"0002067688","木材需給表 確報 平成25（2013）年木材需給表","","年次","201301-201312","2024-03-29","0","該当なし","550","2024-03-29","","00501000","木材需給表","00501","林野庁","04","農林水産業","03","林業","木材需給表","確報","平成25（2013）年木材需給表","１）大中角・盤等の輸入半製品については、「輸入」の「製材品」に含めた。２）「パルプ・チップ用材」の表側が""_外数""のものは外数であり、工場残材及び解体材・廃材から生産された木材チップである。３）「林地残材」とは、立木を伐採した後の林地に残されている根株、枝条等のうち、利用を目的に木材チップ工場に搬入されたものである。４）数値の合計値は、四捨五入のため計に一致しない場合がある。","1","木材需給表 平成25（2013）年木材需給表","平成25（2013）年木材需給表","木材需給表"
