"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_CATEGORY"
"0000130654","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","2880","2024-12-13","","00200543","科学技術研究調査","00200","総務省","012","会社、産業（３２）、社内使用研究費規模（上位５社，１０社，２０社）（３）、研究関係従事者数，社内使用研究費，受入研究費，社外支出研究費（３０）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","会社、産業（３２）、社内使用研究費規模（上位５社，１０社，２０社）（３）、研究関係従事者数，社内使用研究費，受入研究費，社外支出研究費（３０）",""
"0000130655","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","352","2024-12-13","","00200543","科学技術研究調査","00200","総務省","013","会社等（特殊法人含む）、産業（３２）、技術輸出件数，対価受取額（１１）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","会社等（特殊法人含む）、産業（３２）、技術輸出件数，対価受取額（１１）",""
"0000130656","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","352","2024-12-13","","00200543","科学技術研究調査","00200","総務省","014","会社等（特殊法人含む）、産業（３２）、技術輸入件数，対価支払額（１１）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","会社等（特殊法人含む）、産業（３２）、技術輸入件数，対価支払額（１１）",""
"0000130657","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","704","2024-12-13","","00200543","科学技術研究調査","00200","総務省","015","会社等（特殊法人含む）、産業（３２）、州別技術交流の件数，対価受払額（２２）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","会社等（特殊法人含む）、産業（３２）、州別技術交流の件数，対価受払額（２２）",""
"0000130658","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","5760","2024-12-13","","00200543","科学技術研究調査","00200","総務省","01601","会社（非掲載表）、産業（３２）、技術輸出（新規・継続）（３）、技術交流の州及び国（６０）、件数","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","会社（非掲載表）、産業（３２）、技術輸出（新規・継続）（３）、技術交流の州及び国（６０）、件数",""
"0000130659","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","5760","2024-12-13","","00200543","科学技術研究調査","00200","総務省","01602","会社（非掲載表）、産業（３２）、技術輸入（新規・継続）（３）、技術交流の州及び国（６０）、件数","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","会社（非掲載表）、産業（３２）、技術輸入（新規・継続）（３）、技術交流の州及び国（６０）、件数",""
"0000130660","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","5760","2024-12-13","","00200543","科学技術研究調査","00200","総務省","01603","会社（非掲載表）、産業（３２）、技術輸出（新規・継続）（３）、技術交流の州及び国（６０）、金額（受取額）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","会社（非掲載表）、産業（３２）、技術輸出（新規・継続）（３）、技術交流の州及び国（６０）、金額（受取額）",""
"0000130661","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","5760","2024-12-13","","00200543","科学技術研究調査","00200","総務省","01604","会社（非掲載表）、産業（３２）、技術輸入（新規・継続）（３）、技術交流の州及び国（６０）、金額（支払額）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","会社（非掲載表）、産業（３２）、技術輸入（新規・継続）（３）、技術交流の州及び国（６０）、金額（支払額）",""
"0000130662","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","336","2024-12-13","","00200543","科学技術研究調査","00200","総務省","01701","研究機関、学問（１２）、研究関係従事者数，内部使用研究費，受入研究費，外部支出研究費（２８）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","研究機関、学問（１２）、研究関係従事者数，内部使用研究費，受入研究費，外部支出研究費（２８）",""
"0000130663","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","896","2024-12-13","","00200543","科学技術研究調査","00200","総務省","01702","研究機関、組織（４）、学問（８）、研究関係従事者数，内部使用研究費，受入研究費，外部支出研究費（２８）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","研究機関、組織（４）、学問（８）、研究関係従事者数，内部使用研究費，受入研究費，外部支出研究費（２８）",""
