"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2"
"0003175401","建設業活動実態調査 調査結果","１．業種別・職種別常時従業者数","年次","0","2017-03-31","0","該当なし","864","2017-06-15","","00600150","建設業活動実態調査","00600","国土交通省","07","企業・家計・経済","01","企業活動","建設業活動実態調査","調査結果","１．業種別・職種別常時従業者数","",""
"0003175402","建設業活動実態調査 調査結果","１．業種別・職種別常時従業者数 国内在住外国人社員の国籍並びに受け入れ目的","年次","0","2017-03-31","0","該当なし","1536","2017-06-15","","00600150","建設業活動実態調査","00600","国土交通省","07","企業・家計・経済","01","企業活動","建設業活動実態調査","調査結果","１．業種別・職種別常時従業者数","国内在住外国人社員の国籍並びに受け入れ目的",""
"0003175403","建設業活動実態調査 調査結果","３．国際化の状況　（海外法人を含む） 直近１年間の海外建設事業の活動状況 解決しなければならないと考えている事項（重複回答）","年次","0","2017-03-31","0","該当なし","80","2017-06-15","","00600150","建設業活動実態調査","00600","国土交通省","07","企業・家計・経済","01","企業活動","建設業活動実態調査","調査結果","３．国際化の状況　（海外法人を含む）","直近１年間の海外建設事業の活動状況","解決しなければならないと考えている事項（重複回答）"
"0003175404","建設業活動実態調査 調査結果","３．国際化の状況　（海外法人を含む） 海外建設市場の状況 将来受注高を伸ばしたい国と地域","年次","0","2017-03-31","0","該当なし","320","2017-06-15","","00600150","建設業活動実態調査","00600","国土交通省","07","企業・家計・経済","01","企業活動","建設業活動実態調査","調査結果","３．国際化の状況　（海外法人を含む）","海外建設市場の状況","将来受注高を伸ばしたい国と地域"
"0003175405","建設業活動実態調査 調査結果","５．企業集団の状況 「年間増」形態別会社数","年次","0","2017-03-31","0","該当なし","112","2017-06-15","","00600150","建設業活動実態調査","00600","国土交通省","07","企業・家計・経済","01","企業活動","建設業活動実態調査","調査結果","５．企業集団の状況","「年間増」形態別会社数",""
"0003175420","建設業活動実態調査 調査結果","１．業種別・職種別常時従業者数 期末の業務部門別常時従業者数","年次","0","2017-03-31","0","該当なし","552","2017-06-15","","00600150","建設業活動実態調査","00600","国土交通省","07","企業・家計・経済","01","企業活動","建設業活動実態調査","調査結果","１．業種別・職種別常時従業者数","期末の業務部門別常時従業者数",""
"0003175421","建設業活動実態調査 調査結果","２．多角化の状況　（子会社、関連会社を除く） 直近１年間の設備投資の状況","年次","0","2017-03-31","0","該当なし","637","2017-06-15","","00600150","建設業活動実態調査","00600","国土交通省","07","企業・家計・経済","01","企業活動","建設業活動実態調査","調査結果","２．多角化の状況　（子会社、関連会社を除く）","直近１年間の設備投資の状況",""
"0003175422","建設業活動実態調査 調査結果","３．国際化の状況　（海外法人を含む） 海外建設市場の状況 重点・比重を置く項目（重複回答）","年次","0","2017-03-31","0","該当なし","80","2017-06-15","","00600150","建設業活動実態調査","00600","国土交通省","07","企業・家計・経済","01","企業活動","建設業活動実態調査","調査結果","３．国際化の状況　（海外法人を含む）","海外建設市場の状況","重点・比重を置く項目（重複回答）"
"0003175423","建設業活動実態調査 調査結果","４．技術開発等の状況　（子会社、関連会社は除く） 直近の事業年度の決算期末における工業所有権の自己開発所有件数","年次","0","2017-03-31","0","該当なし","64","2017-06-15","","00600150","建設業活動実態調査","00600","国土交通省","07","企業・家計・経済","01","企業活動","建設業活動実態調査","調査結果","４．技術開発等の状況　（子会社、関連会社は除く）","直近の事業年度の決算期末における工業所有権の自己開発所有件数",""
"0003175424","建設業活動実態調査 調査結果","４．技術開発等の状況　（子会社、関連会社は除く） 直近１年間における工業所有権種類別の国内、海外の導入と供与の件数","年次","0","2017-03-31","0","該当なし","252","2017-06-15","","00600150","建設業活動実態調査","00600","国土交通省","07","企業・家計・経済","01","企業活動","建設業活動実態調査","調査結果","４．技術開発等の状況　（子会社、関連会社は除く）","直近１年間における工業所有権種類別の国内、海外の導入と供与の件数",""
