"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1"
"0002002041","森林病害虫被害量 確報 令和３年度森林病害虫被害量","年度次","202104-202203","2023-02-28","0","該当なし","45","2023-03-14","","00501009","森林病害虫被害量","00501","林野庁","1-1","被害量 令和３年度松くい虫全国被害量（長期累計） 民有林＋国有林（昭和52年度～令和３年度）","04","農林水産業","03","林業","森林病害虫被害量","確報","令和３年度森林病害虫被害量","被害量","令和３年度松くい虫全国被害量（長期累計）","民有林＋国有林（昭和52年度～令和３年度）"
"0002015758","森林病害虫被害量 確報 令和３年度森林病害虫被害量","年度次","202104-202203","2023-02-28","0","該当なし","288","2023-03-14","","00501009","森林病害虫被害量","00501","林野庁","2-1","被害量 令和３年度松くい虫都道府県別被害量（直近5カ年） 民有林＋国有林（平成29年度～令和３年度）","04","農林水産業","03","林業","森林病害虫被害量","確報","令和３年度森林病害虫被害量","被害量","令和３年度松くい虫都道府県別被害量（直近5カ年）","民有林＋国有林（平成29年度～令和３年度）"
"0004003021","森林病害虫被害量 確報 令和３年度森林病害虫被害量","年度次","202104-202203","2023-02-28","0","該当なし","288","2023-03-14","","00501009","森林病害虫被害量","00501","林野庁","2-2","被害量 令和３年度松くい虫都道府県別被害量（直近5カ年） 民有林（平成29年度～令和３年度）","04","農林水産業","03","林業","森林病害虫被害量","確報","令和３年度森林病害虫被害量","被害量","令和３年度松くい虫都道府県別被害量（直近5カ年）","民有林（平成29年度～令和３年度）"
"0002002043","森林病害虫被害量 確報 令和３年度森林病害虫被害量","年度次","202104-202203","2023-02-28","0","該当なし","288","2023-03-14","","00501009","森林病害虫被害量","00501","林野庁","2-3","被害量 令和３年度松くい虫都道府県別被害量（直近5カ年） 国有林（平成29年度～令和３年度）","04","農林水産業","03","林業","森林病害虫被害量","確報","令和３年度森林病害虫被害量","被害量","令和３年度松くい虫都道府県別被害量（直近5カ年）","国有林（平成29年度～令和３年度）"
"0002002044","森林病害虫被害量 確報 令和３年度森林病害虫被害量","年度次","202104-202203","2023-02-28","0","該当なし","22","2023-03-14","","00501009","森林病害虫被害量","00501","林野庁","3-1","被害量 令和３年度ナラ枯れ全国被害量（長期累計） 民有林＋国有林（平成12年度～令和３年度）","04","農林水産業","03","林業","森林病害虫被害量","確報","令和３年度森林病害虫被害量","被害量","令和３年度ナラ枯れ全国被害量（長期累計）","民有林＋国有林（平成12年度～令和３年度）"
"0002015760","森林病害虫被害量 確報 令和３年度森林病害虫被害量","年度次","202104-202203","2023-02-28","0","該当なし","288","2023-03-14","","00501009","森林病害虫被害量","00501","林野庁","4-1","被害量 令和３年度ナラ枯れ都道府県別被害量（直近5カ年） 民有林＋国有林（平成29年度～令和３年度）","04","農林水産業","03","林業","森林病害虫被害量","確報","令和３年度森林病害虫被害量","被害量","令和３年度ナラ枯れ都道府県別被害量（直近5カ年）","民有林＋国有林（平成29年度～令和３年度）"
"0004003020","森林病害虫被害量 確報 令和３年度森林病害虫被害量","年度次","202104-202203","2023-02-28","0","該当なし","288","2023-03-14","","00501009","森林病害虫被害量","00501","林野庁","4-2","被害量 令和３年度ナラ枯れ都道府県別被害量（直近5カ年） 民有林（平成29年度～令和３年度）","04","農林水産業","03","林業","森林病害虫被害量","確報","令和３年度森林病害虫被害量","被害量","令和３年度ナラ枯れ都道府県別被害量（直近5カ年）","民有林（平成29年度～令和３年度）"
"0002002046","森林病害虫被害量 確報 令和３年度森林病害虫被害量","年度次","202104-202203","2023-02-28","0","該当なし","288","2023-03-14","","00501009","森林病害虫被害量","00501","林野庁","4-3","被害量 令和３年度ナラ枯れ都道府県別被害量（直近5カ年） 国有林（平成29年度～令和３年度）","04","農林水産業","03","林業","森林病害虫被害量","確報","令和３年度森林病害虫被害量","被害量","令和３年度ナラ枯れ都道府県別被害量（直近5カ年）","国有林（平成29年度～令和３年度）"
"0002077444","森林病害虫被害量 確報 令和４年度森林病害虫被害量","年度次","202204-202303","2024-03-29","0","該当なし","46","2024-03-29","","00501009","森林病害虫被害量","00501","林野庁","1-1","被害量 令和４年度松くい虫全国被害量（長期累計） 民有林＋国有林（昭和52年度～令和４年度）","04","農林水産業","03","林業","森林病害虫被害量","確報","令和４年度森林病害虫被害量","被害量","令和４年度松くい虫全国被害量（長期累計）","民有林＋国有林（昭和52年度～令和４年度）"
"0002077445","森林病害虫被害量 確報 令和４年度森林病害虫被害量","年度次","202204-202303","2024-03-29","0","該当なし","288","2024-03-29","","00501009","森林病害虫被害量","00501","林野庁","2-1","被害量 令和４年度松くい虫都道府県別被害量（直近5カ年） 民有林＋国有林（平成30年度～令和４年度）","04","農林水産業","03","林業","森林病害虫被害量","確報","令和４年度森林病害虫被害量","被害量","令和４年度松くい虫都道府県別被害量（直近5カ年）","民有林＋国有林（平成30年度～令和４年度）"
"0002077446","森林病害虫被害量 確報 令和４年度森林病害虫被害量","年度次","202204-202303","2024-03-29","0","該当なし","288","2024-03-29","","00501009","森林病害虫被害量","00501","林野庁","2-2","被害量 令和４年度松くい虫都道府県別被害量（直近5カ年） 民有林（平成30年度～令和４年度）","04","農林水産業","03","林業","森林病害虫被害量","確報","令和４年度森林病害虫被害量","被害量","令和４年度松くい虫都道府県別被害量（直近5カ年）","民有林（平成30年度～令和４年度）"
"0002077447","森林病害虫被害量 確報 令和４年度森林病害虫被害量","年度次","202204-202303","2024-03-29","0","該当なし","288","2024-03-29","","00501009","森林病害虫被害量","00501","林野庁","2-3","被害量 令和４年度松くい虫都道府県別被害量（直近5カ年） 国有林（平成30年度～令和４年度）","04","農林水産業","03","林業","森林病害虫被害量","確報","令和４年度森林病害虫被害量","被害量","令和４年度松くい虫都道府県別被害量（直近5カ年）","国有林（平成30年度～令和４年度）"
"0002077448","森林病害虫被害量 確報 令和４年度森林病害虫被害量","年度次","202204-202303","2024-03-29","0","該当なし","23","2024-03-29","","00501009","森林病害虫被害量","00501","林野庁","3-1","被害量 令和４年度ナラ枯れ全国被害量（長期累計） 民有林＋国有林（平成12年度～令和４年度）","04","農林水産業","03","林業","森林病害虫被害量","確報","令和４年度森林病害虫被害量","被害量","令和４年度ナラ枯れ全国被害量（長期累計）","民有林＋国有林（平成12年度～令和４年度）"
"0002077449","森林病害虫被害量 確報 令和４年度森林病害虫被害量","年度次","202204-202303","2024-03-29","0","該当なし","288","2024-03-29","","00501009","森林病害虫被害量","00501","林野庁","4-1","被害量 令和４年度ナラ枯れ都道府県別被害量（直近5カ年） 民有林＋国有林（平成30年度～令和４年度）","04","農林水産業","03","林業","森林病害虫被害量","確報","令和４年度森林病害虫被害量","被害量","令和４年度ナラ枯れ都道府県別被害量（直近5カ年）","民有林＋国有林（平成30年度～令和４年度）"
"0002077450","森林病害虫被害量 確報 令和４年度森林病害虫被害量","年度次","202204-202303","2024-03-29","0","該当なし","288","2024-03-29","","00501009","森林病害虫被害量","00501","林野庁","4-2","被害量 令和４年度ナラ枯れ都道府県別被害量（直近5カ年） 民有林（平成30年度～令和４年度）","04","農林水産業","03","林業","森林病害虫被害量","確報","令和４年度森林病害虫被害量","被害量","令和４年度ナラ枯れ都道府県別被害量（直近5カ年）","民有林（平成30年度～令和４年度）"
"0002077451","森林病害虫被害量 確報 令和４年度森林病害虫被害量","年度次","202204-202303","2024-03-29","0","該当なし","288","2024-03-29","","00501009","森林病害虫被害量","00501","林野庁","4-3","被害量 令和４年度ナラ枯れ都道府県別被害量（直近5カ年） 国有林（平成30年度～令和４年度）","04","農林水産業","03","林業","森林病害虫被害量","確報","令和４年度森林病害虫被害量","被害量","令和４年度ナラ枯れ都道府県別被害量（直近5カ年）","国有林（平成30年度～令和４年度）"
"0002119925","森林病害虫被害量 確報 令和５年度森林病害虫被害量","年度次","202304-202403","2025-03-31","0","該当なし","47","2025-04-08","","00501009","森林病害虫被害量","00501","林野庁","1-1","被害量 令和５年度松くい虫全国被害量（長期累計） 民有林＋国有林（昭和52年度～令和５年度）","04","農林水産業","03","林業","森林病害虫被害量","確報","令和５年度森林病害虫被害量","被害量","令和５年度松くい虫全国被害量（長期累計）","民有林＋国有林（昭和52年度～令和５年度）"
"0002119926","森林病害虫被害量 確報 令和５年度森林病害虫被害量","年度次","202304-202403","2025-03-31","0","該当なし","288","2025-04-08","","00501009","森林病害虫被害量","00501","林野庁","2-1","被害量 令和５年度松くい虫都道府県別被害量（直近5カ年） 民有林＋国有林（令和元年度～令和５年度）","04","農林水産業","03","林業","森林病害虫被害量","確報","令和５年度森林病害虫被害量","被害量","令和５年度松くい虫都道府県別被害量（直近5カ年）","民有林＋国有林（令和元年度～令和５年度）"
"0002119927","森林病害虫被害量 確報 令和５年度森林病害虫被害量","年度次","202304-202403","2025-03-31","0","該当なし","288","2025-04-08","","00501009","森林病害虫被害量","00501","林野庁","2-2","被害量 令和５年度松くい虫都道府県別被害量（直近5カ年） 民有林（令和元年度～令和５年度）","04","農林水産業","03","林業","森林病害虫被害量","確報","令和５年度森林病害虫被害量","被害量","令和５年度松くい虫都道府県別被害量（直近5カ年）","民有林（令和元年度～令和５年度）"
"0002119928","森林病害虫被害量 確報 令和５年度森林病害虫被害量","年度次","202304-202403","2025-03-31","0","該当なし","288","2025-04-08","","00501009","森林病害虫被害量","00501","林野庁","2-3","被害量 令和５年度松くい虫都道府県別被害量（直近5カ年） 国有林（令和元年度～令和５年度）","04","農林水産業","03","林業","森林病害虫被害量","確報","令和５年度森林病害虫被害量","被害量","令和５年度松くい虫都道府県別被害量（直近5カ年）","国有林（令和元年度～令和５年度）"
