"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME"
"0003191320","犯罪統計","第１表　刑法犯　罪種別　認知・検挙件数・検挙人員","年次","201601-201612","2017-12-11","0","該当なし","2310","2017-12-11","","00130001","犯罪統計","00130","警察庁","14","司法・安全・環境","02","犯罪","犯罪統計","第１表　刑法犯　罪種別　認知・検挙件数・検挙人員"
"0003191321","犯罪統計","第５表　重要犯罪・重要窃盗犯　認知・検挙件数・検挙人員　対前年比較","年次","201601-201612","2017-12-11","0","該当なし","1694","2017-12-11","","00130001","犯罪統計","00130","警察庁","14","司法・安全・環境","02","犯罪","犯罪統計","第５表　重要犯罪・重要窃盗犯　認知・検挙件数・検挙人員　対前年比較"
"0003191340","犯罪統計","第１表　刑法犯　罪種別　認知・検挙件数・検挙人員　対前年比較","年次","201601-201612","2017-12-11","0","該当なし","4158","2017-12-11","","00130001","犯罪統計","00130","警察庁","14","司法・安全・環境","02","犯罪","犯罪統計","第１表　刑法犯　罪種別　認知・検挙件数・検挙人員　対前年比較"
"0003191360","犯罪統計","第５表　重要犯罪・重要窃盗犯　認知・検挙件数・検挙人員","年次","201601-201612","2017-12-11","0","該当なし","924","2017-12-11","","00130001","犯罪統計","00130","警察庁","14","司法・安全・環境","02","犯罪","犯罪統計","第５表　重要犯罪・重要窃盗犯　認知・検挙件数・検挙人員"
"0003191380","犯罪統計","第２表　窃盗　手口別　認知・検挙件数・検挙人員","年次","201601-201612","2017-12-11","0","該当なし","2740","2017-12-11","","00130001","犯罪統計","00130","警察庁","14","司法・安全・環境","02","犯罪","犯罪統計","第２表　窃盗　手口別　認知・検挙件数・検挙人員"
"0003191381","犯罪統計","第２表　窃盗　手口別　認知・検挙件数・検挙人員　対前年比較","年次","201601-201612","2017-12-11","0","該当なし","4932","2017-12-11","","00130001","犯罪統計","00130","警察庁","14","司法・安全・環境","02","犯罪","犯罪統計","第２表　窃盗　手口別　認知・検挙件数・検挙人員　対前年比較"
"0003194930","犯罪統計","第４表　窃盗犯総数　都道府県別　認知・検挙件数・検挙人員　対前年比較","年次","201601-201612","2017-12-11","0","該当なし","840","2023-02-10","","00130001","犯罪統計","00130","警察庁","14","司法・安全・環境","02","犯罪","犯罪統計","第４表　窃盗犯総数　都道府県別　認知・検挙件数・検挙人員　対前年比較"
"0003194949","犯罪統計","第４表　窃盗犯総数　都道府県別　認知・検挙件数・検挙人員","年次","201601-201612","2017-12-11","0","該当なし","480","2023-02-10","","00130001","犯罪統計","00130","警察庁","14","司法・安全・環境","02","犯罪","犯罪統計","第４表　窃盗犯総数　都道府県別　認知・検挙件数・検挙人員"
"0003194968","犯罪統計","第３表　刑法犯総数  都道府県別　認知・検挙件数・検挙人員　対前年比較","年次","201601-201612","2017-12-11","0","該当なし","4620","2023-02-10","","00130001","犯罪統計","00130","警察庁","14","司法・安全・環境","02","犯罪","犯罪統計","第３表　刑法犯総数  都道府県別　認知・検挙件数・検挙人員　対前年比較"
"0003194969","犯罪統計","第６表　重要犯罪・重要窃盗犯　都道府県別　認知・検挙件数・検挙人員　対前年比較","年次","201601-201612","2017-12-11","0","該当なし","69300","2023-02-10","","00130001","犯罪統計","00130","警察庁","14","司法・安全・環境","02","犯罪","犯罪統計","第６表　重要犯罪・重要窃盗犯　都道府県別　認知・検挙件数・検挙人員　対前年比較"
"0003195002","犯罪統計","第３表　刑法犯総数　都道府県別　認知・検挙件数・検挙人員","年次","201601-201612","2017-12-11","0","該当なし","2640","2023-02-10","","00130001","犯罪統計","00130","警察庁","14","司法・安全・環境","02","犯罪","犯罪統計","第３表　刑法犯総数　都道府県別　認知・検挙件数・検挙人員"
"0003195003","犯罪統計","第６表　重要犯罪・重要窃盗犯　都道府県別　認知・検挙件数・検挙人員","年次","201601-201612","2017-12-11","0","該当なし","39600","2023-02-10","","00130001","犯罪統計","00130","警察庁","14","司法・安全・環境","02","犯罪","犯罪統計","第６表　重要犯罪・重要窃盗犯　都道府県別　認知・検挙件数・検挙人員"
