"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY2"
"0003202380","木材流通統計調査 確報 平成23年木材流通構造調査報告書","年次","201101-201112","2012-10-17","0","該当なし","360","2017-10-16","","00500219","木材流通統計調査","00500","農林水産省","1-1","総括表(2012年10月17日公表) 素材の入荷先別入荷量 合計","04","農林水産業","03","林業","木材流通統計調査","確報","平成23年木材流通構造調査報告書","総括表(2012年10月17日公表)","素材の入荷先別入荷量","合計","",""
"0003202400","木材流通統計調査 確報 平成23年木材流通構造調査報告書","年次","201101-201112","2012-10-17","0","該当なし","360","2017-10-16","","00500219","木材流通統計調査","00500","農林水産省","1-1","総括表(2012年10月17日公表) 素材の入荷先別入荷量 国産材","04","農林水産業","03","林業","木材流通統計調査","確報","平成23年木材流通構造調査報告書","総括表(2012年10月17日公表)","素材の入荷先別入荷量","国産材","",""
"0003202420","木材流通統計調査 確報 平成23年木材流通構造調査報告書","年次","201101-201112","2012-10-17","0","該当なし","288","2017-10-16","","00500219","木材流通統計調査","00500","農林水産省","1-1","総括表(2012年10月17日公表) 素材の入荷先別入荷量 外材","04","農林水産業","03","林業","木材流通統計調査","確報","平成23年木材流通構造調査報告書","総括表(2012年10月17日公表)","素材の入荷先別入荷量","外材","",""
"0003202423","木材流通統計調査 確報 平成23年木材流通構造調査報告書","年次","201101-201112","2012-10-17","0","該当なし","20","2017-10-16","","00500219","木材流通統計調査","00500","農林水産省","1-10","総括表(2012年10月17日公表) 木材チップの出荷先別出荷量 木材チップ工場","04","農林水産業","03","林業","木材流通統計調査","確報","平成23年木材流通構造調査報告書","総括表(2012年10月17日公表)","木材チップの出荷先別出荷量","木材チップ工場","",""
"0003202443","木材流通統計調査 確報 平成23年木材流通構造調査報告書","年次","201101-201112","2012-10-17","0","該当なし","60","2017-10-16","","00500219","木材流通統計調査","00500","農林水産省","1-10","総括表(2012年10月17日公表) 木材チップの出荷先別出荷量 木材流通業者","04","農林水産業","03","林業","木材流通統計調査","確報","平成23年木材流通構造調査報告書","総括表(2012年10月17日公表)","木材チップの出荷先別出荷量","木材流通業者","",""
"0003202384","木材流通統計調査 確報 平成23年木材流通構造調査報告書","年次","201101-201112","2012-10-17","0","該当なし","156","2017-10-16","","00500219","木材流通統計調査","00500","農林水産省","1-11","総括表(2012年10月17日公表) 工場残材の出荷先別出荷量","04","農林水産業","03","林業","木材流通統計調査","確報","平成23年木材流通構造調査報告書","総括表(2012年10月17日公表)","工場残材の出荷先別出荷量","","",""
"0003202381","木材流通統計調査 確報 平成23年木材流通構造調査報告書","年次","201101-201112","2012-10-17","0","該当なし","150","2017-10-16","","00500219","木材流通統計調査","00500","農林水産省","1-2","総括表(2012年10月17日公表) 材料の入荷先別入荷量 集成材工場","04","農林水産業","03","林業","木材流通統計調査","確報","平成23年木材流通構造調査報告書","総括表(2012年10月17日公表)","材料の入荷先別入荷量","集成材工場","",""
"0003202440","木材流通統計調査 確報 平成23年木材流通構造調査報告書","年次","201101-201112","2012-10-17","0","該当なし","270","2017-10-16","","00500219","木材流通統計調査","00500","農林水産省","1-2","総括表(2012年10月17日公表) 材料の入荷先別入荷量 プレカット工場","04","農林水産業","03","林業","木材流通統計調査","確報","平成23年木材流通構造調査報告書","総括表(2012年10月17日公表)","材料の入荷先別入荷量","プレカット工場","",""
"0003202401","木材流通統計調査 確報 平成23年木材流通構造調査報告書","年次","201101-201112","2012-10-17","0","該当なし","168","2017-10-16","","00500219","木材流通統計調査","00500","農林水産省","1-3","総括表(2012年10月17日公表) 原料の入荷先別入荷量 木材チップ工場","04","農林水産業","03","林業","木材流通統計調査","確報","平成23年木材流通構造調査報告書","総括表(2012年10月17日公表)","原料の入荷先別入荷量","木材チップ工場","",""
"0003202382","木材流通統計調査 確報 平成23年木材流通構造調査報告書","年次","201101-201112","2012-10-17","0","該当なし","120","2017-10-16","","00500219","木材流通統計調査","00500","農林水産省","1-4","総括表(2012年10月17日公表) 製材品の出荷先別出荷量 外材（国内生産）","04","農林水産業","03","林業","木材流通統計調査","確報","平成23年木材流通構造調査報告書","総括表(2012年10月17日公表)","製材品の出荷先別出荷量","外材（国内生産）","",""
"0003202421","木材流通統計調査 確報 平成23年木材流通構造調査報告書","年次","201101-201112","2012-10-17","0","該当なし","120","2017-10-16","","00500219","木材流通統計調査","00500","農林水産省","1-4","総括表(2012年10月17日公表) 製材品の出荷先別出荷量 合計","04","農林水産業","03","林業","木材流通統計調査","確報","平成23年木材流通構造調査報告書","総括表(2012年10月17日公表)","製材品の出荷先別出荷量","合計","",""
