"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME"
"0002011840","チーズの需給表 確報 令和２年度チーズの需給表","令和２年度チーズの需給表 統計表","年度次","202004-202103","2023-02-28","0","該当なし","260","2023-03-07","","00500509","チーズの需給表","00500","農林水産省","04","農林水産業","02","畜産業","チーズの需給表","確報","令和２年度チーズの需給表","令和２年度チーズの需給表","統計表"
"0002069043","チーズの需給表 確報 令和３年度チーズの需給表","令和３年度チーズの需給表 統計表","年度次","202104-202203","2024-03-29","0","該当なし","260","2024-03-29","","00500509","チーズの需給表","00500","農林水産省","04","農林水産業","02","畜産業","チーズの需給表","確報","令和３年度チーズの需給表","令和３年度チーズの需給表","統計表"
