"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2"
"0003372807","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","都道府県","16896","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","11","沿海地区出資漁業協同組合 販売事業　（３）組合員数（正および准組合員数の合計）別取扱高別組合数","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","販売事業　（３）組合員数（正および准組合員数の合計）別取扱高別組合数","","",""
"0003404531","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","全国","6912","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","11","沿海地区出資漁業協同組合 販売事業　（２）品目別取扱高","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","販売事業　（２）品目別取扱高","","",""
"0003404531","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","都道府県","6912","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","11","沿海地区出資漁業協同組合 販売事業　（２）品目別取扱高","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","販売事業　（２）品目別取扱高","","",""
"0003404532","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","全国","1728","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","12","沿海地区出資漁業協同組合 製氷・冷凍・冷蔵事業　実施状況及び取扱高","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","製氷・冷凍・冷蔵事業　実施状況及び取扱高","","",""
"0003404532","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","都道府県","1728","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","12","沿海地区出資漁業協同組合 製氷・冷凍・冷蔵事業　実施状況及び取扱高","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","製氷・冷凍・冷蔵事業　実施状況及び取扱高","","",""
"0003372809","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","全国","2304","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","13","沿海地区出資漁業協同組合 漁業自営事業　（１）実施状況","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","漁業自営事業　（１）実施状況","","",""
"0003372809","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","都道府県","2304","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","13","沿海地区出資漁業協同組合 漁業自営事業　（１）実施状況","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","漁業自営事業　（１）実施状況","","",""
"0003372810","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","全国","2112","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","13","沿海地区出資漁業協同組合 漁業自営事業　（２）漁獲高","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","漁業自営事業　（２）漁獲高","","",""
"0003372810","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","都道府県","2112","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","13","沿海地区出資漁業協同組合 漁業自営事業　（２）漁獲高","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","漁業自営事業　（２）漁獲高","","",""
"0003372811","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","全国","1536","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","14","沿海地区出資漁業協同組合 遊漁船業等の漁場利用事業　（１）事業実施状況","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","遊漁船業等の漁場利用事業　（１）事業実施状況","","",""
"0003372811","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","都道府県","1536","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","14","沿海地区出資漁業協同組合 遊漁船業等の漁場利用事業　（１）事業実施状況","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","遊漁船業等の漁場利用事業　（１）事業実施状況","","",""
"0003404533","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","全国","1728","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","14","沿海地区出資漁業協同組合 遊漁船業等の漁場利用事業　（２）受入漁場利用料及び資源管理規程の有無","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","遊漁船業等の漁場利用事業　（２）受入漁場利用料及び資源管理規程の有無","","",""
"0003404533","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","都道府県","1728","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","14","沿海地区出資漁業協同組合 遊漁船業等の漁場利用事業　（２）受入漁場利用料及び資源管理規程の有無","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","遊漁船業等の漁場利用事業　（２）受入漁場利用料及び資源管理規程の有無","","",""
"0003404534","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","全国","1728","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","15","沿海地区出資漁業協同組合 その他の事業　事業実施状況及び事業を全く行わなかった組合数","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","その他の事業　事業実施状況及び事業を全く行わなかった組合数","","",""
"0003404534","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","都道府県","1728","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","15","沿海地区出資漁業協同組合 その他の事業　事業実施状況及び事業を全く行わなかった組合数","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","その他の事業　事業実施状況及び事業を全く行わなかった組合数","","",""
"0003372814","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","全国","4608","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","16","沿海地区出資漁業協同組合 共同利用施設　所有状況","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","共同利用施設　所有状況","","",""
"0003372814","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","都道府県","4608","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","16","沿海地区出資漁業協同組合 共同利用施設　所有状況","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","共同利用施設　所有状況","","",""
"0003377716","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","全国","432","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","17","沿海地区出資漁業協同組合 貸借対照表　（１）総括表（資産の部）","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","貸借対照表　（１）総括表（資産の部）","","",""
"0003377717","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","全国","504","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","17","沿海地区出資漁業協同組合 貸借対照表　（１）総括表（負債及び純資産の部）","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","貸借対照表　（１）総括表（負債及び純資産の部）","","",""
"0003404535","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","全国","10560","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","17","沿海地区出資漁業協同組合 貸借対照表　（２）資産","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","貸借対照表　（２）資産","","",""
"0003404535","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","都道府県","10560","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","17","沿海地区出資漁業協同組合 貸借対照表　（２）資産","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","貸借対照表　（２）資産","","",""
"0003404536","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","全国","12288","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","17","沿海地区出資漁業協同組合 貸借対照表　（３）負債・純資産","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","貸借対照表　（３）負債・純資産","","",""
"0003404536","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","都道府県","12288","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","17","沿海地区出資漁業協同組合 貸借対照表　（３）負債・純資産","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","貸借対照表　（３）負債・純資産","","",""
"0003372819","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","全国","2304","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","18","沿海地区出資漁業協同組合 出資金額別組合数","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","出資金額別組合数","","",""
"0003372819","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","都道府県","2304","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","18","沿海地区出資漁業協同組合 出資金額別組合数","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","出資金額別組合数","","",""
"0003400238","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","全国","5376","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","19","沿海地区出資漁業協同組合 損益計算書　（２）事業収益","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","損益計算書　（２）事業収益","","",""
