"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003225351","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","208","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","21","表3.3.10　排水処理方法別工場・事業場数","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.3.10　排水処理方法別工場・事業場数",""
"0003226104","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","38380","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","22","表3.4.1.1　産業分類別の生活環境項目濃度の平均値、標準偏差、最大値、最小値","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.4.1.1　産業分類別の生活環境項目濃度の平均値、標準偏差、最大値、最小値","水素イオン濃度(pH)は濃度の逆数の常用対数であるため、平均値及び標準偏差の算出は行っていない。"
"0003226540","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","40905","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","23","表3.4.1.2　産業分類別の生活環境項目測定回数の平均値、標準偏差、最大値、最小値","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.4.1.2　産業分類別の生活環境項目測定回数の平均値、標準偏差、最大値、最小値",""
"0003223504","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","73102","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","24","表3.4.2.1　代表特定施設別の生活環境項目濃度の平均値、標準偏差、最大値、最小値","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.4.2.1　代表特定施設別の生活環境項目濃度の平均値、標準偏差、最大値、最小値","水素イオン濃度(pH)は濃度の逆数の常用対数であるため、平均値及び標準偏差の算出は行っていない。"
"0003224196","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","43560","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","25","表3.4.2.2　代表特定施設別の生活環境項目測定回数の平均値、標準偏差、最大値、最小値","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.4.2.2　代表特定施設別の生活環境項目測定回数の平均値、標準偏差、最大値、最小値",""
"0003225268","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","3419","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","26","表3.4.3.1　豚、牛、馬別の生活環境項目濃度の平均値、標準偏差、最大値、最小値","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.4.3.1　豚、牛、馬別の生活環境項目濃度の平均値、標準偏差、最大値、最小値","水素イオン濃度(pH)は濃度の逆数の常用対数であるため、平均値及び標準偏差の算出は行っていない。"
"0003226542","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","3609","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","27","表3.4.3.2　豚、牛、馬別の生活環境項目測定回数の平均値、標準偏差、最大値、最小値","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.4.3.2　豚、牛、馬別の生活環境項目測定回数の平均値、標準偏差、最大値、最小値","水素イオン濃度(pH)は濃度の逆数の常用対数であるため、平均値及び標準偏差の算出は行っていない。"
"0003225562","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","全国","4800","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","28","表3.4.4　都道府県別の生活環境項目の汚濁負荷量","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.4.4　都道府県別の生活環境項目の汚濁負荷量",""
"0003225562","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","都道府県","4800","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","28","表3.4.4　都道府県別の生活環境項目の汚濁負荷量","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.4.4　都道府県別の生活環境項目の汚濁負荷量",""
"0003225561","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","10100","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","29","表3.4.5　産業分類別の生活環境項目の汚濁負荷量","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.4.5　産業分類別の生活環境項目の汚濁負荷量",""
"0003226881","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","3885","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","3","表3.1.2（2）調査対象工場・事業場数　水質汚濁防止法政令市別","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.1.2（2）調査対象工場・事業場数　水質汚濁防止法政令市別",""
"0003226021","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","1488","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","30","表3.5.1　有害物質使用・製造特定事業場数","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.5.1　有害物質使用・製造特定事業場数",""
"0003224499","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","113116","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","31","表3.5.2　有害物質使用・製造特定事業場数　産業分類別","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.5.2　有害物質使用・製造特定事業場数　産業分類別",""
"0003225566","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","728","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","32","表3.5.3　有害物質の排出方法別特定事業場数","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.5.3　有害物質の排出方法別特定事業場数",""
"0003226382","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","756","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","33","表3.5.4　有害物質別の排水濃度状況別特定事業場数","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.5.4　有害物質別の排水濃度状況別特定事業場数",""
"0003226020","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","73528","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","34","表3.5.5.1　産業分類別有害物質の排水濃度の平均値、標準偏差、最大値、最小値","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.5.5.1　産業分類別有害物質の排水濃度の平均値、標準偏差、最大値、最小値",""
"0003226500","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","79184","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","35","表3.5.5.2　産業分類別の有害物質の測定回数の平均値、標準偏差、最大値、最小値","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.5.5.2　産業分類別の有害物質の測定回数の平均値、標準偏差、最大値、最小値",""
"0003222168","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","135584","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","36","表3.5.6.1　代表特定施設別の有害物質の排水濃度の平均値、標準偏差、最大値、最小値","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.5.6.1　代表特定施設別の有害物質の排水濃度の平均値、標準偏差、最大値、最小値",""
"0003223934","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","84336","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","37","表3.5.6.2　代表特定施設別の有害物質の測定回数の平均値、標準偏差、最大値、最小値","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.5.6.2　代表特定施設別の有害物質の測定回数の平均値、標準偏差、最大値、最小値",""
"0003223581","水質汚濁物質排出量総合調査","年度次","0","2018-10-16","0","該当なし","792","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","4-1","表3.1.3 (H18,19）調査対象工場・事業場数 産業分類別","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.1.3 (H18,19）調査対象工場・事業場数 産業分類別",""
"0003223582","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","2776","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","4-2","表3.1.3（H20～R1）調査対象工場・事業場数 産業分類別","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.1.3（H20～R1）調査対象工場・事業場数 産業分類別",""
"0003226102","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","3775","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","5","表3.1.4　調査対象工場・事業場数　代表特定施設別","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.1.4　調査対象工場・事業場数　代表特定施設別",""
"0003219852","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","80","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","6","表3.1.5　調査票の回収数及び回収率","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.1.5　調査票の回収数及び回収率",""
"0003226103","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","全国","1728","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","7","表3.1.6（1）調査票の回収数及び回収率　都道府県別","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.1.6（1）調査票の回収数及び回収率　都道府県別",""
"0003226103","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","都道府県","1728","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","7","表3.1.6（1）調査票の回収数及び回収率　都道府県別","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.1.6（1）調査票の回収数及び回収率　都道府県別",""
"0003227523","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","3892","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","8","表3.1.6（2）調査票の回収数及び回収率　水質汚濁防止法政令市別","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.1.6（2）調査票の回収数及び回収率　水質汚濁防止法政令市別",""
"0003228020","水質汚濁物質排出量総合調査","年度次","0","2018-10-16","0","該当なし","792","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","9-1","表3.1.7 (H18,19）調査票の回収数及び回収率　産業分類別","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.1.7 (H18,19）調査票の回収数及び回収率　産業分類別",""
"0003228021","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","2828","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","9-2","表3.1.7 (H20～R1）調査票の回収数及び回収率　産業分類別","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.1.7 (H20～R1）調査票の回収数及び回収率　産業分類別",""
