"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY3","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3"
"0003234711","木材統計調査 長期累年","年次","201701-201712","2019-02-05","0","全国","1350","2020-10-14","","00500217","木材統計調査","00500","農林水産省","6","木材需給報告書 合単板累年統計　全国","04","農林水産業","03","林業","木材統計調査","長期累年","木材需給報告書","合単板累年統計　全国","オーバレイ合板は、ポリエステル、塩化ビニル及びジアリルフタレート化粧合板の計である。<br>普通合板及び特殊合板の製造量・出荷量の単位は、1996年以前は1,000平方メートル、1997年から2004年までは立方メートル、2005年以降は、1,000立方メートルである。","","","","",""
"0003234712","木材統計調査 長期累年","年次","201701-201712","2019-02-05","0","全国","12960","2020-10-14","","00500217","木材統計調査","00500","農林水産省","7","木材需給報告書 木材チップ累年統計","04","農林水産業","03","林業","木材統計調査","長期累年","木材需給報告書","木材チップ累年統計","2004年調査より木材チップの取引実態に合わせ、木材チップ生産量の調査単位をm2（容積）からｔ（絶乾重量）に変更した。","","","","",""
"0003234712","木材統計調査 長期累年","年次","201701-201712","2019-02-05","0","都道府県","12960","2020-10-14","","00500217","木材統計調査","00500","農林水産省","7","木材需給報告書 木材チップ累年統計","04","農林水産業","03","林業","木材統計調査","長期累年","木材需給報告書","木材チップ累年統計","2004年調査より木材チップの取引実態に合わせ、木材チップ生産量の調査単位をm2（容積）からｔ（絶乾重量）に変更した。","","","","",""
"0003234713","木材統計調査 長期累年","年次","201701-201712","2019-02-05","0","全国","2484","2020-10-15","","00500217","木材統計調査","00500","農林水産省","8","木材需給報告書 素材価格累年統計　全国","04","農林水産業","03","林業","木材統計調査","長期累年","木材需給報告書","素材価格累年統計　全国","下記の価格は、調査対象への消費税の取扱いの確認が困難なため、消費税を含む価格と含まない価格を集計した結果である。<br>製材用素材価格<br>　まつ中丸太（径24～28cm、長3.65～4.0m）2006年<br>　すぎ小丸太（径8～13cm、長3.65～4.0m）2006年<br>　すぎ中丸太（径14～22cm、長3.65～4.0m）2006年<br>　すぎ中丸太（径24～28cm、長3.65～4.0m）2006年<br>　すぎ大丸太（径30～36cm、長3.65～4.0m）2006年<br>　ひのき中丸太（径14～22cm、長3.65～4.0m）2006年<br>　からまつ中丸太（径14～28cm、長3.65～4.0m）2006年<br>　なら大丸太（径40～48cm、長2.4m上）2006年<br>　ラワン丸太（径60cm上、長4.0m上）2006年<br>　米まつ丸太（径30cm上、長6.0m上）2006年<br>　米つが丸太（径30cm上、長6.0m上）2006年、2007年<br>　北洋えぞまつ丸太（径20～28cm、長3.8m上）2006年<br>　ニュージーランドまつ丸太（径30cm上、長4.8m上）2006年<br>合単板用素材価格<br>　ラワン丸太（径60cm上、長6.0m上）2006年","","","","",""
"0003234714","木材統計調査 長期累年","年次","201701-201712","2019-02-05","0","全国","4536","2020-10-14","","00500217","木材統計調査","00500","農林水産省","9","木材需給報告書 木材製品卸売価格累年統計　全国","04","農林水産業","03","林業","木材統計調査","長期累年","木材需給報告書","木材製品卸売価格累年統計　全国","・すぎ平割の「厚3.6～3.9cm」及び「厚3.9～4.5cm」は、1993年以前では「厚3.6～4.0cm」及び「厚4.0～4.5cm」である。<br>・すぎ正割の「厚3.6～4.5cm,幅3.65cm～4.5cm」は、1993年以前では「厚3.5～4.5cm,幅3.5cm～4.5cm」である。<br>・すぎ小幅板の「厚1.2～1.5cm」は、1993年以前では「厚1.3～1.5cm」である。<br>・えぞまつ・とどまつ板の「厚1.2～1.5cm,幅21.0～24.0cm」は、1993年以前では「厚1.3～1.5cm,幅20.0～22.0cm」である。<br>・米つが正角の「厚7.5～9.0cm,幅7.5～9.0cm」は、1993年以前では「厚8.5～9.0cm,幅8.5～9.0cm」である。<br>・下記の価格は、調査対象への消費税の取扱いの確認が困難なため、消費税を含む価格と含まない価格を集計した結果である。<br>　木材製品卸売価格<br>　　まつ平角（厚10.5～12.0cm、幅24.0cm、長3.65～4.0m、2級）2006年、2007年<br>　　北洋えぞまつ板（厚1.2～1.5cm、幅15cm、長3.65～4.0m、1級）2007年<br>　木材チップ価格<br>　　針葉樹（パルプ向け）2006年<br>　　針葉樹（パルプ向け）2007年<br>　　広葉樹（パルプ向け）2006年","","","","",""
"0003093730","木材統計調査 確報 平成20年木材需給報告書","年次","200801-200812","2012-03-30","0","該当なし","7584","2019-02-05","","00500217","木材統計調査","00500","農林水産省","1","森林計画区別統計 製材用素材交流表","04","農林水産業","03","林業","木材統計調査","確報","森林計画区別統計","製材用素材交流表","","平成20年木材需給報告書","","","",""
"0003055322","木材統計調査 確報 平成20年木材需給報告書","年次","200801-200812","2012-03-30","0","該当なし","176","2019-02-05","","00500217","木材統計調査","00500","農林水産省","1-1","総括表 素材需給の動向　素材の需給 需要部門別、供給部門別素材需給","04","農林水産業","03","林業","木材統計調査","確報","総括表","素材需給の動向　素材の需給","","平成20年木材需給報告書","需要部門別、供給部門別素材需給","","",""
"0003055323","木材統計調査 確報 平成20年木材需給報告書","年次","200801-200812","2012-03-30","0","該当なし","60","2019-02-05","","00500217","木材統計調査","00500","農林水産省","1-1","総括表 素材需給の動向　素材の需給 需要部門別素材需要量","04","農林水産業","03","林業","木材統計調査","確報","総括表","素材需給の動向　素材の需給","","平成20年木材需給報告書","需要部門別素材需要量","","",""
"0003055324","木材統計調査 確報 平成20年木材需給報告書","年次","200801-200812","2012-03-30","0","該当なし","165","2019-02-05","","00500217","木材統計調査","00500","農林水産省","1-1","総括表 素材需給の動向　素材の需給 材種別素材供給量 合計","04","農林水産業","03","林業","木材統計調査","確報","総括表","素材需給の動向　素材の需給","","平成20年木材需給報告書","材種別素材供給量","合計","",""
"0003055325","木材統計調査 確報 平成20年木材需給報告書","年次","200801-200812","2012-03-30","0","該当なし","165","2019-02-05","","00500217","木材統計調査","00500","農林水産省","1-1","総括表 素材需給の動向　素材の需給 材種別素材供給量 製材用","04","農林水産業","03","林業","木材統計調査","確報","総括表","素材需給の動向　素材の需給","","平成20年木材需給報告書","材種別素材供給量","製材用","",""
