"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1"
"0003064644","経済産業省特定業種石油等消費統計 確報","月次","201101","2012-03-31","0","該当なし","180","2013-04-11","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-05","確報 化学繊維工業 2011年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","化学繊維工業","2011年1月"
"0003014191","経済産業省特定業種石油等消費統計 確報","月次","200901","2010-03-22","0","該当なし","152","2010-03-22","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-06","確報 業種別統計　石油製品工業 年計","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","業種別統計　石油製品工業","年計"
"0003031831","経済産業省特定業種石油等消費統計 確報","月次","201001","2011-03-31","0","該当なし","152","2011-05-31","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-06","確報 石油製品工業 2010年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","石油製品工業","2010年1月"
"0003064645","経済産業省特定業種石油等消費統計 確報","月次","201101","2012-03-31","0","該当なし","184","2013-04-11","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-06","確報 石油製品工業 2011年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","石油製品工業","2011年1月"
"0003014192","経済産業省特定業種石油等消費統計 確報","月次","200901","2010-03-22","0","該当なし","126","2010-03-22","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-07","確報 業種別統計　ガラス製品工業 年計","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","業種別統計　ガラス製品工業","年計"
"0003031832","経済産業省特定業種石油等消費統計 確報","月次","201001","2011-03-31","0","該当なし","126","2011-05-31","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-07","確報 ガラス製品工業 2010年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","ガラス製品工業","2010年1月"
"0003064646","経済産業省特定業種石油等消費統計 確報","月次","201101","2012-03-31","0","該当なし","162","2013-04-11","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-07","確報 ガラス製品工業 2011年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","ガラス製品工業","2011年1月"
"0003014194","経済産業省特定業種石油等消費統計 確報","月次","200901","2010-03-22","0","該当なし","309","2010-03-22","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-08","確報 業種別統計　化学工業 年計","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","業種別統計　化学工業","年計"
"0003031833","経済産業省特定業種石油等消費統計 確報","月次","201001","2011-03-31","0","該当なし","309","2011-05-31","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-08","確報 化学工業 2010年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","化学工業","2010年1月"
"0003064647","経済産業省特定業種石油等消費統計 確報","月次","201101","2012-03-31","0","該当なし","353","2013-04-11","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-08","確報 化学工業 2011年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","化学工業","2011年1月"
"0003014195","経済産業省特定業種石油等消費統計 確報","月次","200901","2010-03-22","0","該当なし","243","2010-03-22","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-09","確報 業種別統計　窯業・土石製品工業 年計","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","業種別統計　窯業・土石製品工業","年計"
"0003031834","経済産業省特定業種石油等消費統計 確報","月次","201001","2011-03-31","0","該当なし","243","2011-05-31","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-09","確報 窯業・土石製品工業 2010年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","窯業・土石製品工業","2010年1月"
"0003064648","経済産業省特定業種石油等消費統計 確報","月次","201101","2012-03-31","0","該当なし","287","2013-04-11","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-09","確報 窯業・土石製品工業 2011年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","窯業・土石製品工業","2011年1月"
"0003014196","経済産業省特定業種石油等消費統計 確報","月次","200901","2010-03-22","0","該当なし","287","2010-03-22","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-10","確報 業種別統計　鉄鋼業 年計","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","業種別統計　鉄鋼業","年計"
"0003031835","経済産業省特定業種石油等消費統計 確報","月次","201001","2011-03-31","0","該当なし","293","2011-05-31","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-10","確報 燃料鉄鋼(鉄鋼業) 2010年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","燃料鉄鋼(鉄鋼業)","2010年1月"
"0003064649","経済産業省特定業種石油等消費統計 確報","月次","201101","2012-03-31","0","該当なし","339","2013-04-11","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-10","確報 燃料鉄鋼(鉄鋼業) 2011年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","燃料鉄鋼(鉄鋼業)","2011年1月"
"0003014197","経済産業省特定業種石油等消費統計 確報","月次","200901","2010-03-22","0","該当なし","176","2010-03-22","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-11","確報 業種別統計　非鉄金属地金工業 年計","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","業種別統計　非鉄金属地金工業","年計"
"0003031836","経済産業省特定業種石油等消費統計 確報","月次","201001","2011-03-31","0","該当なし","176","2011-05-31","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-11","確報 非鉄・機械(非鉄金属地金工業) 2010年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","非鉄・機械(非鉄金属地金工業)","2010年1月"
"0003064650","経済産業省特定業種石油等消費統計 確報","月次","201101","2012-03-31","0","該当なし","201","2013-04-11","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-11","確報 非鉄・機械(非鉄金属地金工業) 2011年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","非鉄・機械(非鉄金属地金工業)","2011年1月"
"0003014198","経済産業省特定業種石油等消費統計 確報","月次","200901","2010-03-22","0","該当なし","184","2010-04-02","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-12","確報 業種別統計　機械工業 年計","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","業種別統計　機械工業","年計"
"0003031837","経済産業省特定業種石油等消費統計 確報","月次","201001","2011-03-31","0","該当なし","184","2011-05-31","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-12","確報 非鉄・機械(機械工業) 2010年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","非鉄・機械(機械工業)","2010年1月"
"0003064651","経済産業省特定業種石油等消費統計 確報","月次","201101","2012-03-31","0","該当なし","216","2013-04-11","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-12","確報 非鉄・機械(機械工業) 2011年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","非鉄・機械(機械工業)","2011年1月"
"0003014213","経済産業省特定業種石油等消費統計 確報","月次","200901","2010-03-22","0","該当なし","100","2010-03-22","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-13","確報 業種別統計　電力受払 年計","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","業種別統計　電力受払","年計"
"0003031838","経済産業省特定業種石油等消費統計 確報","月次","201001","2011-03-31","0","該当なし","100","2011-05-31","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-13","確報 電力・蒸気受払(電力受払) 2010年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","電力・蒸気受払(電力受払)","2010年1月"
"0003014214","経済産業省特定業種石油等消費統計 確報","月次","200901","2010-03-22","0","該当なし","110","2010-03-22","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-14","確報 業種別統計　蒸気受払 年計","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","業種別統計　蒸気受払","年計"
"0003031839","経済産業省特定業種石油等消費統計 確報","月次","201001","2011-03-31","0","該当なし","110","2011-05-31","","00550210","経済産業省特定業種石油等消費動態統計調査","00550","経済産業省","1-14","確報 電力・蒸気受払(蒸気受払) 2010年1月","09","エネルギー・水","03","エネルギー需給","経済産業省特定業種石油等消費統計","確報","確報","電力・蒸気受払(蒸気受払)","2010年1月"
