"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003386195","経済産業省企業金融調査","年次","201401-201412","2019-12-18","0","該当なし","112","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","5-1","基本集計 その他調査項目A〔資産売却要因〕","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","基本集計","その他調査項目A〔資産売却要因〕",""
"0003386196","経済産業省企業金融調査","年次","201401-201412","2019-12-18","0","該当なし","140","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","5-1","基本集計 その他調査項目A〔海外事業展開の際に活用した(する予定の)資金調達手法〕","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","基本集計","その他調査項目A〔海外事業展開の際に活用した(する予定の)資金調達手法〕",""
"0003386197","経済産業省企業金融調査","年次","201401-201412","2019-12-18","0","該当なし","112","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","5-1","基本集計 その他調査項目A〔貴社が海外進出するにあたっての課題〕","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","基本集計","その他調査項目A〔貴社が海外進出するにあたっての課題〕",""
"0003386198","経済産業省企業金融調査","年次","201401-201412","2019-12-18","0","該当なし","196","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","5-2","基本集計 その他調査項目B〔今後の国内設備投資の目的〕","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","基本集計","その他調査項目B〔今後の国内設備投資の目的〕",""
"0003386199","経済産業省企業金融調査","年次","201401-201412","2019-12-18","0","該当なし","196","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","5-2","基本集計 その他調査項目B〔今後の海外設備投資の目的〕","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","基本集計","その他調査項目B〔今後の海外設備投資の目的〕",""
"0003386212","経済産業省企業金融調査","-","201301-201312","2019-12-18","0","該当なし","270","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","6","主要業種の設備投資動向(対前年度伸び率推移)","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","","主要業種の設備投資動向(対前年度伸び率推移)","注：「サービス」は、サービス、情報処理、リゾート、フィットネス、クレジットを合算している。"
"0003386200","経済産業省企業金融調査","年次","201401-201412","2019-12-18","0","該当なし","6156","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","6-1","クロス集計 資金運用(構成比、上場有無別構成比)〔設備投資、投資、融資、長期借入金返済、短期借入金返済、社債償還、自己株式取得、配当金支払〕","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","クロス集計","資金運用(構成比、上場有無別構成比)〔設備投資、投資、融資、長期借入金返済、短期借入金返済、社債償還、自己株式取得、配当金支払〕",""
"0003386201","経済産業省企業金融調査","年次","201401-201412","2019-12-18","0","該当なし","10260","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","6-2","クロス集計 資金運用(関係会社の有無別構成比)〔設備投資、投資、融資、長期借入金返済、短期借入金返済、社債償還、自己株式取得、配当金支払〕","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","クロス集計","資金運用(関係会社の有無別構成比)〔設備投資、投資、融資、長期借入金返済、短期借入金返済、社債償還、自己株式取得、配当金支払〕",""
"0003386202","経済産業省企業金融調査","年次","201401-201412","2019-12-18","0","該当なし","8208","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","6-3","クロス集計 資金運用(企業統治形態別構成比)〔設備投資、投資、融資、長期借入金返済、短期借入金返済、社債償還、自己株式取得、配当金支払〕","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","クロス集計","資金運用(企業統治形態別構成比)〔設備投資、投資、融資、長期借入金返済、短期借入金返済、社債償還、自己株式取得、配当金支払〕",""
"0003386213","経済産業省企業金融調査","-","201301-201312","2019-12-18","0","該当なし","384","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","7","企業規模別設備投資動向","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","","企業規模別設備投資動向",""
"0003386203","経済産業省企業金融調査","年次","201401-201412","2019-12-18","0","該当なし","6498","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","7-1","クロス集計 資金調達(構成比、上場の有無別構成比)〔自己資金、投資回収、融資回収、長期借入金、短期借入金、社債、株式、資産売却・流動化〕","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","クロス集計","資金調達(構成比、上場の有無別構成比)〔自己資金、投資回収、融資回収、長期借入金、短期借入金、社債、株式、資産売却・流動化〕",""
"0003386204","経済産業省企業金融調査","年次","201401-201412","2019-12-18","0","該当なし","10830","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","7-2","クロス集計 資金調達(関係会社の有無別構成比)〔自己資金、投資回収、融資回収、長期借入金、短期借入金、社債、株式、資産売却・流動化〕","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","クロス集計","資金調達(関係会社の有無別構成比)〔自己資金、投資回収、融資回収、長期借入金、短期借入金、社債、株式、資産売却・流動化〕",""
"0003386205","経済産業省企業金融調査","年次","201401-201412","2019-12-18","0","該当なし","8664","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","7-3","クロス集計 資金調達(企業統治形態別構成比)〔自己資金、投資回収、融資回収、長期借入金、短期借入金、社債、株式、資産売却・流動化〕","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","クロス集計","資金調達(企業統治形態別構成比)〔自己資金、投資回収、融資回収、長期借入金、短期借入金、社債、株式、資産売却・流動化〕",""
"0003386206","経済産業省企業金融調査","年次","201401-201412","2019-12-18","0","該当なし","1900","2019-12-19","","00550500","経済産業省企業金融調査","00550","経済産業省","8","クロス集計 設備投資(常時従業者規模別)〔売上高(単体)、国内設備投資額(単体)、海外設備投資額(連結)〕","07","企業・家計・経済","01","企業活動","経済産業省企業金融調査","クロス集計","設備投資(常時従業者規模別)〔売上高(単体)、国内設備投資額(単体)、海外設備投資額(連結)〕",""
