"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003271914","少年矯正統計 少年院","新収容者の保護者とその職業","年次","202101-202112","2023-07-31","0","該当なし","4872","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","新収容者の保護者とその職業","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003271938","少年矯正統計 少年院","出院者の処遇課程等別　外出回数","年次","201501-201512","2019-03-29","0","該当なし","3770","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","出院者の処遇課程等別　外出回数","（注）1　処遇課程等は，政府統計URL(http://www.moj.go.jp/housei/toukei/toukei_index2.html)「用語の解説」内の「少年院の処遇課程等区分表」参照<br>　　　2　2015年6月以降は，少年院法（2014年法律第58号）第45条に定める「外出」を計上している。"
"0003271939","少年矯正統計 少年院","出院者の矯正教育課程別　外出回数","年次","202101-202112","2023-07-31","0","該当なし","2750","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","出院者の矯正教育課程別　外出回数","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003271940","少年矯正統計 少年院","出院者の処遇課程等別　外泊回数","年次","201501-201512","2019-03-29","0","該当なし","4147","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","出院者の処遇課程等別　外泊回数","（注）1　処遇課程等は，政府統計URL(http://www.moj.go.jp/housei/toukei/toukei_index2.html)「用語の解説」内の「少年院の処遇課程等区分表」参照<br>　　　2　2015年6月以降は，少年院法（2014年法律第58号）第45条に定める「外泊」を計上している。"
"0003271941","少年矯正統計 少年院","出院者の矯正教育課程別　外泊回数","年次","202101-202112","2023-07-31","0","該当なし","3025","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","出院者の矯正教育課程別　外泊回数","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003271942","少年矯正統計 少年院","出院者の処遇課程等別　賞の回数及び移送の有無　賞の回数","年次","201501-201512","2019-03-29","0","該当なし","9048","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","出院者の処遇課程等別　賞の回数及び移送の有無　賞の回数","（注）1　処遇課程等は，政府統計URL(http://www.moj.go.jp/housei/toukei/toukei_index2.html)「用語の解説」内の「少年院の処遇課程等区分表」参照<br>　　　2　「賞詞」については，2015年6月から集計対象としているため，2015年については同年6月から12月までの数である。"
"0003271943","少年矯正統計 少年院","出院者の処遇課程等別　賞の回数及び移送の有無　移送の有無","年次","201501-201512","2019-03-29","0","該当なし","3016","2019-11-27","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","出院者の処遇課程等別　賞の回数及び移送の有無　移送の有無",""
"0003271944","少年矯正統計 少年院","出院者の矯正教育課程別　賞の回数及び移送の有無　賞の回数","年次","202101-202112","2023-07-31","0","該当なし","6600","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","出院者の矯正教育課程別　賞の回数及び移送の有無　賞の回数","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003271945","少年矯正統計 少年院","出院者の矯正教育課程別　賞の回数及び移送の有無　移送の有無","年次","202101-202112","2023-07-31","0","該当なし","2200","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","出院者の矯正教育課程別　賞の回数及び移送の有無　移送の有無","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003271946","少年矯正統計 少年院","出院者の親族等の面会回数別　処遇課程等","年次","201501-201512","2019-03-29","0","該当なし","16324","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","出院者の親族等の面会回数別　処遇課程等","（注）処遇課程等は，政府統計URL(http://www.moj.go.jp/housei/toukei/toukei_index2.html)「用語の解説」内の「少年院の処遇課程等区分表」参照"
"0003271947","少年矯正統計 少年院","出院者の親族等の面会回数別　矯正教育課程","年次","202101-202112","2023-07-31","0","該当なし","11836","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","出院者の親族等の面会回数別　矯正教育課程","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003271948","少年矯正統計 少年院","出院者の引受人別　在院期間","年次","202101-202112","2023-07-31","0","該当なし","10738","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年院","出院者の引受人別　在院期間","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
