"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY1"
"0004001780","牛乳乳製品の生産動向 確報 牛乳乳製品の生産動向（2020年度）","牛乳乳製品の生産動向（2020年度） 確報 1生乳生産量及び用途別処理量","年度次","202004-202103","2023-02-28","0","該当なし","1197","2023-03-20","","00500508","牛乳乳製品の生産動向","00500","農林水産省","04","農林水産業","02","畜産業","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2020年度）","牛乳乳製品の生産動向（2020年度）","確報","牛乳等向け処理量、乳製品向け処理量は15年度以降新しい調査定義に基づいており、14年度以前の数値とは接続しない（14年度以前はそれぞれ旧調査定義の飲用牛乳等向け処理量、乳製品向け処理量の数値である。）。チーズ向け処理量は29年1月以降新しい調査定義に基づいており、それ以前の数値とは接続しない。参考の市乳化率は、牛乳等向け処理量÷生乳生産量により算出している。牛乳、加工乳・成分調整牛乳、飲用牛乳等生産量は15年度以降新しい調査定義に基づいており、14年度以前の数値とは接続しない。（14年度以前はそれぞれ旧調査定義の牛乳生産量、加工乳生産量、飲用牛乳生産量の数値である。）。※旧調査定義に基づく15年度の数値は、牛乳生産量3,924.9、加工乳生産量417.3、飲用牛乳生産量4,342.2（単位：千kl）。クリーム生産量は29年１月以降新しい調査定義に基づいており、それ以前の数値とは接続しない。バター、脱脂粉乳の期末在庫量は、「牛乳乳製品課調べ（18年12月以前）」、「牛乳乳製品統計（19年1月以降）」及び「農畜産業振興機構調べ」による。閏年については、各年度とも、前年同月比、同期比の閏年修正は行っていない。","1生乳生産量及び用途別処理量"
"0004001781","牛乳乳製品の生産動向 確報 牛乳乳製品の生産動向（2020年度）","牛乳乳製品の生産動向（2020年度） 確報 2北海道・都府県生乳生産量及び用途別処理量","年度次","202004-202103","2023-02-28","0","該当なし","1368","2023-03-20","","00500508","牛乳乳製品の生産動向","00500","農林水産省","04","農林水産業","02","畜産業","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2020年度）","牛乳乳製品の生産動向（2020年度）","確報","","2北海道・都府県生乳生産量及び用途別処理量"
"0004001782","牛乳乳製品の生産動向 確報 牛乳乳製品の生産動向（2020年度）","牛乳乳製品の生産動向（2020年度） 確報 3地域別生乳生産量","年度次","202004-202103","2023-02-28","0","該当なし","1482","2023-03-20","","00500508","牛乳乳製品の生産動向","00500","農林水産省","04","農林水産業","02","畜産業","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2020年度）","牛乳乳製品の生産動向（2020年度）","確報","","3地域別生乳生産量"
"0004001783","牛乳乳製品の生産動向 確報 牛乳乳製品の生産動向（2020年度）","牛乳乳製品の生産動向（2020年度） 確報 4牛乳等生産量","年度次","202004-202103","2023-02-28","0","該当なし","1254","2023-03-20","","00500508","牛乳乳製品の生産動向","00500","農林水産省","04","農林水産業","02","畜産業","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2020年度）","牛乳乳製品の生産動向（2020年度）","確報","","4牛乳等生産量"
"0004001784","牛乳乳製品の生産動向 確報 牛乳乳製品の生産動向（2020年度）","牛乳乳製品の生産動向（2020年度） 確報 5主要乳製品生産量","年度次","202004-202103","2023-02-28","0","該当なし","1026","2023-03-20","","00500508","牛乳乳製品の生産動向","00500","農林水産省","04","農林水産業","02","畜産業","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2020年度）","牛乳乳製品の生産動向（2020年度）","確報","","5主要乳製品生産量"
"0004001785","牛乳乳製品の生産動向 確報 牛乳乳製品の生産動向（2020年度）","牛乳乳製品の生産動向（2020年度） 確報 6バター、脱脂粉乳の期末在庫量","年度次","202004-202103","2023-02-28","0","該当なし","1232","2023-03-20","","00500508","牛乳乳製品の生産動向","00500","農林水産省","04","農林水産業","02","畜産業","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2020年度）","牛乳乳製品の生産動向（2020年度）","確報","","6バター、脱脂粉乳の期末在庫量"
"0002074552","牛乳乳製品の生産動向 確報 牛乳乳製品の生産動向（2021年度）","牛乳乳製品の生産動向（2021年度） 確報 1生乳生産量及び用途別処理量","年度次","202104-202203","2024-03-29","0","該当なし","1218","2025-05-20","","00500508","牛乳乳製品の生産動向","00500","農林水産省","04","農林水産業","02","畜産業","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2021年度）","牛乳乳製品の生産動向（2021年度）","確報","牛乳等向け処理量、乳製品向け処理量は15年度以降新しい調査定義に基づいており、14年度以前の数値とは接続しない（14年度以前はそれぞれ旧調査定義の飲用牛乳等向け処理量、乳製品向け処理量の数値である。）。チーズ向け処理量は29年1月以降新しい調査定義に基づいており、それ以前の数値とは接続しない。参考の市乳化率は、牛乳等向け処理量÷生乳生産量により算出している。牛乳、加工乳・成分調整牛乳、飲用牛乳等生産量は15年度以降新しい調査定義に基づいており、14年度以前の数値とは接続しない。（14年度以前はそれぞれ旧調査定義の牛乳生産量、加工乳生産量、飲用牛乳生産量の数値である。）。※旧調査定義に基づく15年度の数値は、牛乳生産量3,924.9、加工乳生産量417.3、飲用牛乳生産量4,342.2（単位：千kl）。クリーム生産量は29年１月以降新しい調査定義に基づいており、それ以前の数値とは接続しない。バター、脱脂粉乳の期末在庫量は、「牛乳乳製品課調べ（18年12月以前）」、「牛乳乳製品統計（19年1月以降）」及び「農畜産業振興機構調べ」による。閏年については、各年度とも、前年同月比、同期比の閏年修正は行っていない。","1生乳生産量及び用途別処理量"
"0004012940","牛乳乳製品の生産動向 確報 牛乳乳製品の生産動向（2021年度）","牛乳乳製品の生産動向（2021年度） 確報 2北海道・都府県生乳生産量及び用途別処理量","年度次","202104-202203","2024-03-29","0","該当なし","1392","2024-03-29","","00500508","牛乳乳製品の生産動向","00500","農林水産省","04","農林水産業","02","畜産業","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2021年度）","牛乳乳製品の生産動向（2021年度）","確報","","2北海道・都府県生乳生産量及び用途別処理量"
"0004012941","牛乳乳製品の生産動向 確報 牛乳乳製品の生産動向（2021年度）","牛乳乳製品の生産動向（2021年度） 確報 3地域別生乳生産量","年度次","202104-202203","2024-03-29","0","該当なし","1392","2024-03-29","","00500508","牛乳乳製品の生産動向","00500","農林水産省","04","農林水産業","02","畜産業","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2021年度）","牛乳乳製品の生産動向（2021年度）","確報","","3地域別生乳生産量"
"0004012942","牛乳乳製品の生産動向 確報 牛乳乳製品の生産動向（2021年度）","牛乳乳製品の生産動向（2021年度） 確報 4牛乳等生産量","年度次","202104-202203","2024-03-29","0","該当なし","1276","2024-03-29","","00500508","牛乳乳製品の生産動向","00500","農林水産省","04","農林水産業","02","畜産業","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2021年度）","牛乳乳製品の生産動向（2021年度）","確報","","4牛乳等生産量"
"0004012943","牛乳乳製品の生産動向 確報 牛乳乳製品の生産動向（2021年度）","牛乳乳製品の生産動向（2021年度） 確報 5主要乳製品生産量","年度次","202104-202203","2024-03-29","0","該当なし","1044","2024-03-29","","00500508","牛乳乳製品の生産動向","00500","農林水産省","04","農林水産業","02","畜産業","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2021年度）","牛乳乳製品の生産動向（2021年度）","確報","","5主要乳製品生産量"
"0004012944","牛乳乳製品の生産動向 確報 牛乳乳製品の生産動向（2021年度）","牛乳乳製品の生産動向（2021年度） 確報 6バター、脱脂粉乳の期末在庫量","年度次","202104-202203","2024-03-29","0","該当なし","1254","2024-03-29","","00500508","牛乳乳製品の生産動向","00500","農林水産省","04","農林水産業","02","畜産業","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2021年度）","牛乳乳製品の生産動向（2021年度）","確報","","6バター、脱脂粉乳の期末在庫量"
