"@code","@name","@level","@unit","id","meta_name","@parentCode"
"240","発送トン数","","トン","tab","表章項目",""
"400","前月比","","%","tab","表章項目",""
"410","前年同月比","","%","tab","表章項目",""
"100","計","1","","cat01","貨物種別",""
"110","コンテナ","2","","cat01","貨物種別",""
"120","車扱","3","","cat01","貨物種別",""
"01000","北海道","2","","area","運輸局・都道府県",""
"90020","東北","2","","area","運輸局・都道府県",""
"90030","関東","2","","area","運輸局・都道府県",""
"90040","北陸信越","2","","area","運輸局・都道府県",""
"90050","中部","2","","area","運輸局・都道府県",""
"90060","近畿","2","","area","運輸局・都道府県",""
"90070","中国","2","","area","運輸局・都道府県",""
"90080","四国","2","","area","運輸局・都道府県",""
"90090","九州","2","","area","運輸局・都道府県",""
"00000","全国","1","","area","運輸局・都道府県",""
"2024000303","2024年3月","4","","time","月次","2024000103"
"2024000202","2024年2月","4","","time","月次","2024000103"
"2024000101","2024年1月","4","","time","月次","2024000103"
"2023001212","2023年12月","4","","time","月次","2023001012"
"2023001111","2023年11月","4","","time","月次","2023001012"
"2023001010","2023年10月","4","","time","月次","2023001012"
"2023000909","2023年9月","4","","time","月次","2023000709"
"2023000808","2023年8月","4","","time","月次","2023000709"
"2023000707","2023年7月","4","","time","月次","2023000709"
"2023000606","2023年6月","4","","time","月次","2023000406"
"2023000505","2023年5月","4","","time","月次","2023000406"
"2023000404","2023年4月","4","","time","月次","2023000406"
"2023000303","2023年3月","4","","time","月次","2023000202"
"2023000202","2023年2月","4","","time","月次","2023000101"
"2023000101","2023年1月","4","","time","月次","2023000103"
"2022001212","2022年12月","4","","time","月次","2022001012"
"2022001111","2022年11月","4","","time","月次","2022001012"
"2022001010","2022年10月","4","","time","月次","2022001012"
"2022000909","2022年9月","4","","time","月次","2022000709"
"2022000808","2022年8月","4","","time","月次","2022000709"
"2022000707","2022年7月","4","","time","月次","2022000709"
"2022000606","2022年6月","4","","time","月次","2022000406"
"2022000505","2022年5月","4","","time","月次","2022000406"
"2022000404","2022年4月","4","","time","月次","2022000406"
"2022000303","2022年3月","4","","time","月次","2022000202"
"2022000202","2022年2月","4","","time","月次","2022000101"
"2022000101","2022年1月","4","","time","月次","2022000103"
"2021001212","2021年12月","4","","time","月次","2021001012"
"2021001111","2021年11月","4","","time","月次","2021001012"
"2021001010","2021年10月","4","","time","月次","2021001012"
"2021000909","2021年9月","4","","time","月次","2021000709"
"2021000808","2021年8月","4","","time","月次","2021000709"
"2021000707","2021年7月","4","","time","月次","2021000709"
"2021000606","2021年6月","4","","time","月次","2021000406"
"2021000505","2021年5月","4","","time","月次","2021000406"
"2021000404","2021年4月","4","","time","月次","2021000406"
"2021000303","2021年3月","4","","time","月次","2021000202"
"2021000202","2021年2月","4","","time","月次","2021000101"
"2021000101","2021年1月","4","","time","月次","2021000103"
"2020001212","2020年12月","4","","time","月次","2020001012"
"2020001111","2020年11月","4","","time","月次","2020001012"
"2020001010","2020年10月","4","","time","月次","2020001012"
"2020000909","2020年9月","4","","time","月次","2020000709"
"2020000808","2020年8月","4","","time","月次","2020000709"
"2020000707","2020年7月","4","","time","月次","2020000709"
"2020000606","2020年6月","4","","time","月次","2020000406"
"2020000505","2020年5月","4","","time","月次","2020000406"
"2020000404","2020年4月","4","","time","月次","2020000406"
