"@code","@name","@level","@unit","id","meta_name","@parentCode"
"100","収容者","","人","tab","表章項目",""
"110","前月からの繰越人員","1","","cat01","入退所事由・収容人員内訳","nan"
"120","入所_総数","1","","cat01","入退所事由・収容人員内訳","nan"
"130","入所_新収容_計","2","","cat01","入退所事由・収容人員内訳","120"
"140","入所_新収容_本来の観護の措置","3","","cat01","入退所事由・収容人員内訳","130"
"150","入所_新収容_勾留に代わる観護の措置","3","","cat01","入退所事由・収容人員内訳","130"
"160","入所_新収容_勾留","3","","cat01","入退所事由・収容人員内訳","130"
"170","入所_新収容_鑑別のための少年鑑別所への収容","3","","cat01","入退所事由・収容人員内訳","130"
"180","入所_新収容_その他","3","","cat01","入退所事由・収容人員内訳","130"
"200","入所_逃走者の連戻し","2","","cat01","入退所事由・収容人員内訳","120"
"210","入所_施設間の移送","2","","cat01","入退所事由・収容人員内訳","120"
"220","入所_仮収容","2","","cat01","入退所事由・収容人員内訳","120"
"230","退所_総数","1","","cat01","入退所事由・収容人員内訳","nan"
"240","退所_保護処分_計","2","","cat01","入退所事由・収容人員内訳","230"
"250","退所_保護処分_保護観察","3","","cat01","入退所事由・収容人員内訳","240"
"260","退所_保護処分_児童自立支援施設・児童養護施設送致","3","","cat01","入退所事由・収容人員内訳","240"
"270","退所_保護処分_少年院送致","3","","cat01","入退所事由・収容人員内訳","240"
"440","退所_第５種少年院への収容","2","","cat01","入退所事由・収容人員内訳","230"
"280","退所_知事・児童相談所長送致","2","","cat01","入退所事由・収容人員内訳","230"
"290","退所_検察官送致","2","","cat01","入退所事由・収容人員内訳","230"
"300","退所_審判不開始・不処分","2","","cat01","入退所事由・収容人員内訳","230"
"310","退所_観護措置の取消し","2","","cat01","入退所事由・収容人員内訳","230"
"320","退所_試験観察","2","","cat01","入退所事由・収容人員内訳","230"
"330","退所_試験観察_補導委託","3","","cat01","入退所事由・収容人員内訳","320"
"340","退所_鑑別のための少年鑑別所への収容の終了","2","","cat01","入退所事由・収容人員内訳","230"
"350","退所_逃走","2","","cat01","入退所事由・収容人員内訳","230"
"360","退所_施設間の移送","2","","cat01","入退所事由・収容人員内訳","230"
