"@code","@name","@level","@unit","id","meta_name","@parentCode"
"01","実数(人口)","","万人","tab","表章項目",""
"000","全産業","1","","cat01","産業","nan"
"001","農業，林業","1","","cat01","産業","nan"
"004","非農林業","1","","cat01","産業","nan"
"010","製造業","2","","cat01","産業","004"
"0","総数","1","","cat02","性別",""
"1","男","1","","cat02","性別",""
"2","女","1","","cat02","性別",""
"00","総数","1","","cat03","従業上の地位","nan"
"16","自営業主・家族従業者","2","","cat03","従業上の地位","nan"
"01","自営業主","2","","cat03","従業上の地位","nan"
"02","雇有業主","3","","cat03","従業上の地位","01"
"03","雇無業主","3","","cat03","従業上の地位","01"
"04","一般雇無業主","4","","cat03","従業上の地位","03"
"05","内職者","4","","cat03","従業上の地位","03"
"06","家族従業者","2","","cat03","従業上の地位","nan"
"08","雇用者","2","","cat03","従業上の地位","nan"
"09","常雇","3","","cat03","従業上の地位","08"
"10","一般常雇","4","","cat03","従業上の地位","09"
"17","無期の契約","5","","cat03","従業上の地位","nan"
"18","有期の契約","5","","cat03","従業上の地位","nan"
"11","役員","4","","cat03","従業上の地位","09"
"12","臨時雇","3","","cat03","従業上の地位","08"
"13","日雇","3","","cat03","従業上の地位","08"
"00","就業者総数","1","","cat04","月末１週間の就業時間","nan"
"01","休業者","1","","cat04","月末１週間の就業時間","nan"
"03","時間総数","1","","cat04","月末１週間の就業時間","nan"
"04","週1～14時間","2","","cat04","月末１週間の就業時間","03"
"05","週1～4時間","3","","cat04","月末１週間の就業時間","04"
"06","週5～9時間","3","","cat04","月末１週間の就業時間","04"
"07","週10～14時間","3","","cat04","月末１週間の就業時間","04"
"08","週15～34時間","2","","cat04","月末１週間の就業時間","03"
"09","週35時間以上","2","","cat04","月末１週間の就業時間","03"
"10","週35～42時間","3","","cat04","月末１週間の就業時間","09"
"11","週43～48時間","3","","cat04","月末１週間の就業時間","09"
"12","週49～59時間","3","","cat04","月末１週間の就業時間","09"
"13","週60時間以上","3","","cat04","月末１週間の就業時間","09"
"00","15歳以上","1","","cat05","年齢階級",""
"27","15～64歳","1","","cat05","年齢階級",""
"00000","全国","1","","area","地域",""
"2011000101","2011年1月","1","","time","時間軸（月次）",""
"2011000202","2011年2月","1","","time","時間軸（月次）",""
"2011000303","2011年3月","1","","time","時間軸（月次）",""
"2011000404","2011年4月","1","","time","時間軸（月次）",""
"2011000505","2011年5月","1","","time","時間軸（月次）",""
"2011000606","2011年6月","1","","time","時間軸（月次）",""
"2011000707","2011年7月","1","","time","時間軸（月次）",""
"2011000808","2011年8月","1","","time","時間軸（月次）",""
"2011000909","2011年9月","1","","time","時間軸（月次）",""
"2011001010","2011年10月","1","","time","時間軸（月次）",""
"2011001111","2011年11月","1","","time","時間軸（月次）",""
"2011001212","2011年12月","1","","time","時間軸（月次）",""
"2012000101","2012年1月","1","","time","時間軸（月次）",""
"2012000202","2012年2月","1","","time","時間軸（月次）",""
"2012000303","2012年3月","1","","time","時間軸（月次）",""
"2012000404","2012年4月","1","","time","時間軸（月次）",""
"2012000505","2012年5月","1","","time","時間軸（月次）",""
"2012000606","2012年6月","1","","time","時間軸（月次）",""
"2012000707","2012年7月","1","","time","時間軸（月次）",""
"2012000808","2012年8月","1","","time","時間軸（月次）",""
"2012000909","2012年9月","1","","time","時間軸（月次）",""
"2012001010","2012年10月","1","","time","時間軸（月次）",""
"2012001111","2012年11月","1","","time","時間軸（月次）",""
"2012001212","2012年12月","1","","time","時間軸（月次）",""
"2013000101","2013年1月","1","","time","時間軸（月次）",""
"2013000202","2013年2月","1","","time","時間軸（月次）",""
"2013000303","2013年3月","1","","time","時間軸（月次）",""
"2013000404","2013年4月","1","","time","時間軸（月次）",""
"2013000505","2013年5月","1","","time","時間軸（月次）",""
"2013000606","2013年6月","1","","time","時間軸（月次）",""
"2013000707","2013年7月","1","","time","時間軸（月次）",""
"2013000808","2013年8月","1","","time","時間軸（月次）",""
"2013000909","2013年9月","1","","time","時間軸（月次）",""
"2013001010","2013年10月","1","","time","時間軸（月次）",""
"2013001111","2013年11月","1","","time","時間軸（月次）",""
"2013001212","2013年12月","1","","time","時間軸（月次）",""
"2014000101","2014年1月","1","","time","時間軸（月次）",""
"2014000202","2014年2月","1","","time","時間軸（月次）",""
"2014000303","2014年3月","1","","time","時間軸（月次）",""
"2014000404","2014年4月","1","","time","時間軸（月次）",""
"2014000505","2014年5月","1","","time","時間軸（月次）",""
"2014000606","2014年6月","1","","time","時間軸（月次）",""
"2014000707","2014年7月","1","","time","時間軸（月次）",""
"2014000808","2014年8月","1","","time","時間軸（月次）",""
"2014000909","2014年9月","1","","time","時間軸（月次）",""
"2014001010","2014年10月","1","","time","時間軸（月次）",""
"2014001111","2014年11月","1","","time","時間軸（月次）",""
"2014001212","2014年12月","1","","time","時間軸（月次）",""
"2015000101","2015年1月","1","","time","時間軸（月次）",""
"2015000202","2015年2月","1","","time","時間軸（月次）",""
"2015000303","2015年3月","1","","time","時間軸（月次）",""
"2015000404","2015年4月","1","","time","時間軸（月次）",""
"2015000505","2015年5月","1","","time","時間軸（月次）",""
"2015000606","2015年6月","1","","time","時間軸（月次）",""
"2015000707","2015年7月","1","","time","時間軸（月次）",""
"2015000808","2015年8月","1","","time","時間軸（月次）",""
"2015000909","2015年9月","1","","time","時間軸（月次）",""
"2015001010","2015年10月","1","","time","時間軸（月次）",""
"2015001111","2015年11月","1","","time","時間軸（月次）",""
"2015001212","2015年12月","1","","time","時間軸（月次）",""
"2016000101","2016年1月","1","","time","時間軸（月次）",""
"2016000202","2016年2月","1","","time","時間軸（月次）",""
"2016000303","2016年3月","1","","time","時間軸（月次）",""
"2016000404","2016年4月","1","","time","時間軸（月次）",""
"2016000505","2016年5月","1","","time","時間軸（月次）",""
"2016000606","2016年6月","1","","time","時間軸（月次）",""
"2016000707","2016年7月","1","","time","時間軸（月次）",""
"2016000808","2016年8月","1","","time","時間軸（月次）",""
"2016000909","2016年9月","1","","time","時間軸（月次）",""
