"@code","@name","@level","@unit","id","meta_name","@parentCode"
"100","被収容者","","人","tab","表章項目",""
"100","総数","1","","cat02","性別","nan"
"110","男","2","","cat02","性別","100"
"120","女","2","","cat02","性別","100"
"100","前月からの繰越人員","1","","cat03","入出所事由","nan"
"130","入所_直入","2","","cat03","入出所事由","120"
"140","入所_資格異動","2","","cat03","入出所事由","120"
"150","入所_復所","2","","cat03","入出所事由","120"
"320","入所_施設間の移送","2","","cat03","入出所事由","120"
"350","出所_釈放","2","","cat03","入出所事由","340"
"500","出所_資格異動","2","","cat03","入出所事由","340"
"540","出所_施設間の移送","2","","cat03","入出所事由","340"
"550","出所_その他","2","","cat03","入出所事由","340"
"570","月末収容人員","1","","cat03","入出所事由","nan"
"590","1日平均収容人員","1","","cat03","入出所事由","nan"
"50100","総数","1","","area","刑務所･拘置所(月次)","nan"
"50110","受刑者","2","","area","刑務所･拘置所(月次)","50100"
"50120","被告人","2","","area","刑務所･拘置所(月次)","50100"
"50130","被疑者","2","","area","刑務所･拘置所(月次)","50100"
"50140","労役場留置者","2","","area","刑務所･拘置所(月次)","50100"
"50150","その他の被収容者","2","","area","刑務所･拘置所(月次)","50100"
"50160","札幌矯正管区","2","","area","刑務所･拘置所(月次)","50100"
"50170","札幌矯正管区_札幌刑務所","3","","area","刑務所･拘置所(月次)","50160"
"50180","札幌矯正管区_札幌刑務支所","3","","area","刑務所･拘置所(月次)","50160"
"50190","札幌矯正管区_札幌拘置支所","3","","area","刑務所･拘置所(月次)","50160"
"50200","札幌矯正管区_小樽拘置支所","3","","area","刑務所･拘置所(月次)","50160"
"50210","札幌矯正管区_室蘭拘置支所","3","","area","刑務所･拘置所(月次)","50160"
"50220","札幌矯正管区_旭川刑務所","3","","area","刑務所･拘置所(月次)","50160"
"50230","札幌矯正管区_名寄拘置支所","3","","area","刑務所･拘置所(月次)","50160"
"50240","札幌矯正管区_釧路刑務所","3","","area","刑務所･拘置所(月次)","50160"
"50260","札幌矯正管区_帯広刑務所","3","","area","刑務所･拘置所(月次)","50160"
"50250","札幌矯正管区_釧路刑務支所","3","","area","刑務所･拘置所(月次)","50160"
"50270","札幌矯正管区_網走刑務所","3","","area","刑務所･拘置所(月次)","50160"
"50280","札幌矯正管区_月形刑務所","3","","area","刑務所･拘置所(月次)","50160"
"50290","札幌矯正管区_岩見沢拘置支所","3","","area","刑務所･拘置所(月次)","50160"
"50300","札幌矯正管区_滝川拘置支所","3","","area","刑務所･拘置所(月次)","50160"
"50310","札幌矯正管区_函館少年刑務所","3","","area","刑務所･拘置所(月次)","50160"
"50320","仙台矯正管区","2","","area","刑務所･拘置所(月次)","50100"
"50330","仙台矯正管区_青森刑務所","3","","area","刑務所･拘置所(月次)","50320"
"50340","仙台矯正管区_弘前拘置支所","3","","area","刑務所･拘置所(月次)","50320"
"50350","仙台矯正管区_八戸拘置支所","3","","area","刑務所･拘置所(月次)","50320"
