"@code","@name","@level","@unit","id","meta_name","@parentCode"
"110","新収容者","","人","tab","表章項目",""
"100","総数","1","","cat01","矯正教育課程","nan"
"120","SE","2","","cat01","矯正教育課程","100"
"130","E1","2","","cat01","矯正教育課程","100"
"140","E2","2","","cat01","矯正教育課程","100"
"150","SA","2","","cat01","矯正教育課程","100"
"160","A1","2","","cat01","矯正教育課程","100"
"170","A2","2","","cat01","矯正教育課程","100"
"180","A3","2","","cat01","矯正教育課程","100"
"190","N1","2","","cat01","矯正教育課程","100"
"200","N2","2","","cat01","矯正教育課程","100"
"210","N3","2","","cat01","矯正教育課程","100"
"220","A4","2","","cat01","矯正教育課程","100"
"230","A5","2","","cat01","矯正教育課程","100"
"240","N4","2","","cat01","矯正教育課程","100"
"250","N5","2","","cat01","矯正教育課程","100"
"260","D","2","","cat01","矯正教育課程","100"
"280","P1","2","","cat01","矯正教育課程","100"
"290","P2","2","","cat01","矯正教育課程","100"
"100","総数","1","","cat02","性別","nan"
"110","男性","2","","cat02","性別","100"
"120","女性","2","","cat02","性別","100"
"50100","総数","1","","area","少年院","nan"
"50180","札幌矯正管区","2","","area","少年院","50100"
"50190","帯広少年院","3","","area","少年院","50180"
"50200","北海少年院","3","","area","少年院","50180"
"50210","紫明女子学院","3","","area","少年院","50180"
"50220","月形学園","3","","area","少年院","50180"
"50230","仙台矯正管区","2","","area","少年院","50100"
"50250","盛岡少年院","3","","area","少年院","50230"
"50260","東北少年院","3","","area","少年院","50230"
"50270","青葉女子学園","3","","area","少年院","50230"
"50280","置賜学院","3","","area","少年院","50230"
"50290","東京矯正管区","2","","area","少年院","50100"
"50300","茨城農芸学院","3","","area","少年院","50290"
"50310","水府学院","3","","area","少年院","50290"
"50320","喜連川少年院","3","","area","少年院","50290"
"50330","赤城少年院","3","","area","少年院","50290"
"50340","榛名女子学園","3","","area","少年院","50290"
"50350","市原学園","3","","area","少年院","50290"
"50360","八街少年院","3","","area","少年院","50290"
"50370","多摩少年院","3","","area","少年院","50290"
"50380","関東医療少年院","3","","area","少年院","50290"
"50810","東日本少年矯正医療・教育センター","3","","area","少年院","50290"
"50390","愛光女子学園","3","","area","少年院","50290"
"50400","久里浜少年院","3","","area","少年院","50290"
"50410","小田原少年院","3","","area","少年院","50290"
"50420","神奈川医療少年院","3","","area","少年院","50290"
"50430","新潟少年学院","3","","area","少年院","50290"
"50440","有明高原寮","3","","area","少年院","50290"
"50450","駿府学園","3","","area","少年院","50290"
"50460","名古屋矯正管区","2","","area","少年院","50100"
"50470","湖南学院","3","","area","少年院","50460"
"50480","瀬戸少年院","3","","area","少年院","50460"
"50490","愛知少年院","3","","area","少年院","50460"
